"bsv"	"type"	"length"	"context"	"word"	"prefLabel"	"context"	"location"	"features"
"11_BSV_GC_19052009_cle85f46f"	"html"	"5249"	", lin, pois, Labour"	"féverole, tournesol"	""	"Non labour Betterav"	"3401-3420"	"type=N_PUN_N, match=fcu, form=féverole, tournesol"
"11_BSV_GC_19052009_cle85f46f"	"html"	"5249"	"ournesol Non labour"	"Betteraves, pomme de terre, soja"	""	", autres Labour Non"	"3432-3464"	"type=N_PUN_N, match=fcu, form=Betteraves, pomme de terre, soja"
"11_BSV_GC_19052009_cle85f46f"	"html"	"5249"	"s Labour Non labour"	"Maïs, sorgho"	""	"grain(maïs fourrage"	"3491-3503"	"type=N_PUN_N, match=fcu, form=Maïs, sorgho"
"130709_bu-arbo17_cle4212ae"	"html"	"13024"	"s organes atteints ("	"fleurs, pousses"	""	", ) se nécrosent et"	"3223-3238"	"type=N_PUN_N, match=fcu, form=fleurs, pousses"
"14_bsv_vigne_05_juillet_2012_cle856631"	"html"	"8827"	"u stade petit pois."	"Les Chardonnay et Melon de Bourgogne"	""	"maintenant et les g"	"1588-1624"	"type=N_KON_N, match=fcu, form=Les Chardonnay et Melon de Bourgogne"
"14_bsv_vigne_05_juillet_2012_cle856631"	"html"	"8827"	"on traités (même de"	"Melon de Bourgogne, cépage"	""	"peu sen- relative."	"4968-4994"	"type=N_PUN_N, match=fcu, form=Melon de Bourgogne, cépage"
"14_bsv_vigne_05_juillet_2012_cle856631"	"html"	"8827"	"protection de leurs"	"vignes et les invite"	""	"à prendre ces décis"	"8459-8479"	"type=N_KON_N, match=fcu, form=vignes et les invite"
"15BSVGC05062012_cle0b33a1"	"html"	"10862"	"tes des 15 derniers"	"jours, les betteraves"	""	"ont connu une forte"	"647-668"	"type=N_PUN_N, match=fcu, form=jours, les betteraves"
"18_BSV_GC_02072013_cle8e434e"	"html"	"4303"	"dif (Sundgau, Outre-"	"Forêt, Pays de Hanau"	""	", Alsace Bossue ) le"	"1164-1184"	"type=N_PUN_N, match=fcu, form=Forêt, Pays de Hanau"
"18_BSV_GC_02072013_cle8e434e"	"html"	"4303"	"BASTIAN ATTAQUE DE"	"PYRALE et STADE DU MAÏS"	""	"Il est reconnu que"	"2872-2895"	"type=N_KON_N, match=fcu, form=PYRALE et STADE DU MAÏS"
"2009_13__cle8c15cd-1"	"html"	"6118"	"retournement. Dans"	"la région, les colzas"	""	"ont perdu cet hiver"	"2088-2109"	"type=N_PUN_N, match=fcu, form=la région, les colzas"
"2009_BSV_manche_07_cle8ef897"	"html"	"5303"	"maine dernière. Sur"	"céleri, les piégeages"	""	"sont en baisse au M"	"641-662"	"type=N_PUN_N, match=fcu, form=céleri, les piégeages"
"2010_6__cle0c39b8-1"	"html"	"6789"	"eage pépinière - PT"	"jardins, espaces"	""	"verts jardins, espa"	"5242-5258"	"type=N_PUN_N, match=fcu, form=jardins, espaces"
"2010_6__cle0c39b8-1"	"html"	"6789"	"dins, espaces verts"	"jardins, espaces"	""	"verts jardins, espa"	"5265-5281"	"type=N_PUN_N, match=fcu, form=jardins, espaces"
"2010_6__cle0c39b8-1"	"html"	"6789"	"dins, espaces verts"	"jardins, espaces"	""	"verts jardins, espa"	"5288-5304"	"type=N_PUN_N, match=fcu, form=jardins, espaces"
"2010_6__cle0c39b8-1"	"html"	"6789"	"dins, espaces verts"	"jardins, espaces"	""	"verts jardins, espa"	"5311-5327"	"type=N_PUN_N, match=fcu, form=jardins, espaces"
"2010_6__cle0c39b8-1"	"html"	"6789"	"dins, espaces verts"	"jardins, espaces"	""	"verts 23"	"5334-5350"	"type=N_PUN_N, match=fcu, form=jardins, espaces"
"2010_6__cle0c39b8"	"html"	"20010"	"ultures d'échalote,"	"oignon et poireau"	""	"dans le 49. Les com"	"2316-2333"	"type=N_KON_N, match=fcu, form=oignon et poireau"
"2010_6__cle0c39b8"	"html"	"20010"	"eron dans le 85 sur"	"culture de courgette et concombre"	""	". Pucerons"	"6799-6832"	"type=N_KON_N, match=fcu, form=culture de courgette et concombre"
"2010_6__cle0c39b8"	"html"	"20010"	", avec les premiers"	"fauchages et ensilages"	""	", on observe égaleme"	"9903-9925"	"type=N_KON_N, match=fcu, form=fauchages et ensilages"
"2010_6__cle0c39b8"	"html"	"20010"	"sion est moindre en"	"oignon et échalote"	""	". Attention cependan"	"12486-12504"	"type=N_KON_N, match=fcu, form=oignon et échalote"
"2010_6__cle0c39b8"	"html"	"20010"	"restent collés sur"	"les gousses et tiges"	""	", entraînant des tac"	"13467-13487"	"type=N_KON_N, match=fcu, form=les gousses et tiges"
"2010_6__cle0c39b8"	"html"	"20010"	"mbreuses cultures :"	"épinard, fenouil, roquette"	""	"Pucerons"	"15520-15546"	"type=N_PUN_N, match=fcu, form=épinard, fenouil, roquette"
"2010_6__cle0c39b8"	"html"	"20010"	"rhizoctone brun sur"	"laitue et batavia"	""	"à Saint Lambert des"	"15891-15908"	"type=N_KON_N, match=fcu, form=laitue et batavia"
"2010_6__cle0c39b8"	"html"	"20010"	"ella aegopodii- sur"	"chou, radis, navet et rutabaga"	""	": Brevicoryne brass"	"17227-17257"	"type=N_PUN_N_KON_N, match=fcu, form=chou, radis, navet et rutabaga"
"2010_6__cle0c39b8"	"html"	"20010"	"endré du chou.- sur"	"pois, haricots, céleri"	""	": Aphis fabae- sur"	"17315-17337"	"type=N_PUN_N, match=fcu, form=pois, haricots, céleri"
"2010_6__cle0c39b8"	"html"	"20010"	"Aphis gossypii- sur"	"tomate, poivron"	""	"et aubergine : Aphi"	"17385-17400"	"type=N_PUN_N, match=fcu, form=tomate, poivron"
"2010_6__cle0c39b8"	"html"	"20010"	"otrytis de tige sur"	"cultures de tomate et aubergine"	""	"dans le 85, jusqu'à"	"18270-18301"	"type=N_KON_N, match=fcu, form=cultures de tomate et aubergine"
"2010_7__cle0fe148"	"html"	"14736"	"p. 7 Radis /Chou :"	"Mouche du chou et altise"	""	"en augmentation Po"	"749-773"	"type=N_KON_N, match=fcu, form=Mouche du chou et altise"
"2010_7__cle0fe148"	"html"	"14736"	"cette maladie ; en"	"échalote, les cultures"	""	"vont se terminer da"	"2481-2503"	"type=N_PUN_N, match=fcu, form=échalote, les cultures"
"2010_7__cle0fe148"	"html"	"14736"	"le de la région sur"	"concombre et courgette"	""	". Soyez vigilants. D"	"5798-5820"	"type=N_KON_N, match=fcu, form=concombre et courgette"
"2010_7__cle0fe148"	"html"	"14736"	"rons et d'acariens."	"l'œillet et la cécidomyie du
framboisier"	""	"(Resseliella theoba"	"7115-7155"	"type=N_KON_N, match=fcu, form=l'œillet et la cécidomyie du
framboisier"
"2010_7__cle0fe148"	"html"	"14736"	"parcelle. Au stade"	"floraison, les haricots"	""	"sont sensibles aux"	"8323-8346"	"type=N_PUN_N, match=fcu, form=floraison, les haricots"
"2010_7__cle0fe148"	"html"	"14736"	"corée et de laitue ("	"beurre, batavia et feuille de chêne"	""	"). Noctuelles Pucero"	"11477-11512"	"type=N_PUN_N_KON_N, match=fcu, form=beurre, batavia et feuille de chêne"
"2010_7__cle0fe148"	"html"	"14736"	"sur jeunes pousses ("	"roquette, red"	""	"chard, épinard, ) o"	"11738-11751"	"type=N_PUN_N, match=fcu, form=roquette, red"
"2010_7__cle0fe148"	"html"	"14736"	"restent visibles en"	"batavia et laitue"	""	"dans le 49. Pressio"	"12288-12305"	"type=N_KON_N, match=fcu, form=batavia et laitue"
"2010_7__cle0fe148"	"html"	"14736"	"ion sclérotinia sur"	"batavia et lollo"	""	"rossa également. Je"	"12343-12359"	"type=N_KON_N, match=fcu, form=batavia et lollo"
"2010_BSV_manche_27_cle843f82"	"html"	"7302"	"sont en recul pour"	"le céleri et le persil"	""	", par contre une rep"	"5854-5876"	"type=N_KON_N, match=fcu, form=le céleri et le persil"
"2010_BSV_manche_27_cle843f82"	"html"	"7302"	"ont quasi nulles en"	"cultures de carottes et une augmentation de celles-ci"	""	"est observée en cul"	"6004-6057"	"type=N_KON_N, match=fcu, form=cultures de carottes et une augmentation de celles-ci"
"2010_BSV_manche_27_cle843f82"	"html"	"7302"	"t plutôt stables en"	"cultures de carottes et une reprise de celles-ci"	""	"est enregistrée en"	"6205-6253"	"type=N_KON_N, match=fcu, form=cultures de carottes et une reprise de celles-ci"
"2010_flash_2_cle066a15"	"html"	"3055"	"protection de leurs"	"vergers et les invite"	""	"à prendre ces décis"	"2077-2098"	"type=N_KON_N, match=fcu, form=vergers et les invite"
"2011_BSV_calvados_htenormandie_27_cle8a66fc"	"html"	"4071"	"3 parcelles : Chou-"	"fleur et cabusHaute"	""	"-Normandie : 3 parce"	"573-592"	"type=N_KON_N, match=fcu, form=fleur et cabusHaute"
"2011_BSV_calvados_htenormandie_27_cle8a66fc"	"html"	"4071"	"oit la température."	"CAROTTE, PERSIL"	""	"ET CELERI : Suivi :"	"1710-1725"	"type=N_PUN_N, match=fcu, form=CAROTTE, PERSIL"
"2011_BSV_manche_36_cle8c9518"	"html"	"3924"	"1 de persil MANCHE"	"Céleri, persil et carotte"	""	": les captures sont"	"3344-3369"	"type=N_PUN_N_KON_N, match=fcu, form=Céleri, persil et carotte"
"2011_BSV_manche_36_cle8c9518"	"html"	"3924"	"de céleri Carotte :"	"recul des captures,Céleri"	""	": aucune capture """	"3541-3566"	"type=N_PUN_N, match=fcu, form=recul des captures,Céleri"
"2012_BSV_calvados_htenormandie_26_cle823e9b"	"html"	"8627"	"vados : carotte : 4"	"parcelles, céleri"	""	": 1 parcelle,Haute-"	"6003-6020"	"type=N_PUN_N, match=fcu, form=parcelles, céleri"
"2012_BSV_calvados_htenormandie_26_cle823e9b"	"html"	"8627"	"tte : 1 parcelle en"	"Vallée de Seine, céleri"	""	": 2 parcelles dont"	"6076-6099"	"type=N_PUN_N, match=fcu, form=Vallée de Seine, céleri"
"2012_BSV_calvados_htenormandie_26_cle823e9b"	"html"	"8627"	"on des captures sur"	"la parcelle de persil et une stagnation des piégeages"	""	"en Vallée de Seine."	"6454-6507"	"type=N_KON_N, match=fcu, form=la parcelle de persil et une stagnation des piégeages"
"2012_BSV_calvados_htenormandie_29_cle81977c"	"html"	"9714"	"vados : carotte : 4"	"parcelles, céleri"	""	": 1 parcelleHaute-N"	"6247-6264"	"type=N_PUN_N, match=fcu, form=parcelles, céleri"
"2012_BSV_calvados_htenormandie_29_cle81977c"	"html"	"9714"	"andie : carotte : 1"	"parcelle, céleri"	""	": 2 parcelles, pers"	"6307-6323"	"type=N_PUN_N, match=fcu, form=parcelle, céleri"
"2012_BSV_calvados_htenormandie_29_cle81977c"	"html"	"9714"	"arcelle, céleri : 2"	"parcelles, persil"	""	": 1 parcelle Mouche"	"6328-6345"	"type=N_PUN_N, match=fcu, form=parcelles, persil"
"20130606_bsv_maraichage_13_cle46d94d"	"html"	"16729"	"geage à Allonnes en"	"navet, radis, poireau"	""	"sous abris et en fè"	"3034-3055"	"type=N_PUN_N, match=fcu, form=navet, radis, poireau"
"20130606_bsv_maraichage_13_cle46d94d"	"html"	"16729"	"nt été observés sur"	"haricot et épinard"	""	"(cf photo). Pour ra"	"3374-3392"	"type=N_KON_N, match=fcu, form=haricot et épinard"
"20130606_bsv_maraichage_13_cle46d94d"	"html"	"16729"	"ures à cycle court ("	"radis, mâche"	""	") mais il est faible"	"3527-3539"	"type=N_PUN_N, match=fcu, form=radis, mâche"
"20130606_bsv_maraichage_13_cle46d94d"	"html"	"16729"	"(49) en sous abris ("	"navet, radis"	""	") et en plein champ"	"8643-8655"	"type=N_PUN_N, match=fcu, form=navet, radis"
"20130606_bsv_maraichage_13_cle46d94d"	"html"	"16729"	"et en plein champ ("	"radis, fève"	""	"). 2 parcelles de pi"	"8676-8687"	"type=N_PUN_N, match=fcu, form=radis, fève"
"20130606_bsv_maraichage_13_cle46d94d"	"html"	"16729"	"par les pigeons sur"	"chou et roquette"	""	": les feuilles sont"	"9524-9540"	"type=N_KON_N, match=fcu, form=chou et roquette"
"20130606_bsv_maraichage_13_cle46d94d"	"html"	"16729"	"PIE C UCURBITACEES ("	"CONCOMBRE, COURGETTE, MELON"	""	") Suivi 2 parcelles"	"10629-10656"	"type=N_PUN_N, match=fcu, form=CONCOMBRE, COURGETTE, MELON"
"20130606_bsv_maraichage_13_cle46d94d"	"html"	"16729"	"013 C UCURBITACEES ("	"CONCOMBRE, COURGETTE, MELON"	""	") (suite) Attaque de"	"11720-11747"	"type=N_PUN_N, match=fcu, form=CONCOMBRE, COURGETTE, MELON"
"20130912_bsv_maraichage_26_cle4ed671"	"html"	"15493"	"Brassicacées"	"Mouche du chou, altises"	""	"P. 5 Cucu"	"255-278"	"type=N_PUN_N, match=fcu, form=Mouche du chou, altises"
"20130912_bsv_maraichage_26_cle4ed671"	"html"	"15493"	"de la carotte et du"	"chou, observation de pucerons"	""	"dans les salades B"	"982-1011"	"type=N_PUN_N, match=fcu, form=chou, observation de pucerons"
"20130912_bsv_maraichage_26_cle4ed671"	"html"	"15493"	"iégeage dans le 49 ("	"chou, radis et radis"	""	"noir). Mouche du c"	"6438-6458"	"type=N_PUN_N_KON_N, match=fcu, form=chou, radis et radis"
"20130912_bsv_maraichage_26_cle4ed671"	"html"	"15493"	"DDL C UCURBITACEES ("	"CONCOMBRE, COURGETTE, MELON"	""	") Suivi Plusieurs pa"	"7556-7583"	"type=N_PUN_N, match=fcu, form=CONCOMBRE, COURGETTE, MELON"
"20130912_bsv_maraichage_26_cle4ed671"	"html"	"15493"	"e ces ravageurs. En"	"Melon, la pression"	""	"en sésamie et pyral"	"8157-8175"	"type=N_PUN_N, match=fcu, form=Melon, la pression"
"20130912_bsv_maraichage_26_cle4ed671"	"html"	"15493"	"013 C UCURBITACEES ("	"CONCOMBRE, COURGETTE, MELON"	""	") (SUITE) Maladies"	"9333-9360"	"type=N_PUN_N, match=fcu, form=CONCOMBRE, COURGETTE, MELON"
"20130912_bsv_maraichage_26_cle4ed671"	"html"	"15493"	"E 2013 S OLANACEES ("	"TOMATE,POMME DE TERRE,POIVRON"	""	",AUBERGINE) Suivi Pa"	"12919-12948"	"type=N_PUN_N, match=fcu, form=TOMATE,POMME DE TERRE,POIVRON"
"2013_BSV_Bilan2012_Calvados_htenormandie_cle0352d6"	"html"	"13140"	"............. 5"	"Les choux et navets"	""	"..................."	"1001-1020"	"type=N_KON_N, match=fcu, form=Les choux et navets"
"2013_BSV_Bilan2012_Calvados_htenormandie_cle0352d6"	"html"	"13140"	"ures observées sont"	"les carottes, les salades et les choux"	""	". Elles sont suivies"	"2481-2519"	"type=N_PUN_N_KON_N, match=fcu, form=les carottes, les salades et les choux"
"2013_BSV_Bilan2012_Calvados_htenormandie_cle0352d6"	"html"	"13140"	"es sont suivies par"	"les poireaux, les tomates et les oignons"	""	". Les fraises et les"	"2544-2584"	"type=N_PUN_N_KON_N, match=fcu, form=les poireaux, les tomates et les oignons"
"2013_BSV_Bilan2012_Calvados_htenormandie_cle0352d6"	"html"	"13140"	"tes et les oignons."	"Les fraises et les céleris"	""	"enregistrent une ci"	"2586-2612"	"type=N_KON_N, match=fcu, form=Les fraises et les céleris"
"2013_BSV_Bilan2012_Calvados_htenormandie_cle0352d6"	"html"	"13140"	"moyens à faibles en"	"carotte, céleri et persil"	""	", semblables à ceux"	"6801-6826"	"type=N_PUN_N_KON_N, match=fcu, form=carotte, céleri et persil"
"2013_BSV_Bilan2012_Calvados_htenormandie_cle0352d6"	"html"	"13140"	"dégâts faibles (en"	"carotte, céleri et persil"	""	") semblables à ceux"	"7006-7031"	"type=N_PUN_N_KON_N, match=fcu, form=carotte, céleri et persil"
"2013_BSV_Bilan2012_Calvados_htenormandie_cle0352d6"	"html"	"13140"	"12 avril 2013 2.4."	"LES CHOUX ET NAVETS"	""	": Les ravageurs : M"	"8323-8342"	"type=N_KON_N, match=fcu, form=LES CHOUX ET NAVETS"
"2013_BSV_Bilan2012_Calvados_htenormandie_cle0352d6"	"html"	"13140"	"pora parasitica Sur"	"navet, les attaques"	""	"ont été moyennes et"	"9784-9803"	"type=N_PUN_N, match=fcu, form=navet, les attaques"
"2013_BSV_Bilan2012_Calvados_htenormandie_cle0352d6"	"html"	"13140"	"Pigeon Comme pour"	"les choux et les navets"	""	", les ""morsures"" ont"	"10837-10860"	"type=N_KON_N, match=fcu, form=les choux et les navets"
"2013_BSV_Bilan2012_Calvados_htenormandie_cle0352d6"	"html"	"13140"	"supérieurs à 2011."	"Haricot et pois"	""	": Tordeuse du pois"	"12055-12070"	"type=N_KON_N, match=fcu, form=Haricot et pois"
"2013_BSV_calvados_htenormandie_06_noteAbeille_cle0c95a3"	"html"	"14386"	"sont en place dans"	"les vergers et les cultures"	""	"légumières. Les tra"	"3278-3305"	"type=N_KON_N, match=fcu, form=les vergers et les cultures"
"2013_BSV_calvados_htenormandie_06_noteAbeille_cle0c95a3"	"html"	"14386"	"Al-SDQPV et ANAMSO ("	"colza, p"	""	".2) En butinant de f"	"4562-4570"	"type=N_PUN_N, match=fcu, form=colza, p"
"2013_BSV_calvados_htenormandie_06_noteAbeille_cle0c95a3"	"html"	"14386"	"utinant de fleur en"	"fleur, les insectes"	""	"pollinisateurs part"	"4598-4617"	"type=N_PUN_N, match=fcu, form=fleur, les insectes"
"2013_BSV_manche_33_cle8d1fbe"	"html"	"4362"	"tels que le céleri"	"rave, la phacélie, la laitue"	""	". 2 BSV n°33. 29 oc"	"3159-3187"	"type=N_PUN_N, match=fcu, form=rave, la phacélie, la laitue"
"2014_BSV_manche_37_cle8ad953"	"html"	"3997"	"récolte à récolte,2"	"parcelles de carotte, stade"	""	": proche récolte à"	"1846-1873"	"type=N_PUN_N, match=fcu, form=parcelles de carotte, stade"
"2014_BSV_manche_37_cle8ad953"	"html"	"3997"	"e : grossissement à"	"récolte,
Mouche de la carotte"	""	": Relevé des captur"	"1973-2002"	"type=N_PUN_N, match=fcu, form=récolte,
Mouche de la carotte"
"2014_BSV_manche_37_cle8ad953"	"html"	"3997"	"eage de teigne dans"	"les poireaux, mouche de la carotte"	""	", diverses noctuelle"	"3272-3306"	"type=N_PUN_N, match=fcu, form=les poireaux, mouche de la carotte"
"22_bsv_gc_04_05_2010_cle022e2c"	"html"	"15569"	"isque sclérotinia."	"Maïs et tournesol"	""	": Surveillez les pa"	"612-629"	"type=N_KON_N, match=fcu, form=Maïs et tournesol"
"22_bsv_gc_04_05_2010_cle022e2c"	"html"	"15569"	"égion Sur certaines"	"parcelles, les maïs"	""	"sont à 3 feuilles."	"13090-13109"	"type=N_PUN_N, match=fcu, form=parcelles, les maïs"
"22_bsv_gc_04_05_2010_cle022e2c"	"html"	"15569"	"pour le moment. En"	"pois de printemps, les parcelles"	""	"ont amorcé la phase"	"14024-14056"	"type=N_PUN_N, match=fcu, form=pois de printemps, les parcelles"
"26_BSV_GC_17092013_cle847136"	"html"	"2308"	"feuille vraie. A ce"	"stade, le colza"	""	"est sensible à tous"	"1502-1517"	"type=N_PUN_N, match=fcu, form=stade, le colza"
"2_-_BSV_ZNA_S14_cle097ddd"	"html"	"9779"	"s adventices, comme"	"les pissenlits et le chiendent"	""	", ont commencé leur"	"1866-1896"	"type=N_KON_N, match=fcu, form=les pissenlits et le chiendent"
"2_-_BSV_ZNA_S14_cle097ddd"	"html"	"9779"	"sur les troncs (sur"	"tilleul, marronnier, hortensia et rosier"	""	"grimpant). Pour l'i"	"3065-3105"	"type=N_PUN_N_KON_N, match=fcu, form=tilleul, marronnier, hortensia et rosier"
"2_-_BSV_ZNA_S14_cle097ddd"	"html"	"9779"	"chenille à carapace"	"Orangers et lauriers"	""	"X Cochenille austra"	"6271-6291"	"type=N_KON_N, match=fcu, form=Orangers et lauriers"
"2_-_BSV_ZNA_S14_cle097ddd"	"html"	"9779"	"ptère) Philocreton,"	"Asparagus, Bananier"	""	"X Cochenille farine"	"6512-6531"	"type=N_PUN_N, match=fcu, form=Asparagus, Bananier"
"34BSVGC15102013_cle0947e2"	"html"	"8617"	"très défavorables à"	"l'activité des altises et les colzas du réseau"	""	"ont tous dépassé le"	"1677-1723"	"type=N_KON_N, match=fcu, form=l'activité des altises et les colzas du réseau"
"34BSVGC15102013_cle0947e2"	"html"	"8617"	". CEREALES D'HIVER ("	"orge et blé"	""	") 7 parcelles de blé"	"3564-3575"	"type=N_KON_N, match=fcu, form=orge et blé"
"34BSVGC15102013_cle0947e2"	"html"	"8617"	"ultures hôtes comme"	"la luzerne, la carotte et la pomme de terre"	""	"... sont favorables"	"5884-5927"	"type=N_PUN_N_KON_N, match=fcu, form=la luzerne, la carotte et la pomme de terre"
"34BSVGC15102013_cle0947e2"	"html"	"8617"	"res sensibles comme"	"la pomme de terre et l'en"	""	"- Semer des variétés"	"7230-7255"	"type=N_KON_N, match=fcu, form=la pomme de terre et l'en"
"37_-_BSV_Grandes_cultures_S46_cle883289"	"html"	"14355"	"signalés. Mais avec"	"la baisse des températures, le développement des colzas"	""	"se r alentit aujour"	"1042-1097"	"type=N_PUN_N, match=fcu, form=la baisse des températures, le développement des colzas"
"37_-_BSV_Grandes_cultures_S46_cle883289"	"html"	"14355"	"vées cette semaine."	"Les stades des blés et orge"	""	"d'hiver observés so"	"6951-6978"	"type=N_KON_N, match=fcu, form=Les stades des blés et orge"
"42_BSV_Charentes_2011-12-21_cle02f587"	"html"	"18788"	"Animateur Filières"	"Vigne et Arboriculture"	""	": 10 Patrice RÉTAUD"	"1469-1491"	"type=N_KON_N, match=fcu, form=Vigne et Arboriculture"
"42_BSV_Charentes_2011-12-21_cle02f587"	"html"	"18788"	"stivales permettent"	"le grossissement des baies et l'installation de foyers"	""	"de Botrytis. Dans d"	"11258-11312"	"type=N_KON_N, match=fcu, form=le grossissement des baies et l'installation de foyers"
"48_BSV_Charentes_2012-05-22_cle0282c6"	"html"	"6645"	"Animateur Filières"	"Vigne et Arboriculture"	""	": Critères d'évalua"	"1078-1100"	"type=N_KON_N, match=fcu, form=Vigne et Arboriculture"
"57_BSV_Haut-Poitou_2013-05-22_cle88c1ab"	"html"	"5087"	"rative Centre Ouest"	"Céréales, les Etablissements"	""	"Raynot, l'Institut"	"3917-3945"	"type=N_PUN_N, match=fcu, form=Céréales, les Etablissements"
"ACAB6BCBEMIh9FN9YXn91xWQ"	"html"	"7853"	"aces sur les jeunes"	"feuilles et pousses d' artichauts"	""	". Teigne de l'artich"	"2230-2263"	"type=N_KON_N, match=fcu, form=feuilles et pousses d' artichauts"
"ACAB6BCBEMIh9FN9YXn91xWQ"	"html"	"7853"	"es (salade, blette,"	"artichaut, chrysanthèmes"	""	") et de signaler la"	"3930-3954"	"type=N_PUN_N, match=fcu, form=artichaut, chrysanthèmes"
"BSV-CAS-oct-2012"	"html"	"8646"	"l'Agriculture et de"	"la Forêt, Fédération"	""	"Départementale des"	"401-421"	"type=N_PUN_N, match=fcu, form=la Forêt, Fédération"
"BSV-Fruits-decembre-2014"	"html"	"12663"	"l'Agriculture et de"	"la Forêt, Fédération"	""	"Départementale des"	"392-412"	"type=N_PUN_N, match=fcu, form=la Forêt, Fédération"
"BSV-Fruits-decembre-2014"	"html"	"12663"	"ordre décroissant :"	"limettier, pomélo"	""	", combava, tangor, c"	"6302-6319"	"type=N_PUN_N, match=fcu, form=limettier, pomélo"
"BSV-Fruits-decembre-2014"	"html"	"12663"	"r, pomélo, combava,"	"tangor, citronnier"	""	", orange, mandarinie"	"6330-6348"	"type=N_PUN_N, match=fcu, form=tangor, citronnier"
