"bsv"	"context"	"full_expression"	"no_match"	"match_with_fcu"	"context"	"location"	"features"
"100311_BSV_Colza_tournesol"	"oid freine toujours"	"la croissance et le développement des colzas"	"la croissance et le développement des "	"colzas ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	". Des pertes de pied"	"1150-1194"	"type=N_KON_N, match=fcu, form=la croissance et le développement des colzas"
"100701_bsv_mais"	"du maïs au1/07: BSV"	"céréales et protéagineux"	"céréales et protéagineux"	"céréales ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales, protéagineux ( protéagineux ) =http://ontology.inrae.fr/frenchcropusage/Proteagineux"	"1/6 Semaine 26 - 01"	"1496-1520"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"100701_bsv_mais"	"t 500 pucerons. BSV"	"céréales et protéagineux"	"céréales et protéagineux"	"céréales ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales, protéagineux ( protéagineux ) =http://ontology.inrae.fr/frenchcropusage/Proteagineux"	"2/6 Semaine 26 - 01"	"2354-2378"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"100701_bsv_mais"	"d'auxiliaires. BSV"	"céréales et protéagineux"	"céréales et protéagineux"	"céréales ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales, protéagineux ( protéagineux ) =http://ontology.inrae.fr/frenchcropusage/Proteagineux"	"3/6 Semaine 26 - 01"	"3924-3948"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"100701_bsv_mais"	"res en moyenne. BSV"	"céréales et protéagineux"	"céréales et protéagineux"	"céréales ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales, protéagineux ( protéagineux ) =http://ontology.inrae.fr/frenchcropusage/Proteagineux"	"4/6 Semaine 26 - 01"	"5429-5453"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"100701_bsv_mais"	"avec symptômes. BSV"	"céréales et protéagineux"	"céréales et protéagineux"	"céréales ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales, protéagineux ( protéagineux ) =http://ontology.inrae.fr/frenchcropusage/Proteagineux"	"5/6 Semaine 26 - 01"	"7517-7541"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"100701_bsv_mais"	"itut du végétal BSV"	"céréales et protéagineux"	"céréales et protéagineux"	"céréales ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales, protéagineux ( protéagineux ) =http://ontology.inrae.fr/frenchcropusage/Proteagineux"	"6/6 Semaine 26 - 01"	"8568-8592"	"type=N_KON_N, match=fcu, form=céréales et protéagineux"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"'helminthosporiose."	"POIS ET FÉVEROLES"	"POIS ET FÉVEROLES"	"POIS ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, FÉVEROLES ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles"	": 11 feuilles pour"	"704-721"	"type=N_KON_N, match=fcu, form=POIS ET FÉVEROLES"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"a dans la rotation ("	"colza, tournesol, pois"	"colza, tournesol, pois"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols, pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois"	"), les attaques rec"	"5073-5095"	"type=N_PUN_N, match=fcu, form=colza, tournesol, pois"
"11_BSV_GC_19052009_cle85f46f"	"culture Céréales à"	"paille, colza, lin, pois, Labour"	"paille, colza, lin, pois, Labour"	"paille ( céréale à paille ) =http://ontology.inrae.fr/frenchcropusage/Cereales_paille, colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, lin ( lin ) =http://ontology.inrae.fr/frenchcropusage/Lins, pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois"	"féverole, tournesol"	"3368-3400"	"type=N_PUN_N, match=fcu, form=paille, colza, lin, pois, Labour"
"11_BSV_GC_19052009_cle85f46f"	", lin, pois, Labour"	"féverole, tournesol"	"féverole, tournesol"	"féverole ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles, tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols"	"Non labour Betterav"	"3401-3420"	"type=N_PUN_N, match=fcu, form=féverole, tournesol"
"11_BSV_GC_19052009_cle85f46f"	"ournesol Non labour"	"Betteraves, pomme de terre, soja"	"Betteraves, pomme de terre, soja"	"Betteraves ( betterave ) =http://ontology.inrae.fr/frenchcropusage/Betteraves, pomme de terre ( pomme de terre ) =http://ontology.inrae.fr/frenchcropusage/Pommes_de_terre, pomme ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, soja ( soja ) =http://ontology.inrae.fr/frenchcropusage/Sojas"	", autres Labour Non"	"3432-3464"	"type=N_PUN_N, match=fcu, form=Betteraves, pomme de terre, soja"
"11_BSV_GC_19052009_cle85f46f"	"s Labour Non labour"	"Maïs, sorgho"	"Maïs, sorgho"	"Maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais, sorgho ( sorgho ) =http://ontology.inrae.fr/frenchcropusage/Sorghos, sorgho ( sorgho grain ) =http://ontology.inrae.fr/frenchcropusage/Sorghos_grains"	"grain(maïs fourrage"	"3491-3503"	"type=N_PUN_N, match=fcu, form=Maïs, sorgho"
"130709_bu-arbo17_cle4212ae"	"s organes atteints ("	"fleurs, pousses"	", pousses"	"fleurs ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales"	", ) se nécrosent et"	"3223-3238"	"type=N_PUN_N, match=fcu, form=fleurs, pousses"
"14_bsv_vigne_05_juillet_2012_cle856631"	"u stade petit pois."	"Les Chardonnay et Melon de Bourgogne"	"Les Chardonnay et  de Bourgogne"	"Melon ( melon ) =http://ontology.inrae.fr/frenchcropusage/Melons"	"maintenant et les g"	"1588-1624"	"type=N_KON_N, match=fcu, form=Les Chardonnay et Melon de Bourgogne"
"14_bsv_vigne_05_juillet_2012_cle856631"	"on traités (même de"	"Melon de Bourgogne, cépage"	" de Bourgogne, cépage"	"Melon ( melon ) =http://ontology.inrae.fr/frenchcropusage/Melons"	"peu sen- relative."	"4968-4994"	"type=N_PUN_N, match=fcu, form=Melon de Bourgogne, cépage"
"14_bsv_vigne_05_juillet_2012_cle856631"	"protection de leurs"	"vignes et les invite"	" et les invite"	"vignes ( vigne ) =http://ontology.inrae.fr/frenchcropusage/Vignes"	"à prendre ces décis"	"8459-8479"	"type=N_KON_N, match=fcu, form=vignes et les invite"
"15BSVGC05062012_cle0b33a1"	"tes des 15 derniers"	"jours, les betteraves"	"jours, les "	"betteraves ( betterave ) =http://ontology.inrae.fr/frenchcropusage/Betteraves"	"ont connu une forte"	"647-668"	"type=N_PUN_N, match=fcu, form=jours, les betteraves"
"18_BSV_GC_02072013_cle8e434e"	"dif (Sundgau, Outre-"	"Forêt, Pays de Hanau"	", Pays de Hanau"	"Forêt ( arboriculture ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture"	", Alsace Bossue ) le"	"1164-1184"	"type=N_PUN_N, match=fcu, form=Forêt, Pays de Hanau"
"18_BSV_GC_02072013_cle8e434e"	"BASTIAN ATTAQUE DE"	"PYRALE et STADE DU MAÏS"	"PYRALE et STADE DU "	"MAÏS ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	"Il est reconnu que"	"2872-2895"	"type=N_KON_N, match=fcu, form=PYRALE et STADE DU MAÏS"
"2009_13__cle8c15cd-1"	"retournement. Dans"	"la région, les colzas"	"la région, les "	"colzas ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"ont perdu cet hiver"	"2088-2109"	"type=N_PUN_N, match=fcu, form=la région, les colzas"
"2009_BSV_manche_07_cle8ef897"	"maine dernière. Sur"	"céleri, les piégeages"	", les piégeages"	"céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	"sont en baisse au M"	"641-662"	"type=N_PUN_N, match=fcu, form=céleri, les piégeages"
"2010_6__cle0c39b8-1"	"eage pépinière - PT"	"jardins, espaces"	"jardins, espaces"	"jardins ( zone non agricole ) =http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, jardins ( jardin ) =http://ontology.inrae.fr/frenchcropusage/Jardins"	"verts jardins, espa"	"5242-5258"	"type=N_PUN_N, match=fcu, form=jardins, espaces"
"2010_6__cle0c39b8-1"	"dins, espaces verts"	"jardins, espaces"	"jardins, espaces"	"jardins ( zone non agricole ) =http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, jardins ( jardin ) =http://ontology.inrae.fr/frenchcropusage/Jardins"	"verts jardins, espa"	"5265-5281"	"type=N_PUN_N, match=fcu, form=jardins, espaces"
"2010_6__cle0c39b8-1"	"dins, espaces verts"	"jardins, espaces"	"jardins, espaces"	"jardins ( zone non agricole ) =http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, jardins ( jardin ) =http://ontology.inrae.fr/frenchcropusage/Jardins"	"verts jardins, espa"	"5288-5304"	"type=N_PUN_N, match=fcu, form=jardins, espaces"
"2010_6__cle0c39b8-1"	"dins, espaces verts"	"jardins, espaces"	"jardins, espaces"	"jardins ( zone non agricole ) =http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, jardins ( jardin ) =http://ontology.inrae.fr/frenchcropusage/Jardins"	"verts jardins, espa"	"5311-5327"	"type=N_PUN_N, match=fcu, form=jardins, espaces"
"2010_6__cle0c39b8-1"	"dins, espaces verts"	"jardins, espaces"	"jardins, espaces"	"jardins ( zone non agricole ) =http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, jardins ( jardin ) =http://ontology.inrae.fr/frenchcropusage/Jardins"	"verts 23"	"5334-5350"	"type=N_PUN_N, match=fcu, form=jardins, espaces"
"2010_6__cle0c39b8"	"ultures d'échalote,"	"oignon et poireau"	"oignon et poireau"	"oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, poireau ( poireau ) =http://ontology.inrae.fr/frenchcropusage/Poireaux"	"dans le 49. Les com"	"2316-2333"	"type=N_KON_N, match=fcu, form=oignon et poireau"
"2010_6__cle0c39b8"	"eron dans le 85 sur"	"culture de courgette et concombre"	"culture de courgette et concombre"	"courgette ( courgette ) =http://ontology.inrae.fr/frenchcropusage/Courgettes, concombre ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres"	". Pucerons"	"6799-6832"	"type=N_KON_N, match=fcu, form=culture de courgette et concombre"
"2010_6__cle0c39b8"	", avec les premiers"	"fauchages et ensilages"	"fauchages et "	"ensilages ( fourrage annuel ) =http://ontology.inrae.fr/frenchcropusage/Fourrages_annuels"	", on observe égaleme"	"9903-9925"	"type=N_KON_N, match=fcu, form=fauchages et ensilages"
"2010_6__cle0c39b8"	"sion est moindre en"	"oignon et échalote"	"oignon et échalote"	"oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, échalote ( échalote ) =http://ontology.inrae.fr/frenchcropusage/Echalotes"	". Attention cependan"	"12486-12504"	"type=N_KON_N, match=fcu, form=oignon et échalote"
"2010_6__cle0c39b8"	"restent collés sur"	"les gousses et tiges"	"les  et tiges"	"gousses ( légume à graines ou à gousses ) =http://ontology.inrae.fr/frenchcropusage/Legumes_graines_gousses"	", entraînant des tac"	"13467-13487"	"type=N_KON_N, match=fcu, form=les gousses et tiges"
"2010_6__cle0c39b8"	"mbreuses cultures :"	"épinard, fenouil, roquette"	"épinard, fenouil, roquette"	"épinard ( épinard ) =http://ontology.inrae.fr/frenchcropusage/Epinards, fenouil ( fenouil ) =http://ontology.inrae.fr/frenchcropusage/Fenouils, roquette ( roquette ) =http://ontology.inrae.fr/frenchcropusage/Roquettes"	"Pucerons"	"15520-15546"	"type=N_PUN_N, match=fcu, form=épinard, fenouil, roquette"
"2010_6__cle0c39b8"	"rhizoctone brun sur"	"laitue et batavia"	"laitue et batavia"	"laitue ( laitue ) =http://ontology.inrae.fr/frenchcropusage/Laitues, batavia ( laitue batavia ) =http://ontology.inrae.fr/frenchcropusage/Laitues_batavia"	"à Saint Lambert des"	"15891-15908"	"type=N_KON_N, match=fcu, form=laitue et batavia"
"2010_6__cle0c39b8"	"ella aegopodii- sur"	"chou, radis, navet et rutabaga"	"chou, radis, navet et rutabaga"	"chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux, radis ( radis ) =http://ontology.inrae.fr/frenchcropusage/Radis, navet ( navet potager ) =http://ontology.inrae.fr/frenchcropusage/Navets_potagers, rutabaga ( chou-navet à chair jaune ) =http://ontology.inrae.fr/frenchcropusage/Choux_navets_chair_jaune"	": Brevicoryne brass"	"17227-17257"	"type=N_PUN_N_KON_N, match=fcu, form=chou, radis, navet et rutabaga"
"2010_6__cle0c39b8"	"endré du chou.- sur"	"pois, haricots, céleri"	"pois, haricots, céleri"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois, haricots ( haricot ) =http://ontology.inrae.fr/frenchcropusage/Haricots, céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	": Aphis fabae- sur"	"17315-17337"	"type=N_PUN_N, match=fcu, form=pois, haricots, céleri"
"2010_6__cle0c39b8"	"Aphis gossypii- sur"	"tomate, poivron"	"tomate, poivron"	"tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, poivron ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons"	"et aubergine : Aphi"	"17385-17400"	"type=N_PUN_N, match=fcu, form=tomate, poivron"
"2010_6__cle0c39b8"	"otrytis de tige sur"	"cultures de tomate et aubergine"	"cultures de tomate et aubergine"	"tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, aubergine ( aubergine ) =http://ontology.inrae.fr/frenchcropusage/Aubergines"	"dans le 85, jusqu'à"	"18270-18301"	"type=N_KON_N, match=fcu, form=cultures de tomate et aubergine"
"2010_7__cle0fe148"	"p. 7 Radis /Chou :"	"Mouche du chou et altise"	"Mouche du chou et altise"	"chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"en augmentation Po"	"749-773"	"type=N_KON_N, match=fcu, form=Mouche du chou et altise"
"2010_7__cle0fe148"	"cette maladie ; en"	"échalote, les cultures"	", les cultures"	"échalote ( échalote ) =http://ontology.inrae.fr/frenchcropusage/Echalotes"	"vont se terminer da"	"2481-2503"	"type=N_PUN_N, match=fcu, form=échalote, les cultures"
"2010_7__cle0fe148"	"le de la région sur"	"concombre et courgette"	"concombre et courgette"	"concombre ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres, courgette ( courgette ) =http://ontology.inrae.fr/frenchcropusage/Courgettes"	". Soyez vigilants. D"	"5798-5820"	"type=N_KON_N, match=fcu, form=concombre et courgette"
"2010_7__cle0fe148"	"rons et d'acariens."	"l'œillet et la cécidomyie du
framboisier"	"l'œillet et la cécidomyie du
"	"framboisier ( framboisier ) =http://ontology.inrae.fr/frenchcropusage/Framboisiers"	"(Resseliella theoba"	"7115-7155"	"type=N_KON_N, match=fcu, form=l'œillet et la cécidomyie du
framboisier"
"2010_7__cle0fe148"	"parcelle. Au stade"	"floraison, les haricots"	"floraison, les "	"haricots ( haricot ) =http://ontology.inrae.fr/frenchcropusage/Haricots"	"sont sensibles aux"	"8323-8346"	"type=N_PUN_N, match=fcu, form=floraison, les haricots"
"2010_7__cle0fe148"	"corée et de laitue ("	"beurre, batavia et feuille de chêne"	"beurre, batavia et feuille de chêne"	"batavia ( laitue batavia ) =http://ontology.inrae.fr/frenchcropusage/Laitues_batavia, feuille de chêne ( laitue à couper ) =http://ontology.inrae.fr/frenchcropusage/Laitues_couper, chêne ( chêne ) =http://ontology.inrae.fr/frenchcropusage/Chenes"	"). Noctuelles Pucero"	"11477-11512"	"type=N_PUN_N_KON_N, match=fcu, form=beurre, batavia et feuille de chêne"
"2010_7__cle0fe148"	"sur jeunes pousses ("	"roquette, red"	", red"	"roquette ( roquette ) =http://ontology.inrae.fr/frenchcropusage/Roquettes"	"chard, épinard, ) o"	"11738-11751"	"type=N_PUN_N, match=fcu, form=roquette, red"
"2010_7__cle0fe148"	"restent visibles en"	"batavia et laitue"	"batavia et laitue"	"batavia ( laitue batavia ) =http://ontology.inrae.fr/frenchcropusage/Laitues_batavia, laitue ( laitue ) =http://ontology.inrae.fr/frenchcropusage/Laitues"	"dans le 49. Pressio"	"12288-12305"	"type=N_KON_N, match=fcu, form=batavia et laitue"
"2010_7__cle0fe148"	"ion sclérotinia sur"	"batavia et lollo"	" et lollo"	"batavia ( laitue batavia ) =http://ontology.inrae.fr/frenchcropusage/Laitues_batavia"	"rossa également. Je"	"12343-12359"	"type=N_KON_N, match=fcu, form=batavia et lollo"
"2010_BSV_manche_27_cle843f82"	"sont en recul pour"	"le céleri et le persil"	"le céleri et le persil"	"céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris, persil ( persil ) =http://ontology.inrae.fr/frenchcropusage/Persils"	", par contre une rep"	"5854-5876"	"type=N_KON_N, match=fcu, form=le céleri et le persil"
"2010_BSV_manche_27_cle843f82"	"ont quasi nulles en"	"cultures de carottes et une augmentation de celles-ci"	"cultures de  et une augmentation de celles-ci"	"carottes ( carotte ) =http://ontology.inrae.fr/frenchcropusage/Carottes"	"est observée en cul"	"6004-6057"	"type=N_KON_N, match=fcu, form=cultures de carottes et une augmentation de celles-ci"
"2010_BSV_manche_27_cle843f82"	"t plutôt stables en"	"cultures de carottes et une reprise de celles-ci"	"cultures de  et une reprise de celles-ci"	"carottes ( carotte ) =http://ontology.inrae.fr/frenchcropusage/Carottes"	"est enregistrée en"	"6205-6253"	"type=N_KON_N, match=fcu, form=cultures de carottes et une reprise de celles-ci"
"2010_flash_2_cle066a15"	"etec, Cabinet Fruit"	"Conseil, Fruits du Loir"	"Conseil,  du Loir"	"Fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	", GDAF 44, Maine Anj"	"1535-1558"	"type=N_PUN_N, match=fcu, form=Conseil, Fruits du Loir"
"2010_flash_2_cle066a15"	"protection de leurs"	"vergers et les invite"	" et les invite"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"à prendre ces décis"	"2077-2098"	"type=N_KON_N, match=fcu, form=vergers et les invite"
"2011_BSV_calvados_htenormandie_27_cle8a66fc"	"3 parcelles : Chou-"	"fleur et cabusHaute"	" et cabusHaute"	"fleur ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales"	"-Normandie : 3 parce"	"573-592"	"type=N_KON_N, match=fcu, form=fleur et cabusHaute"
"2011_BSV_calvados_htenormandie_27_cle8a66fc"	"oit la température."	"CAROTTE, PERSIL"	"CAROTTE, PERSIL"	"CAROTTE ( carotte ) =http://ontology.inrae.fr/frenchcropusage/Carottes, PERSIL ( persil ) =http://ontology.inrae.fr/frenchcropusage/Persils"	"ET CELERI : Suivi :"	"1710-1725"	"type=N_PUN_N, match=fcu, form=CAROTTE, PERSIL"
"2011_BSV_manche_36_cle8c9518"	"1 de persil MANCHE"	"Céleri, persil et carotte"	"Céleri, persil et carotte"	"Céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris, persil ( persil ) =http://ontology.inrae.fr/frenchcropusage/Persils, carotte ( carotte ) =http://ontology.inrae.fr/frenchcropusage/Carottes"	": les captures sont"	"3344-3369"	"type=N_PUN_N_KON_N, match=fcu, form=Céleri, persil et carotte"
"2011_BSV_manche_36_cle8c9518"	"de céleri Carotte :"	"recul des captures,Céleri"	"recul des captures,"	"Céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	": aucune capture """	"3541-3566"	"type=N_PUN_N, match=fcu, form=recul des captures,Céleri"
"2012_BSV_calvados_htenormandie_26_cle823e9b"	"vados : carotte : 4"	"parcelles, céleri"	"parcelles, "	"céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	": 1 parcelle,Haute-"	"6003-6020"	"type=N_PUN_N, match=fcu, form=parcelles, céleri"
"2012_BSV_calvados_htenormandie_26_cle823e9b"	"tte : 1 parcelle en"	"Vallée de Seine, céleri"	"Vallée de Seine, "	"céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	": 2 parcelles dont"	"6076-6099"	"type=N_PUN_N, match=fcu, form=Vallée de Seine, céleri"
"2012_BSV_calvados_htenormandie_26_cle823e9b"	"on des captures sur"	"la parcelle de persil et une stagnation des piégeages"	"la parcelle de  et une stagnation des piégeages"	"persil ( persil ) =http://ontology.inrae.fr/frenchcropusage/Persils"	"en Vallée de Seine."	"6454-6507"	"type=N_KON_N, match=fcu, form=la parcelle de persil et une stagnation des piégeages"
"2012_BSV_calvados_htenormandie_29_cle81977c"	"vados : carotte : 4"	"parcelles, céleri"	"parcelles, "	"céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	": 1 parcelleHaute-N"	"6247-6264"	"type=N_PUN_N, match=fcu, form=parcelles, céleri"
"2012_BSV_calvados_htenormandie_29_cle81977c"	"andie : carotte : 1"	"parcelle, céleri"	"parcelle, "	"céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	": 2 parcelles, pers"	"6307-6323"	"type=N_PUN_N, match=fcu, form=parcelle, céleri"
"2012_BSV_calvados_htenormandie_29_cle81977c"	"arcelle, céleri : 2"	"parcelles, persil"	"parcelles, "	"persil ( persil ) =http://ontology.inrae.fr/frenchcropusage/Persils"	": 1 parcelle Mouche"	"6328-6345"	"type=N_PUN_N, match=fcu, form=parcelles, persil"
"20130606_bsv_maraichage_13_cle46d94d"	"geage à Allonnes en"	"navet, radis, poireau"	"navet, radis, poireau"	"navet ( navet potager ) =http://ontology.inrae.fr/frenchcropusage/Navets_potagers, radis ( radis ) =http://ontology.inrae.fr/frenchcropusage/Radis, poireau ( poireau ) =http://ontology.inrae.fr/frenchcropusage/Poireaux"	"sous abris et en fè"	"3034-3055"	"type=N_PUN_N, match=fcu, form=navet, radis, poireau"
"20130606_bsv_maraichage_13_cle46d94d"	"nt été observés sur"	"haricot et épinard"	"haricot et épinard"	"haricot ( haricot ) =http://ontology.inrae.fr/frenchcropusage/Haricots, épinard ( épinard ) =http://ontology.inrae.fr/frenchcropusage/Epinards"	"(cf photo). Pour ra"	"3374-3392"	"type=N_KON_N, match=fcu, form=haricot et épinard"
"20130606_bsv_maraichage_13_cle46d94d"	"ures à cycle court ("	"radis, mâche"	"radis, mâche"	"radis ( radis ) =http://ontology.inrae.fr/frenchcropusage/Radis, mâche ( mâche ) =http://ontology.inrae.fr/frenchcropusage/Maches"	") mais il est faible"	"3527-3539"	"type=N_PUN_N, match=fcu, form=radis, mâche"
"20130606_bsv_maraichage_13_cle46d94d"	"(49) en sous abris ("	"navet, radis"	"navet, radis"	"navet ( navet potager ) =http://ontology.inrae.fr/frenchcropusage/Navets_potagers, radis ( radis ) =http://ontology.inrae.fr/frenchcropusage/Radis"	") et en plein champ"	"8643-8655"	"type=N_PUN_N, match=fcu, form=navet, radis"
"20130606_bsv_maraichage_13_cle46d94d"	"et en plein champ ("	"radis, fève"	"radis, fève"	"radis ( radis ) =http://ontology.inrae.fr/frenchcropusage/Radis, fève ( fève ) =http://ontology.inrae.fr/frenchcropusage/Feves"	"). 2 parcelles de pi"	"8676-8687"	"type=N_PUN_N, match=fcu, form=radis, fève"
