"bsv"	"context before"	"date"	"match"	"context after"	"location"	"features"
"091008_Bsv_cereales"	"ires du réseau : CA"	"08 - CA 10 - CA"	""	"51 - CA 52 CETA51 -"	"298-313"	"type=DD-MM, form=08 - CA 10 - CA"
"091008_Bsv_cereales"	"r piège 60 50 40 30"	"20
10"	""	"0 S37 S38 S39 S40 S"	"2249-2254"	"type=DD-MM, form=20
10"
"091008_Bsv_cereales"	"300"	"2007
    2008"	""	"2009"	"2914-2927"	"type=MM-YYYY, form=2007
    2008"
"091008_Bsv_cereales"	"2007 2008"	"2009"	""	"250"	"2932-2936"	"type=YYYY, form=2009"
"091008_Bsv_cereales"	"0 1/9"	"6/9
11/9"	""	"16/9 21/9 26/9 1/10"	"3073-3081"	"type=DD-MM, form=6/9
11/9"
"091008_Bsv_cereales"	"6/9 11/9 16/9 21/9"	"26/9
1/10"	""	"6/10 11/10 16/10 21"	"3092-3101"	"type=DD-MM, form=26/9
1/10"
"091008_Bsv_cereales"	"16/9 21/9 26/9 1/10"	"6/10 11/10"	""	"16/10 21/10 26/10 3"	"3102-3112"	"type=DD-MM, form=6/10 11/10"
"091008_Bsv_cereales"	"6/9 1/10 6/10 11/10"	"16/10 21/10"	""	"26/10 31/10 Un rése"	"3113-3124"	"type=DD-MM, form=16/10 21/10"
"091008_Bsv_cereales"	"0 11/10 16/10 21/10"	"26/10 31/10"	""	"Un réseau de suivi"	"3125-3136"	"type=DD-MM, form=26/10 31/10"
"091015_Bsv_cereales"	"Semaine"	"42 15/10/2009"	""	"Bulletin de Santé"	"9-22"	"type=DD-MM-YYYY, form=42 15/10/2009"
"091015_Bsv_cereales"	"eons et blé Semaine"	"42 15/10/2009"	""	"Bulletin édité sous"	"116-129"	"type=DD-MM-YYYY, form=42 15/10/2009"
"091015_Bsv_cereales"	"ires du réseau : CA"	"08 - CA 10 - CA"	""	"51 - CA 52 CETA51 -"	"298-313"	"type=DD-MM, form=08 - CA 10 - CA"
"091015_Bsv_cereales"	"lé, OH) 60 50 40 30"	"20
10"	""	"0 S37 S38 S39 S40 S"	"2718-2723"	"type=DD-MM, form=20
10"
"091015_Bsv_cereales"	"de la JNO) 300 250"	"2007"	""	"200 2008 2009 150 1"	"3242-3246"	"type=YYYY, form=2007"
"091015_Bsv_cereales"	"O) 300 250 2007 200"	"2008 2009"	""	"150 100 50 0 1/ 9 6"	"3251-3260"	"type=MM-YYYY, form=2008 2009"
"091015_Bsv_cereales"	"50 100 50 0 1/ 9 6/"	"9
11"	""	"/9 16 /9 21 /9 26 /"	"3282-3286"	"type=DD-MM, form=9
11"
"091015_Bsv_cereales"	"Nombre parcelles 20"	"15
10"	""	"5 0 0% 1 à 10% > 10"	"4180-4185"	"type=DD-MM, form=15
10"
"09_BSV_TB_260914_cle448c88"	"N°9 du"	"26 septembre 2014"	""	"N°9 du 26 septembr"	"8-25"	"type=DD-MM-YYYY, form=26 septembre 2014"
"09_BSV_TB_260914_cle448c88"	"tembre 2014 N°9 du"	"26 septembre 2014"	""	"s STADE Maladies Mi"	"34-51"	"type=DD-MM-YYYY, form=26 septembre 2014"
"09_BSV_TB_260914_cle448c88"	"plus sec du mois de"	"septembre"	""	"a permis de ralenti"	"733-742"	"type=MM, form=septembre"
"09_BSV_TB_260914_cle448c88"	"ce 2 rue de Rome CS"	"30 022"	""	"Schiltigheim 67013S"	"1418-1424"	"type=DD-MM, form=30 022"
"09_bsv_ail_03052012_V3"	"nt du plan Ecophyto"	"2018"	""	". BULLETIN DE SANTE"	"273-277"	"type=YYYY, form=2018"
"09_bsv_ail_03052012_V3"	"DI-PYRENEES Ail n°9"	"3 mai 2012"	""	"Dépôt légal : à par"	"330-340"	"type=DD-MM-YYYY, form=3 mai 2012"
"09_bsv_ail_03052012_V3"	"VÉGÉTAL AIL N° 9 DU"	"3 MAI 2012"	""	"Page 1/3 CE F E L"	"1884-1894"	"type=DD-MM-YYYY, form=3 MAI 2012"
"09_bsv_ail_03052012_V3"	"VÉGÉTAL AIL N° 9 DU"	"3 MAI 2012"	""	"Page 2/3 CE F E L"	"3710-3720"	"type=DD-MM-YYYY, form=3 MAI 2012"
"09_bsv_ail_03052012_V3"	"VÉGÉTAL AIL N° 9 DU"	"3 MAI 2012"	""	"Page 3/3 CE F E L"	"6259-6269"	"type=DD-MM-YYYY, form=3 MAI 2012"
"100311_BSV_Colza_tournesol"	"GNE-ARDENNE Semaine"	"10 11/03/2010"	""	"Bulletin édité sous"	"116-129"	"type=DD-MM-YYYY, form=10 11/03/2010"
"100311_BSV_Colza_tournesol"	"s réalisées du 8 au"	"10 mars"	""	"sur des témoins non"	"776-783"	"type=DD-MM, form=10 mars"
"100624_BSV_Colza_tournesol"	"Semaine"	"25 - 24/06/"	""	"2010 Bulletin édité"	"10-21"	"type=MM-YYYY, form=25 - 24/06/"
"100624_BSV_Colza_tournesol"	"Semaine 25 - 24/06/"	"2010"	""	"Bulletin édité sous"	"21-25"	"type=YYYY, form=2010"
"100624_BSV_Colza_tournesol"	"u réseau colza : CA"	"08 - CA 10 - CA"	""	"51 - CA 52 - CETA 5"	"200-215"	"type=DD-MM, form=08 - CA 10 - CA"
"100624_BSV_Colza_tournesol"	"réalisées du 21 au"	"23 juin"	""	"sur des témoins non"	"726-733"	"type=DD-MM, form=23 juin"
"100701_bsv_mais"	"ineux, Maïs Semaine"	"26 01/07/2010"	""	"Bulletin édité sous"	"123-136"	"type=DD-MM-YYYY, form=26 01/07/2010"
"100701_bsv_mais"	"tut du végétal - CA"	"08 - CA 10 - CA"	""	"51 - CA 52 - CETA 5"	"337-352"	"type=DD-MM, form=08 - CA 10 - CA"
"100701_bsv_mais"	"agineux 1/6 Semaine"	"26 - 01/07/"	""	"2010 RAVAGEURS : Py"	"1533-1544"	"type=MM-YYYY, form=26 - 01/07/"
"100701_bsv_mais"	"Semaine 26 - 01/07/"	"2010"	""	"RAVAGEURS : Pyrale"	"1544-1548"	"type=YYYY, form=2010"
"100701_bsv_mais"	"s sur la période du"	"25 juin"	""	"au 1 juillet : 6 da"	"1668-1675"	"type=DD-MM, form=25 juin"
"100701_bsv_mais"	"riode du 25 juin au"	"1 juillet"	""	": 6 dans l'Aube, 8"	"1679-1688"	"type=DD-MM, form=1 juillet"
"100701_bsv_mais"	"agineux 2/6 Semaine"	"26 - 01/07/"	""	"2010 Population de"	"2391-2402"	"type=MM-YYYY, form=26 - 01/07/"
"100701_bsv_mais"	"Semaine 26 - 01/07/"	"2010"	""	"Population de puce"	"2402-2406"	"type=YYYY, form=2010"
"100701_bsv_mais"	"agineux 3/6 Semaine"	"26 - 01/07/"	""	"2010 AUTRES OBSERVA"	"3961-3972"	"type=MM-YYYY, form=26 - 01/07/"
"100701_bsv_mais"	"Semaine 26 - 01/07/"	"2010"	""	"AUTRES OBSERVATION"	"3972-3976"	"type=YYYY, form=2010"
"100701_bsv_mais"	"ogique. 50% 40% 30%"	"20%
10%"	""	"INSECTES 0% SLA FSL"	"5076-5083"	"type=DD-MM, form=20%
10%"
"100701_bsv_mais"	"agineux 4/6 Semaine"	"26 - 01/07/"	""	"2010 suivi des vols"	"5466-5477"	"type=MM-YYYY, form=26 - 01/07/"
"100701_bsv_mais"	"Semaine 26 - 01/07/"	"2010"	""	"suivi des vols de"	"5477-5481"	"type=YYYY, form=2010"
"100701_bsv_mais"	"agineux 5/6 Semaine"	"26 - 01/07/"	""	"2010 FEVEROLES de p"	"7554-7565"	"type=MM-YYYY, form=26 - 01/07/"
"100701_bsv_mais"	"Semaine 26 - 01/07/"	"2010"	""	"FEVEROLES de print"	"7565-7569"	"type=YYYY, form=2010"
"100701_bsv_mais"	"agineux 6/6 Semaine"	"26 - 01/07/"	""	"2010"	"8605-8616"	"type=MM-YYYY, form=26 - 01/07/"
"100701_bsv_mais"	"Semaine 26 - 01/07/"	"2010"	""	""	"8616-8620"	"type=YYYY, form=2010"
"100916_BSV_Colza_Tournesol_S37"	"Semaine"	"37 16/09/2010"	""	"Semaine 37 16/09/2"	"9-22"	"type=DD-MM-YYYY, form=37 16/09/2010"
"100916_BSV_Colza_Tournesol_S37"	"16/09/2010 Semaine"	"37 16/09/2010"	""	"Bulletin édité sous"	"32-45"	"type=DD-MM-YYYY, form=37 16/09/2010"
"100916_BSV_Colza_Tournesol_S37"	"u réseau colza : CA"	"08 - CA 10 - CA"	""	"51 - CA 52 - CETA 5"	"220-235"	"type=DD-MM, form=08 - CA 10 - CA"
"100916_BSV_Colza_Tournesol_S37"	"réalisées du 13 au"	"15 septembre"	""	"sur des témoins non"	"820-832"	"type=DD-MM, form=15 septembre"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"N°"	"11 - 30 avril 2014"	""	"Champagne-Ardenne"	"4-22"	"type=DD-MM-YYYY, form=11 - 30 avril 2014"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"ampagne-Ardenne N°"	"11 - 30 avril 2014"	""	"Champagne-Ardenne A"	"45-63"	"type=DD-MM-YYYY, form=11 - 30 avril 2014"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"réalisées du 28 et"	"29 avril 2014"	""	", sur parcelles agri"	"1242-1255"	"type=DD-MM-YYYY, form=29 avril 2014"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"note nationale BSV"	"2012"	""	"sur les abeilles 1."	"6384-6388"	"type=YYYY, form=2012"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"dré a été rédigé en"	"2012"	""	"par un groupe de tr"	"8451-8455"	"type=YYYY, form=2012"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"u Végétal calcul du"	"24 avril 2014"	""	"OÏDIUM Source-ARVAL"	"10990-11003"	"type=DD-MM-YYYY, form=24 avril 2014"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"es (cf. bulletin du"	"24 avril"	""	"). RAVAGEURS La prés"	"12110-12118"	"type=DD-MM, form=24 avril"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"es au début du mois"	"d'avril"	""	"sont levées. RAVAGE"	"15806-15813"	"type=MM, form=d'avril"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"s ont démarrées fin"	"mars"	""	"début avril et se t"	"16102-16106"	"type=MM, form=mars"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"rées fin mars début"	"avril"	""	"et se termineront d"	"16113-16118"	"type=MM, form=avril"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"semis antérieurs au"	"15 mars"	""	"). Exception faite"	"19450-19457"	"type=DD-MM, form=15 mars"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"la veille de ce 1er"	"mai"	""	". Etat de la culture"	"19635-19638"	"type=MM, form=mai"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"températures de la"	"mi-avril"	""	"ont été favorables"	"20530-20538"	"type=MM, form=mi-avril"
"11_-_BSV_Grandes_cultures_S18-2-1_cle8d5b6e"	"nt du plan ECOPHYTO"	"2018"	""	". 12"	"22906-22910"	"type=YYYY, form=2018"
"11_BSV_GC_17052010_cle85a2fb"	"de Santé du Végétal"	"18 mai 2010"	""	"N° 11 COLZA La flor"	"60-71"	"type=DD-MM-YYYY, form=18 mai 2010"
"11_BSV_GC_17052010_cle85a2fb"	"re 2 rue de Rome BP"	"30 022"	""	"Schiltigheim 67013"	"1531-1537"	"type=DD-MM, form=30 022"
"11_BSV_GC_17052010_cle85a2fb"	"sque fort Risque en"	"2009"	""	"à la même époque Le"	"2884-2888"	"type=YYYY, form=2009"
"11_BSV_GC_17052010_cle85a2fb"	"à la même époque Le"	"17 mai"	""	"Oïdium L'oïdium est"	"2909-2915"	"type=DD-MM, form=17 mai"
"11_BSV_GC_19052009_cle85f46f"	"de Santé du Végétal"	"19 mai 2009"	""	"N° 11 Grandes cultu"	"60-71"	"type=DD-MM-YYYY, form=19 mai 2009"
"11_BSV_GC_19052009_cle85f46f"	"dernière. Risque en"	"2008"	""	"à la même époque Pr"	"1357-1361"	"type=YYYY, form=2008"
"11_BSV_GC_19052009_cle85f46f"	"poque Prévisions au"	"24 mai"	""	"Risque faible Risqu"	"1393-1399"	"type=DD-MM, form=24 mai"
"11_BSV_GC_19052009_cle85f46f"	"oyen Risque fort le"	"17 mai"	""	"Risque prévisionnel"	"1456-1462"	"type=DD-MM, form=17 mai"
"11_BSV_GC_19052009_cle85f46f"	"re 2 rue de Rome BP"	"30 022"	""	"Schlitigheim 67013"	"1617-1623"	"type=DD-MM, form=30 022"
"11_BSV_GC_19052009_cle85f46f"	"stitut du végétal /"	"mai 2009"	""	"Les dégâts de verté"	"5080-5088"	"type=MM-YYYY, form=mai 2009"
"1300514_bu_gc12_cle02f1cf"	"N°12"	"14 mai 2013"	""	"N°12 14 mai 2013 E"	"6-17"	"type=DD-MM-YYYY, form=14 mai 2013"
"1300514_bu_gc12_cle02f1cf"	"2 14 mai 2013 N°12"	"14 mai 2013"	""	"En Bref Protection"	"24-35"	"type=DD-MM-YYYY, form=14 mai 2013"
"1300514_bu_gc12_cle02f1cf"	"mées à partir de la"	"mi-novembre"	""	"et faible à moyen p"	"1004-1015"	"type=MM, form=mi-novembre"
"1300514_bu_gc12_cle02f1cf"	"semées à partir de"	"novembre"	""	". Les autres maladie"	"1085-1093"	"type=MM, form=novembre"
"1300514_bu_gc12_cle02f1cf"	"note nationale BSV"	"2012"	""	"sur les abeilles Ra"	"1832-1836"	"type=YYYY, form=2012"
"1300514_bu_gc12_cle02f1cf"	"ur des semis de fin"	"octobre"	""	"- début novembre à"	"6446-6453"	"type=MM, form=octobre"
"1300514_bu_gc12_cle02f1cf"	"fin octobre - début"	"novembre"	""	"à partir de début j"	"6462-6470"	"type=MM, form=novembre"
"1300514_bu_gc12_cle02f1cf"	"e à partir de début"	"juin"	""	"et pour les semis d"	"6489-6493"	"type=MM, form=juin"
"1300514_bu_gc12_cle02f1cf"	"ur les semis de fin"	"novembre"	""	", à partir de la mi"	"6519-6527"	"type=MM, form=novembre"
"1300514_bu_gc12_cle02f1cf"	", à partir de la mi"	"juin"	""	". Oïdium Peu de parc"	"6547-6551"	"type=MM, form=juin"
"1300514_bu_gc12_cle02f1cf"	"38"	"42
  
  
    10"	""	"F2 7"	"9503-9518"	"type=DD-MM, form=42
  
  
    10"
"1300514_bu_gc12_cle02f1cf"	"variétés semées fin"	"octobre"	""	"ou les variétés sen"	"10758-10765"	"type=MM, form=octobre"
"1300514_bu_gc12_cle02f1cf"	"nsibles semées à la"	"mi-novembre"	""	"ou les variétés sen"	"10829-10840"	"type=MM, form=mi-novembre"
"1300514_bu_gc12_cle02f1cf"	"ensibles semées fin"	"novembre"	""	". Risque moyen à for"	"10878-10886"	"type=MM, form=novembre"
"1300514_bu_gc12_cle02f1cf"	"nsibles semées à la"	"mi-novembre"	""	"et les variétés moy"	"10954-10965"	"type=MM, form=mi-novembre"
"1300514_bu_gc12_cle02f1cf"	"les semées à la fin"	"novembre"	""	". Risque fai"	"11020-11028"	"type=MM, form=novembre"
"1300514_bu_gc12_cle02f1cf"	"ensibles semées fin"	"novembre"	""	". La carte"	"11105-11113"	"type=MM, form=novembre"
"1300514_bu_gc12_cle02f1cf"	"emis intermédiaire ("	"10 novembre"	""	") est la suivante :"	"11218-11229"	"type=DD-MM, form=10 novembre"
"1300514_bu_gc12_cle02f1cf"	"emis intermédiaire ("	"10 novembre"	""	") est la suivante :"	"11359-11370"	"type=DD-MM, form=10 novembre"
"1300514_bu_gc12_cle02f1cf"	"emis intermédiaire ("	"25 novembre"	""	") est la suivante :"	"11493-11504"	"type=DD-MM, form=25 novembre"
"1300514_bu_gc12_cle02f1cf"	"emis intermédiaire ("	"25 novembre"	""	") est la suivante :"	"11634-11645"	"type=DD-MM, form=25 novembre"
"1300514_bu_gc12_cle02f1cf"	"parcelle semée fin"	"octobre"	""	"et située à Sarzeau"	"11937-11944"	"type=MM, form=octobre"
"1300514_bu_gc12_cle02f1cf"	"Atalante Champeaux"	"35 042"	""	"RENNESContact : Ali"	"18434-18440"	"type=DD-MM, form=35 042"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"agineux du 13/03 au"	"19/03/"	""	"2013 LIN OLEAGINEUX"	"121-127"	"type=MM-YYYY, form=19/03/"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"x du 13/03 au 19/03/"	"2013"	""	"LIN OLEAGINEUX"	"127-131"	"type=YYYY, form=2013"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"UX NORD - OUEST"	"2013"	""	"Le réseau lin oléag"	"217-221"	"type=YYYY, form=2013"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"ce pour la campagne"	"2013"	""	"réparties sur 5 rég"	"326-330"	"type=YYYY, form=2013"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"seau lin oléagineux"	"2013 - Localisation"	""	"des 17 parcelles d'"	"654-673"	"type=YYYY, form=2013 - Localisation"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"nt du plan Ecophyto"	"2018"	""	"BSV Lin Oléagineux"	"1543-1547"	"type=YYYY, form=2018"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"nt du plan Ecophyto"	"2018"	""	"BSV Lin Oléagineux"	"3792-3796"	"type=YYYY, form=2018"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"3 2 1"	"1
    12"	""	"Semaine 1"	"4992-5000"	"type=DD-MM, form=1
    12"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"2 2 3"	"0
    11"	""	"Semaine 1"	"5185-5193"	"type=DD-MM, form=0
    11"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"nt du plan Ecophyto"	"2018"	""	"BSV Lin Oléagineux"	"6471-6475"	"type=YYYY, form=2018"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"nt du plan Ecophyto"	"2018"	""	""	"8559-8563"	"type=YYYY, form=2018"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"agineux du 01/05 au"	"07/05/"	""	"2013 LIN OLEAGINEUX"	"149-155"	"type=MM-YYYY, form=07/05/"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"x du 01/05 au 07/05/"	"2013"	""	"LIN OLEAGINEUX PRES"	"155-159"	"type=YYYY, form=2013"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"GINEUX NORD - OUEST"	"2013"	""	"Le réseau lin oléag"	"223-227"	"type=YYYY, form=2013"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"ce pour la campagne"	"2013"	""	"réparties sur 5 rég"	"332-336"	"type=YYYY, form=2013"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"seau lin oléagineux"	"2013 - Localisation"	""	"des 18 parcelles d'"	"647-666"	"type=YYYY, form=2013 - Localisation"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"nt du plan Ecophyto"	"2018"	""	"BSV Lin Oléagineux"	"1606-1610"	"type=YYYY, form=2018"
