"bsv"	"html tags"	"segment (type)"	"segment (form)"	"fcu concepts"	"bioagressors"	"deseases"	"stages"	"context before"	"context after"	"location"	"features"
"1300514_bu_gc12_cle02f1cf"	"H1
H1
H1
H2
P
H2"	"EDITION"	"N°12
14 mai 2013
En Bref
Protection des abeilles (p. 2)
Les abeilles sont toujours actives et visitent en grand nombre les colzas : rappel des principales consignes.
Colza (p. 3)"	"colza,
colza"	""	""	""	"N°12 14 mai 2013"	"Stades : Entre G1"	"19-197"	"type=EDITION, form=N°12
14 mai 2013
En Bref
Protection des abeilles (p. 2)
Les abeilles sont toujours actives et visitent en grand nombre les colzas : rappel des principales consignes.
Colza (p. 3)"
"1300514_bu_gc12_cle02f1cf"	"H2
H1"	"STADES"	"Stades
Maladies"	""	""	""	""	"8 et Morbihan : 7)"	"La répartition des"	"4014-4029"	"type=STADES, form=Stades
Maladies"
"1300514_bu_gc12_cle02f1cf"	"H2
P
BR
P
BR
H2"	"STADES"	"Stades
Les stades sont compris entre "" 2 nœuds "" et"" Gonflement "". Une grande majorité des parcelles est comprise entre "" dernière feuille pointante "" et dernière feuille étalée ""
Selon le modèle de prévision des stades "" Stadilis ""(Arvalis), le stade "" Floraison "" sera atteint pour des semis de fin octobre - début novembre à partir de début juin et pour les semis de fin novembre, à partir de la mi juin.
Oïdium"	""	"Oïdium"	"Oïdium"	""	"4 et Morbihan : 13)"	"Peu de parcelles so"	"6145-6559"	"type=STADES, form=Stades
Les stades sont compris entre "" 2 nœuds "" et"" Gonflement "". Une grande majorité des parcelles est comprise entre "" dernière feuille pointante "" et dernière feuille étalée ""
Selon le modèle de prévision des stades "" Stadilis ""(Arvalis), le stade "" Floraison "" sera atteint pour des semis de fin octobre - début novembre à partir de début juin et pour les semis de fin novembre, à partir de la mi juin.
Oïdium"
"1300514_bu_gc12_cle02f1cf"	"H2
P
H2"	"STADES"	"Stades
Les stades vont de "" Dernière Feuille Pointante "", pour deux parcelles, à "" Mi épiaison"". Pour ce dernier, seule une parcelle semée fin octobre et située à Sarzeau (56) est concernée. Le stade "" Dernière feuille étalée "" est majoritaire avec 46% des parcelles observées.
Complexe Stagonospora / Ascochyta / Didymella"	""	""	""	""	"3 et Morbihan : 7)"	"Des symptômes simil"	"11794-12117"	"type=STADES, form=Stades
Les stades vont de "" Dernière Feuille Pointante "", pour deux parcelles, à "" Mi épiaison"". Pour ce dernier, seule une parcelle semée fin octobre et située à Sarzeau (56) est concernée. Le stade "" Dernière feuille étalée "" est majoritaire avec 46% des parcelles observées.
Complexe Stagonospora / Ascochyta / Didymella"
"1300514_bu_gc12_cle02f1cf"	"H2
P
H2"	"STADES"	"Stades
Les stades vont de "" dernière feuille pointante "" à "" début floraison "".
Helminthosporiose"	""	""	"Helminthosporiose"	""	": 3, Morbihan : 1)"	"La maladie n'a pas"	"13619-13716"	"type=STADES, form=Stades
Les stades vont de "" dernière feuille pointante "" à "" début floraison "".
Helminthosporiose"
"1300514_bu_gc12_cle02f1cf"	"H2
H2
P
P
H2
P
H2
P
H2
P
H2"	"STADES"	"Stades
Analyse du risque Altises
Cette semaine, les stades s'échelonnent de E1 à G1. Excepté une parcelle en Normandie (stade E1), toutes les parcelles sont en cours de floraison (F1 à F9) ou l'ont même dépassé pour deux parcelles en Vendée (stade G1).
Des altises ont été observées sur environ 5 % des plantes dans une parcelle (Normandie) sur les 7 parcelles ayant fait l'objet d'une observation d'altises en ce début de semaine. A ce stade sur lin oléagineux d'hiver le risque est nul. Pour les lins de printemps qui n'ont pas encore dépassé le stade 5-6 cm, la vigilance doit se poursuivre.
Analyse du risque Thrips
Présence relevée dans 1 parcelle (1 thrips en moyenne par balayage) sur les 9 parcelles ayant fait l'objet d'une observation en ce début de semaine. Leur présence est inférieure au seuil de nuisibilité (5 thrips par balayage). Le risque est faible à ce jour mais la surveillance doit se poursuivre pour l'ensemble des parcelles n'ayant pas atteint la fin floraison (F9).
Analyse du risque Septoriose
Plus de 90 % des parcelles du réseau ont atteint le début de la période de risque (floraison débutée) vis-à-vis de la septoriose. Des premiers symptômes (2 % des pieds touchés) de Septoria linicola ont été observé dans une parcelle (Charente-Maritime) sur les 10 parcelles ayant fait l'objet d'un suivi de cette maladie. La surveillance doit se poursuivre.
Analyse du risque Kabatiella lini
Des symptômes de Kabatiella lini continuent d'être observés cette semaine dans 3 parcelles sur les 6 ayant fait l'objet d'un suivi de la Des symptômes de Botrytis cinerea (2 % des plantes touchées) ont maladie. été observés sur une parcelle du réseau (14). Le suivi de l'évolution de ces symptômes doit impérativement continuer.
Autres symptômes"	"lin oléagineux d'hiver,
lin"	"Altises,
altises,
Botrytis cinerea,
Botrytis cinerea"	"Thrips,
thrips,
thrips"	""	": 6, Normandie : 1)"	"L'ensemble des obse"	"15876-17632"	"type=STADES, form=Stades
Analyse du risque Altises
Cette semaine, les stades s'échelonnent de E1 à G1. Excepté une parcelle en Normandie (stade E1), toutes les parcelles sont en cours de floraison (F1 à F9) ou l'ont même dépassé pour deux parcelles en Vendée (stade G1).
Des altises ont été observées sur environ 5 % des plantes dans une parcelle (Normandie) sur les 7 parcelles ayant fait l'objet d'une observation d'altises en ce début de semaine. A ce stade sur lin oléagineux d'hiver le risque est nul. Pour les lins de printemps qui n'ont pas encore dépassé le stade 5-6 cm, la vigilance doit se poursuivre.
Analyse du risque Thrips
Présence relevée dans 1 parcelle (1 thrips en moyenne par balayage) sur les 9 parcelles ayant fait l'objet d'une observation en ce début de semaine. Leur présence est inférieure au seuil de nuisibilité (5 thrips par balayage). Le risque est faible à ce jour mais la surveillance doit se poursuivre pour l'ensemble des parcelles n'ayant pas atteint la fin floraison (F9).
Analyse du risque Septoriose
Plus de 90 % des parcelles du réseau ont atteint le début de la période de risque (floraison débutée) vis-à-vis de la septoriose. Des premiers symptômes (2 % des pieds touchés) de Septoria linicola ont été observé dans une parcelle (Charente-Maritime) sur les 10 parcelles ayant fait l'objet d'un suivi de cette maladie. La surveillance doit se poursuivre.
Analyse du risque Kabatiella lini
Des symptômes de Kabatiella lini continuent d'être observés cette semaine dans 3 parcelles sur les 6 ayant fait l'objet d'un suivi de la Des symptômes de Botrytis cinerea (2 % des plantes touchées) ont maladie. été observés sur une parcelle du réseau (14). Le suivi de l'évolution de ces symptômes doit impérativement continuer.
Autres symptômes"
"1300514_bu_gc12_cle02f1cf"	"SMALL
P"	"FINANCEMENT"	"Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto"	""	""	""	""	"e Ouest, DRAAF-SRAL"	"Ce bulletin est pro"	"18976-19217"	"type=FINANCEMENT, form=Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto"
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"H3
P"	"RISQUE"	"Contexte d 'observations
Pas de présence relevée. Aucune capture n'est notée sur les 10 parcelles ayant fait l'objet d'une observation des thrips en ce début de semaine."	""	""	"thrips"	""	"100 % THRIPS"	"Périod e de risque"	"2493-2662"	"type=RISQUE, form=Contexte d 'observations
Pas de présence relevée. Aucune capture n'est notée sur les 10 parcelles ayant fait l'objet d'une observation des thrips en ce début de semaine."
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"H3
P"	"RISQUE"	"Contexte d 'observations
Aucune capture n'est notée sur les 11 parcelles ayant fait l'objet d'une observation d'altises en ce début de semaine."	""	""	""	""	"ineux- N° 2 ALTISES"	"Périod e de risque"	"3831-3974"	"type=RISQUE, form=Contexte d 'observations
Aucune capture n'est notée sur les 11 parcelles ayant fait l'objet d'une observation d'altises en ce début de semaine."
"130319_BSV_Lin__Oleagineux_n2_F_cle4b3994"	"H3
P"	"RISQUE"	"Contexte d 'observations
Des symptômes de Kabatiella lini ont été observés sur 11 parcelles cette semaine."	""	""	""	""	"nt. KABATIELLA LINI"	"Symptômes"	"4669-4775"	"type=RISQUE, form=Contexte d 'observations
Des symptômes de Kabatiella lini ont été observés sur 11 parcelles cette semaine."
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"H3
P"	"RISQUE"	"Contexte d'observations
Présence relevée dans 2 parcelles (de 1 à 2 thrips en moyenne par balayage) sur les 10 parcelles ayant fait l'objet d'une observation des thrips en ce début de semaine."	""	""	"thrips,
thrips"	""	"HRIPS Risque thrips"	"Rédacteur : Mathieu"	"2090-2282"	"type=RISQUE, form=Contexte d'observations
Présence relevée dans 2 parcelles (de 1 à 2 thrips en moyenne par balayage) sur les 10 parcelles ayant fait l'objet d'une observation des thrips en ce début de semaine."
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"H3
P
H3
P
H3
P"	"RISQUE"	"Période de risque
Pendant la période de croissance jusqu'à la floraison.
Seuil de nuisibilité
5 thrips en moyenne par balayage.
Analyse du risque
La présence de thrips n'est relevée à ce jour que dans un petit nombre de parcelles (2 parcelles sur 10 avec en moyenne de 1 à 2 thrips). Le risque est donc modéré. La surveillance doit se poursuivre pour les parcelles n'ayant pas atteint la fin floraison (F9)."	""	""	"thrips,
thrips,
thrips"	""	"in Oléagineux- N° 9"	"ALTISES Risque alti"	"2935-3342"	"type=RISQUE, form=Période de risque
Pendant la période de croissance jusqu'à la floraison.
Seuil de nuisibilité
5 thrips en moyenne par balayage.
Analyse du risque
La présence de thrips n'est relevée à ce jour que dans un petit nombre de parcelles (2 parcelles sur 10 avec en moyenne de 1 à 2 thrips). Le risque est donc modéré. La surveillance doit se poursuivre pour les parcelles n'ayant pas atteint la fin floraison (F9)."
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"H3
P"	"RISQUE"	"Contexte d'observations
Aucune capture n'est notée sur les 7 parcelles ayant fait l'objet d'une observation d'altises en ce début de semaine."	""	""	""	""	"s (Source : CETIOM)"	"Période de risque D"	"3384-3525"	"type=RISQUE, form=Contexte d'observations
Aucune capture n'est notée sur les 7 parcelles ayant fait l'objet d'une observation d'altises en ce début de semaine."
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"H3
P
H3
P
H3
P
P"	"RISQUE"	"Période de risque
Du fendillement au stade 5-6 cm (C2). La dynamique de végétation est à prendre en compte, avec des attaques davantage problématiques sur des lins peu poussants que sur des plantes en pleine croissance.
Seuil de nuisibilité
Il n'existe pas de seuil d intervention. Les risques sont à apprécier en fonction de l'état des lins (peuplement, vigueur, stade), du nombre d'insectes et de morsures et des prévisions météorologiques.
Analyse du risque
Le risque est faible cette semaine. La vigilance doit continuer pour les lins de printemps qui n'ont pas encore dépassé le stade 5-6 cm.
SEPTORIOSE"	"lin,
lin,
lin"	""	""	""	"e début de semaine."	"Risque Septoria l."	"3526-4134"	"type=RISQUE, form=Période de risque
Du fendillement au stade 5-6 cm (C2). La dynamique de végétation est à prendre en compte, avec des attaques davantage problématiques sur des lins peu poussants que sur des plantes en pleine croissance.
Seuil de nuisibilité
Il n'existe pas de seuil d intervention. Les risques sont à apprécier en fonction de l'état des lins (peuplement, vigueur, stade), du nombre d'insectes et de morsures et des prévisions météorologiques.
Analyse du risque
Le risque est faible cette semaine. La vigilance doit continuer pour les lins de printemps qui n'ont pas encore dépassé le stade 5-6 cm.
SEPTORIOSE"
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"H3
P"	"RISQUE"	"Contexte d'observations
70 % des parcelles ont atteint le début de la période de risque (floraison débutée) vis-à-vis de la septoriose. Aucun symptôme de Septoria linicola n'a été observé cette semaine sur les 5 parcelles ayant fait l'objet d'un suivi de cette maladie."	""	""	""	""	"Risque Septoria l."	"Période de risque D"	"4154-4423"	"type=RISQUE, form=Contexte d'observations
70 % des parcelles ont atteint le début de la période de risque (floraison débutée) vis-à-vis de la septoriose. Aucun symptôme de Septoria linicola n'a été observé cette semaine sur les 5 parcelles ayant fait l'objet d'un suivi de cette maladie."
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"H3
P
H3
P
P
P
H3
P"	"RISQUE"	"Période de risque
De la floraison à la maturité.
Seuil de nuisibilité
Il n'y a pas à ce jour pour la septoriose de seuil de risque. Etant donné la
(Source : ARVALIS - CETIOM) nuisibilité potentielle de cette maladie, il est considéré que l'apparition des
premiers symptômes constitue un risque. Celui-ci est d'autant plus important que les conditions climatiques sont humides et douces au moment de la floraison.
Analyse du risque
A ce jour, 70 % des parcelles sont entrées dans la période de risque vis-à-vis de cette maladie. La surveillance doit se poursuivre."	""	""	""	""	"i de cette maladie."	"Rédacteur : Mathieu"	"4424-4987"	"type=RISQUE, form=Période de risque
De la floraison à la maturité.
Seuil de nuisibilité
Il n'y a pas à ce jour pour la septoriose de seuil de risque. Etant donné la
(Source : ARVALIS - CETIOM) nuisibilité potentielle de cette maladie, il est considéré que l'apparition des
premiers symptômes constitue un risque. Celui-ci est d'autant plus important que les conditions climatiques sont humides et douces au moment de la floraison.
Analyse du risque
A ce jour, 70 % des parcelles sont entrées dans la période de risque vis-à-vis de cette maladie. La surveillance doit se poursuivre."
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"H3
P"	"RISQUE"	"Contexte d'observations
Des symptômes de Kabatiella lini continuent d'être observés cette semaine dans 3 parcelles sur les 5 ayant fait l'objet d'un suivi de la maladie."	""	""	""	""	"isque kabatiella l."	"Répartition en 5 cl"	"5677-5846"	"type=RISQUE, form=Contexte d'observations
Des symptômes de Kabatiella lini continuent d'être observés cette semaine dans 3 parcelles sur les 5 ayant fait l'objet d'un suivi de la maladie."
"130507_BSV_Lin__Oleagineux_n9_F_cle4bfe17"	"H3
P
H3
P
H3
P"	"RISQUE"	"Période de risque
A partir du stade B2 (2 cm). Les lins montrent des cicatrices au niveau du collet qui peuvent évoluer en crevasses longitudinales profondes. Les tiges touchées se courbent.
Seuil de nuisibilité
La courbure de la tige provoquée par l'agent Kabatiella lini reste très préjudiciable sur la production de graines.
Analyse du risque
La gestion du risque Kabatiella lini se fait à l'automne. Les symptômes observés à ce jour, sont des symptômes de courbure avec présence de cicatrices (déchirures) au collet. Le deuxième symptôme, visible à partir de la floraison est une brunissure, remontant le long de la tige."	"lin"	""	""	""	"semaine à l'autre."	"(Source : CETIOM) R"	"6191-6816"	"type=RISQUE, form=Période de risque
A partir du stade B2 (2 cm). Les lins montrent des cicatrices au niveau du collet qui peuvent évoluer en crevasses longitudinales profondes. Les tiges touchées se courbent.
Seuil de nuisibilité
La courbure de la tige provoquée par l'agent Kabatiella lini reste très préjudiciable sur la production de graines.
Analyse du risque
La gestion du risque Kabatiella lini se fait à l'automne. Les symptômes observés à ce jour, sont des symptômes de courbure avec présence de cicatrices (déchirures) au collet. Le deuxième symptôme, visible à partir de la floraison est une brunissure, remontant le long de la tige."
"131009_BSV_Lin__Oleagineux_1_cle8152f3"	"H3
BR"	"RISQUE"	"Contexte d'observations
Des altises sont observées sur deux parcelles de lin oléagineux d'hiver (5 à 12 % des plantes présentant des morsures) dans l'Indre (36) et la Charente-Maritime"	"lin oléagineux d'hiver"	"altises"	""	""	"ISES Risque altises"	"(17). Période de ris"	"1059-1243"	"type=RISQUE, form=Contexte d'observations
Des altises sont observées sur deux parcelles de lin oléagineux d'hiver (5 à 12 % des plantes présentant des morsures) dans l'Indre (36) et la Charente-Maritime"
"14_bsv_vigne_05_juillet_2012_cle856631"	"P
SMALL
P"	"FINANCEMENT"	"Ce bulletin est produit à partir d'observations ponctuelles. S'il donne une tendance de la situation sanitaire régionale, celle-ci ne peut être transposée telle quelle à la parcelle. La CRAPL dégage donc toute responsabilité quant aux décisions prises par les viticulteurs pour la protection de leurs vignes et les invite à prendre ces décisions sur la base des observations qu'ils auront réalisées sur leurs parcelles.
Action pilotée par le ministère chargé de l'Agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."	"vigne"	""	""	""	"s de Terroirs de la"	""	"8158-8825"	"type=FINANCEMENT, form=Ce bulletin est produit à partir d'observations ponctuelles. S'il donne une tendance de la situation sanitaire régionale, celle-ci ne peut être transposée telle quelle à la parcelle. La CRAPL dégage donc toute responsabilité quant aux décisions prises par les viticulteurs pour la protection de leurs vignes et les invite à prendre ces décisions sur la base des observations qu'ils auront réalisées sur leurs parcelles.
Action pilotée par le ministère chargé de l'Agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto 2018."
"15BSVGC05062012_cle0b33a1"	"H3
P
BR
BR
BR
H3"	"SOMMAIRE"	"SOMMAIRE
Surveiller les insectesBetterave : pégomyies et puceronsFeverole : bruchesBlé : cécidomyies
Ravageurs"	""	""	""	""	"2 51%"	"Les pégomyies sont"	"1223-1333"	"type=SOMMAIRE, form=SOMMAIRE
Surveiller les insectesBetterave : pégomyies et puceronsFeverole : bruchesBlé : cécidomyies
Ravageurs"
"15BSVGC05062012_cle0b33a1"	"H3
SMALL
P
H2
H3
SMALL
P
H3
P
H3
P
H3"	"STADES"	"Stades
Stade moyen sortie des barbes - gonflement
 BLE : 35 parcelles observées
Stades :
20 parcelles sont en cours d'épiaison 15 parcelles en cours de floraison
Maladies
Toujours une pression assez faible de maladies : Helminthosposriose (5 parcelles), rhynchosporiose (2 parcelles) et rouille naine (1 parcelle) signalées sur F3.
Ravageurs
La moitié des parcelles est maintenant signalée avec présence de cricocères (léma) ...
Ravageurs"	""	""	"rhynchosporiose,
rouille"	""	"TEMPS : 9 parcelles"	"Quelques signalemen"	"2237-2675"	"type=STADES, form=Stades
Stade moyen sortie des barbes - gonflement
 BLE : 35 parcelles observées
Stades :
20 parcelles sont en cours d'épiaison 15 parcelles en cours de floraison
Maladies
Toujours une pression assez faible de maladies : Helminthosposriose (5 parcelles), rhynchosporiose (2 parcelles) et rouille naine (1 parcelle) signalées sur F3.
Ravageurs
La moitié des parcelles est maintenant signalée avec présence de cricocères (léma) ...
Ravageurs"
"15BSVGC05062012_cle0b33a1"	"H3
SMALL
P
H3"	"STADES"	"Stades
Début floraison
Maladies"	""	""	""	""	"ineux : 3 parcelles"	"Pression faible d'a"	"3654-3685"	"type=STADES, form=Stades
Début floraison
Maladies"
"15BSVGC05062012_cle0b33a1"	"H3
P
H2
H3
P
H3"	"STADES"	"Stades :
de 3 feuilles à 6 feuilles, selon date de semis. Les conditions climatiques froides et humides d'avril et mai ont provoqué dans de nombreuses parcelles des pertes de pieds. Les semis de la mi-mai ont eu une levée rapide et homogène. Les bonnes conditions climatiques de la semaine dernière ont redonné couleur et vigueur aux plantes.
 LIN : 14 parcelles observées
Stades :
la majorité des parcelles est au stade 50-60 cm. Les boutons floraux commencent à apparaitre.
Ravageurs"	"lin"	""	"froides"	"stade secondaire BBCH 009 "	"parcelles observées"	"Traces de présence"	"8041-8526"	"type=STADES, form=Stades :
de 3 feuilles à 6 feuilles, selon date de semis. Les conditions climatiques froides et humides d'avril et mai ont provoqué dans de nombreuses parcelles des pertes de pieds. Les semis de la mi-mai ont eu une levée rapide et homogène. Les bonnes conditions climatiques de la semaine dernière ont redonné couleur et vigueur aux plantes.
 LIN : 14 parcelles observées
Stades :
la majorité des parcelles est au stade 50-60 cm. Les boutons floraux commencent à apparaitre.
Ravageurs"
