"bsv"	"context before"	"bioagressors"	"context after"	"location"	"features"
"02_bsv_raisin_29032012_V3"	"la conservation du"	"champignon"	"est assurée par les"	"3573-3583"	"type=BIOAGRESSOR, $=champignon, form=champignon"
"02_bsv_raisin_29032012_V3"	"MARS 2012 Page 2/3"	"EXCORIOSE"	"Situation dans les"	"4559-4568"	"type=BIOAGRESSOR, $=excoriose, form=EXCORIOSE"
"02_bsv_raisin_29032012_V3"	"secteurs précoces."	"PARASITES"	"ÉMERGENTS ( THRIPS"	"5626-5635"	"type=BIOAGRESSOR, $=parasite, form=PARASITES"
"02_bsv_raisin_29032012_V3"	"RASITES ÉMERGENTS ("	"THRIPS"	"- COCHENILLES ) Éva"	"5648-5654"	"type=BIOAGRESSOR, $=thrips, form=THRIPS"
"02_bsv_raisin_29032012_V3"	"ensibilité pour ces"	"parasites"	"est en cours (cf BS"	"5727-5736"	"type=BIOAGRESSOR, $=parasite, form=parasites"
"02_bsv_raisin_29032012_V3"	"ous forme de jeunes"	"larves"	"présentes sur les f"	"5843-5849"	"type=BIOAGRESSOR, $=larve, form=larves"
"02_bsv_raisin_29032012_V3"	"les flèches. Jeunes"	"larves"	"de cochenilles sur"	"5884-5890"	"type=BIOAGRESSOR, $=larve, form=larves"
"04_bsv_raisin_12042012_V3"	"GETAL 12 Avril 2012"	"EXCORIOSE"	"Période de risque e"	"84-93"	"type=BIOAGRESSOR, $=excoriose, form=EXCORIOSE"
"04_bsv_raisin_12042012_V3"	"de risque en cours."	"ACARIOSE"	"- ERINOSE Observez"	"122-130"	"type=BIOAGRESSOR, $=acariose, form=ACARIOSE"
"04_bsv_raisin_12042012_V3"	"n cours. ACARIOSE -"	"ERINOSE"	"Observez vos parcel"	"133-140"	"type=BIOAGRESSOR, $=érinose, form=ERINOSE"
"04_bsv_raisin_12042012_V3"	"'humidité actuelle."	"MILDIOU"	"Stade de sensibilit"	"252-259"	"type=BIOAGRESSOR, $=mildiou, form=MILDIOU"
"04_bsv_raisin_12042012_V3"	"tion ISSN en cours"	"EXCORIOSE"	"Situation dans les"	"1844-1853"	"type=BIOAGRESSOR, $=excoriose, form=EXCORIOSE"
"04_bsv_raisin_12042012_V3"	"passages pluvieux."	"ERINOSE"	"- A CARIOSE Situat"	"2290-2297"	"type=BIOAGRESSOR, $=érinose, form=ERINOSE"
"04_bsv_raisin_12042012_V3"	"pluvieux. ERINOSE -"	"A CARIOSE"	"Situation dans les"	"2300-2309"	"type=BIOAGRESSOR, $=acariose, form=A CARIOSE"
"04_bsv_raisin_12042012_V3"	"uelles Photo Sandoz"	"MILDIOU"	"Suivi en laboratoi"	"3496-3503"	"type=BIOAGRESSOR, $=mildiou, form=MILDIOU"
"04_bsv_raisin_12042012_V3"	"VRIL 2012 Page 2/3"	"OÏDIUM"	"Éléments de biolog"	"3976-3982"	"type=BIOAGRESSOR, $=oïdium, form=OÏDIUM"
"04_bsv_raisin_12042012_V3"	"z l'évolution de ce"	"parasite"	"et le niveau d'infe"	"5472-5480"	"type=BIOAGRESSOR, $=parasite, form=parasite"
"04_bsv_raisin_12042012_V3"	"de miellat par les"	"pucerons"	". A RETENIR Pensez à"	"14254-14262"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"05_bsv_ail_05042012_V3"	"aques de maladies."	"Mouches"	"Dans le réseau d'ob"	"1131-1138"	"type=BIOAGRESSOR, $=mouche, form=Mouches"
"05_bsv_ail_05042012_V3"	"ptômes d'attaque de"	"mouche"	". Sur ces parcelles"	"1237-1243"	"type=BIOAGRESSOR, $=mouche, form=mouche"
"05_bsv_ail_05042012_V3"	"arie de 2 à 58%. La"	"larve"	"présente dans l'ail"	"1330-1335"	"type=BIOAGRESSOR, $=larve, form=larve"
"05_bsv_ail_05042012_V3"	"re à l'asticot. Les"	"larves"	"peuvent être trouvé"	"1492-1498"	"type=BIOAGRESSOR, $=larve, form=larves"
"05_bsv_ail_05042012_V3"	"emence. Les plantes"	"Larve"	"de mouche Photo CA3"	"1595-1600"	"type=BIOAGRESSOR, $=larve, form=Larve"
"05_bsv_ail_05042012_V3"	"es plantes Larve de"	"mouche"	"Photo CA32 attaquée"	"1604-1610"	"type=BIOAGRESSOR, $=mouche, form=mouche"
"05_bsv_ail_05042012_V3"	"férentes espèces de"	"mouche"	"sont impliquées dan"	"2134-2140"	"type=BIOAGRESSOR, $=mouche, form=mouche"
"05_bsv_ail_05042012_V3"	"dégâts observés. La"	"mouche"	"des semis a d'ores"	"2186-2192"	"type=BIOAGRESSOR, $=mouche, form=mouche"
"05_bsv_ail_05042012_V3"	"différents types de"	"larves"	"retrouvées appartie"	"2340-2346"	"type=BIOAGRESSOR, $=larve, form=larves"
"05_bsv_ail_05042012_V3"	"une même espèce de"	"mouche"	". Évaluation du risq"	"2393-2399"	"type=BIOAGRESSOR, $=mouche, form=mouche"
"05_bsv_ail_05042012_V3"	"olet attaqué par la"	"mouche"	"(à droite) Photo CA"	"2728-2734"	"type=BIOAGRESSOR, $=mouche, form=mouche"
"05_bsv_ail_05042012_V3"	"t responsable de la"	"rouille"	"des Allium. C'est u"	"2848-2855"	"type=BIOAGRESSOR, $=rouille, form=rouille"
"05_bsv_ail_05042012_V3"	"es Allium. C'est un"	"parasite"	"obligatoire et biot"	"2877-2885"	"type=BIOAGRESSOR, $=parasite, form=parasite"
"05_bsv_ail_05042012_V3"	"transmission de la"	"rouille"	"d'une saison sur l'"	"3060-3067"	"type=BIOAGRESSOR, $=rouille, form=rouille"
"05_bsv_ail_05042012_V3"	"ustules orangées de"	"rouille"	"sur ail Les conditi"	"3313-3320"	"type=BIOAGRESSOR, $=rouille, form=rouille"
"05_bsv_ail_05042012_V3"	"nt des symptômes de"	"rouille"	"sur respectivement"	"3789-3796"	"type=BIOAGRESSOR, $=rouille, form=rouille"
"05_bsv_ail_05042012_V3"	", aucune pustule de"	"rouille"	"n'est observée à ce"	"3926-3933"	"type=BIOAGRESSOR, $=rouille, form=rouille"
"05_bsv_ail_05042012_V3"	"emières pustules de"	"rouille"	"sont constatées sur"	"4009-4016"	"type=BIOAGRESSOR, $=rouille, form=rouille"
"06_BSV_GC_05042011_cle8889ba"	"inthosporiose et de"	"rhynchosporiose"	"sont parfois observ"	"2453-2468"	"type=BIOAGRESSOR, $=rhynchosporiose, form=rhynchosporiose"
"07_BSV_GC_16042013_cle83b3df"	"orescence dégagée)."	"Charançons"	"de la tige et mélig"	"318-328"	"type=BIOAGRESSOR, $=charançon, form=Charançons"
"07_BSV_GC_16042013_cle83b3df"	"et méligèthes COLZA"	"Charançon"	"de la tige Méligèth"	"360-369"	"type=BIOAGRESSOR, $=charançon, form=Charançon"
"07_BSV_GC_16042013_cle83b3df"	"GE Les piégeages de"	"charançons"	"de la tige ont repr"	"455-465"	"type=BIOAGRESSOR, $=charançon, form=charançons"
"07_BSV_GC_16042013_cle83b3df"	"ltures Si le risque"	"charançon"	"de la tige est touj"	"925-934"	"type=BIOAGRESSOR, $=charançon, form=charançon"
"07_BSV_GC_16042013_cle83b3df"	"njointe des risques"	"charançon"	"de la tige du colza"	"1451-1460"	"type=BIOAGRESSOR, $=charançon, form=charançon"
"07_BSV_GC_16042013_cle83b3df"	"is des symptômes de"	"septoriose"	"sur les feuilles Ro"	"2385-2395"	"type=BIOAGRESSOR, $=septoriose, form=septoriose"
"07_BSV_GC_16042013_cle83b3df"	"oter la présence de"	"rouille"	"naine sur une parce"	"3237-3244"	"type=BIOAGRESSOR, $=rouille, form=rouille"
"08_BSV_ZNA_080714_cle0bae61"	"AIRE : Météorologie"	"Pyrale"	"du Buis Mineuse du"	"453-459"	"type=BIOAGRESSOR, $=pyrale, form=Pyrale"
"08_BSV_ZNA_080714_cle0bae61"	"ogie Pyrale du Buis"	"Mineuse"	"du Marronnier Pyral"	"468-475"	"type=BIOAGRESSOR, $=mineuse, form=Mineuse"
"08_BSV_ZNA_080714_cle0bae61"	"neuse du Marronnier"	"Pyrale"	"du Buis Tigre du Pl"	"490-496"	"type=BIOAGRESSOR, $=pyrale, form=Pyrale"
"08_BSV_ZNA_080714_cle0bae61"	"présence de jeunes"	"larves"	"de pyrale du buis c"	"830-836"	"type=BIOAGRESSOR, $=larve, form=larves"
"08_BSV_ZNA_080714_cle0bae61"	"de jeunes larves de"	"pyrale"	"du buis cette quinz"	"840-846"	"type=BIOAGRESSOR, $=pyrale, form=pyrale"
"08_BSV_ZNA_080714_cle0bae61"	"réalisée et aucune"	"larve"	"n'a été observée. P"	"1111-1116"	"type=BIOAGRESSOR, $=larve, form=larve"
"08_BSV_ZNA_080714_cle0bae61"	"e développement des"	"larves"	". La vigilance est p"	"2006-2012"	"type=BIOAGRESSOR, $=larve, form=larves"
"08_BSV_ZNA_080714_cle0bae61"	"ugé très important."	"Mineuse"	"du Marronnier Situa"	"2183-2190"	"type=BIOAGRESSOR, $=mineuse, form=Mineuse"
"08_BSV_ZNA_080714_cle0bae61"	"e développement des"	"larves"	"de deuxième générat"	"2714-2720"	"type=BIOAGRESSOR, $=larve, form=larves"
"08_BSV_ZNA_080714_cle0bae61"	"'est la présence du"	"mildiou"	"qui est importante."	"3183-3190"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"08_BSV_ZNA_080714_cle0bae61"	"te. Des colonies de"	"pucerons"	"sont toujours prése"	"3227-3235"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"08_BSV_ZNA_080714_cle0bae61"	"taches noires et du"	"mildiou"	", le risque est jugé"	"3399-3406"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"08_BSV_ZNA_080714_cle0bae61"	"ant la présence des"	"pucerons"	", le risque est esti"	"3606-3614"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"08_BSV_ZNA_080714_cle0bae61"	"el et ray-grass. Le"	"champignon"	"se développe par te"	"3872-3882"	"type=BIOAGRESSOR, $=champignon, form=champignon"
"08_BSV_ZNA_080714_cle0bae61"	"uels Risque à venir"	"Pyrale"	"du Buis Mineuse du"	"4821-4827"	"type=BIOAGRESSOR, $=pyrale, form=Pyrale"
"08_BSV_ZNA_080714_cle0bae61"	"enir Pyrale du Buis"	"Mineuse"	"du Marronnier Tigre"	"4836-4843"	"type=BIOAGRESSOR, $=mineuse, form=Mineuse"
"08_BSV_ZNA_080714_cle0bae61"	"es taches noires et"	"mildiou"	"sur Rosiers Oïdium"	"4905-4912"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"08_BSV_ZNA_080714_cle0bae61"	"mildiou sur Rosiers"	"Oïdium"	"sur rosiers Puceron"	"4925-4931"	"type=BIOAGRESSOR, $=oïdium, form=Oïdium"
"08_BSV_ZNA_080714_cle0bae61"	"Oïdium sur rosiers"	"Puceron"	"sur Rosiers Maladie"	"4944-4951"	"type=BIOAGRESSOR, $=puceron, form=Puceron"
"091008_Bsv_cereales"	"Réseau de piégeage"	"cicadelles"	"(Psammotettix alien"	"983-993"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091008_Bsv_cereales"	"réseau de piégeage"	"cicadelles"	"sur céréales d'hive"	"1039-1049"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091008_Bsv_cereales"	"URE. Les espèces de"	"cicadelles"	"sont identifiées pa"	"1338-1348"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091008_Bsv_cereales"	"est portée sur les"	"cicadelles"	"de type Psammotetti"	"1450-1460"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091008_Bsv_cereales"	"des céréales WDV)."	"Cicadelle"	"adulte Psammotettix"	"1574-1583"	"type=BIOAGRESSOR, $=cicadelle, form=Cicadelle"
"091008_Bsv_cereales"	"S) Les quantités de"	"cicadelles"	"capturées ont augme"	"1648-1658"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091008_Bsv_cereales"	"des 30 captures de"	"cicadelles"	". Il faut être parti"	"1783-1793"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091008_Bsv_cereales"	"cours de levée. La"	"cicadelle"	"Psammotettix alienu"	"1886-1895"	"type=BIOAGRESSOR, $=cicadelle, form=cicadelle"
"091008_Bsv_cereales"	"4 % des captures de"	"cicadelles"	"(graphique 2). Seui"	"1986-1996"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091008_Bsv_cereales"	"adaires moyennes de"	"CICADELLES"	"Nombre de captures"	"2175-2185"	"type=BIOAGRESSOR, $=cicadelles, form=CICADELLES"
"091008_Bsv_cereales"	"res ensemble pièges"	"CICADELLES"	": sur CULTURES 46%"	"2362-2372"	"type=BIOAGRESSOR, $=cicadelles, form=CICADELLES"
"091008_Bsv_cereales"	"Graphique 2 Autres"	"cicadelles"	"Réseau de surveill"	"2428-2438"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091008_Bsv_cereales"	"eau de surveillance"	"pucerons"	"(Rhopalosiphum Padi"	"2463-2471"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"091008_Bsv_cereales"	"veillance pucerons ("	"Rhopalosiphum"	"Padi) La tour à suc"	"2473-2486"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091008_Bsv_cereales"	"vols migratoires de"	"pucerons"	". Le graphique ci-de"	"2583-2591"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"091008_Bsv_cereales"	"ent les captures du"	"puceron"	"Rhopalosiphum padi"	"2653-2660"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"091008_Bsv_cereales"	"captures du puceron"	"Rhopalosiphum"	"padi (puceron poten"	"2661-2674"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091008_Bsv_cereales"	"Rhopalosiphum padi ("	"puceron"	"potentiellement vec"	"2681-2688"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"091008_Bsv_cereales"	"a tour à succion de"	"Rhopalosiphum"	"padi (vecteur de la"	"2851-2864"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091008_Bsv_cereales"	"réseau de suivi du"	"puceron"	"Rhopalosiphum padi"	"3159-3166"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"091008_Bsv_cereales"	"de suivi du puceron"	"Rhopalosiphum"	"padi est en cours d"	"3167-3180"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091008_Bsv_cereales"	"que la présence du"	"Rhopalosiphum"	"padi est très margi"	"3375-3388"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091008_Bsv_cereales"	"lantes porteuses du"	"Rhopalosiphum"	"padi. Rhopalosiphum"	"3482-3495"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091008_Bsv_cereales"	"Rhopalosiphum padi."	"Rhopalosiphum"	"Padi (SRAL)"	"3502-3515"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091015_Bsv_cereales"	"Réseau de piégeage"	"cicadelles"	"(Psammotettix alien"	"1062-1072"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091015_Bsv_cereales"	"réseau de piégeage"	"cicadelles"	"sur céréales d'hive"	"1118-1128"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091015_Bsv_cereales"	"URE. Les espèces de"	"cicadelles"	"sont identifiées pa"	"1413-1423"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091015_Bsv_cereales"	"est portée sur les"	"cicadelles"	"de type Psammotetti"	"1525-1535"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091015_Bsv_cereales"	"des céréales WDV)."	"Cicadelle"	"adulte Psammotettix"	"1649-1658"	"type=BIOAGRESSOR, $=cicadelle, form=Cicadelle"
"091015_Bsv_cereales"	"S) Les quantités de"	"cicadelles"	"capturées en cultur"	"1723-1733"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091015_Bsv_cereales"	"es hebdomadaires de"	"cicadelles"	". Il faut être parti"	"1936-1946"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091015_Bsv_cereales"	"cours de levée. La"	"cicadelle"	"Psammotettix alienu"	"2039-2048"	"type=BIOAGRESSOR, $=cicadelle, form=cicadelle"
"091015_Bsv_cereales"	"7 % des captures de"	"cicadelles"	". Il n'y a pas de se"	"2139-2149"	"type=BIOAGRESSOR, $=cicadelles, form=cicadelles"
"091015_Bsv_cereales"	"adaires moyennes de"	"CICADELLES"	"Nombre de captures"	"2603-2613"	"type=BIOAGRESSOR, $=cicadelles, form=CICADELLES"
"091015_Bsv_cereales"	"eau de surveillance"	"pucerons"	"(Rhopalosiphum padi"	"2774-2782"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"091015_Bsv_cereales"	"veillance pucerons ("	"Rhopalosiphum"	"padi) La tour à suc"	"2784-2797"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091015_Bsv_cereales"	"vols migratoires de"	"pucerons"	". Le graphique ci-de"	"2894-2902"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"091015_Bsv_cereales"	"ent les captures du"	"puceron"	"Rhopalosiphum padi"	"2964-2971"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"091015_Bsv_cereales"	"captures du puceron"	"Rhopalosiphum"	"padi (puceron poten"	"2972-2985"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091015_Bsv_cereales"	"Rhopalosiphum padi ("	"puceron"	"potentiellement vec"	"2992-2999"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"091015_Bsv_cereales"	"a tour à succion de"	"Rhopalosiphum"	"padi (vecteur de la"	"3195-3208"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091015_Bsv_cereales"	"réseau de suivi du"	"puceron"	"Rhopalosiphum padi"	"3411-3418"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"091015_Bsv_cereales"	"de suivi du puceron"	"Rhopalosiphum"	"padi est en cours d"	"3419-3432"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091015_Bsv_cereales"	"5% des parcelles le"	"Rhopalosiphum"	"padi est absent. Le"	"3839-3852"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091015_Bsv_cereales"	"padi est absent. Le"	"Rhopalosiphum"	"padi a été observé"	"3873-3886"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091015_Bsv_cereales"	"lantes porteuses du"	"Rhopalosiphum"	"padi.. Pucerons d'a"	"4083-4096"	"type=BIOAGRESSOR, $=rhopalosiphum, form=Rhopalosiphum"
"091015_Bsv_cereales"	"hopalosiphum padi.."	"Pucerons"	"d'automne sur céréa"	"4104-4112"	"type=BIOAGRESSOR, $=puceron, form=Pucerons"
"091015_Bsv_cereales"	"omne sur céréales :"	"rhopalosiphum"	"padi 25 Nombre parc"	"4138-4151"	"type=BIOAGRESSOR, $=rhopalosiphum, form=rhopalosiphum"
"091015_Bsv_cereales"	"lantes porteuses du"	"puceron"	"rhopalosiphum padi"	"4257-4264"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"091015_Bsv_cereales"	"orteuses du puceron"	"rhopalosiphum"	"padi ) Source : sch"	"4265-4278"	"type=BIOAGRESSOR, $=rhopalosiphum, form=rhopalosiphum"
"09_BSV_TB_260914_cle448c88"	"14 s STADE Maladies"	"Mildiou"	"Sclerotinia Les tab"	"69-76"	"type=BIOAGRESSOR, $=mildiou, form=Mildiou"
"09_BSV_TB_260914_cle448c88"	"DE Maladies Mildiou"	"Sclerotinia"	"Les tabacs Burley s"	"77-88"	"type=BIOAGRESSOR, $=sclerotinia, form=Sclerotinia"
"09_BSV_TB_260914_cle448c88"	"ventices et plantes"	"parasites"	"Tabac Sclerotinia 2"	"481-490"	"type=BIOAGRESSOR, $=parasite, form=parasites"
"09_BSV_TB_260914_cle448c88"	"tes parasites Tabac"	"Sclerotinia"	"2/3 des producteurs"	"497-508"	"type=BIOAGRESSOR, $=sclerotinia, form=Sclerotinia"
"09_BSV_TB_260914_cle448c88"	"sont touchés par le"	"sclerotinia"	". Sur le département"	"549-560"	"type=BIOAGRESSOR, $=sclerotinia, form=sclerotinia"
"09_BSV_TB_260914_cle448c88"	"r la propagation du"	"champignon"	". MALADIES Orobranch"	"782-792"	"type=BIOAGRESSOR, $=champignon, form=champignon"
"09_BSV_TB_260914_cle448c88"	"MALADIES Orobranche"	"Mildiou"	"Quelques foyers de"	"814-821"	"type=BIOAGRESSOR, $=mildiou, form=Mildiou"
"09_BSV_TB_260914_cle448c88"	"Quelques foyers de"	"mildiou"	"sont observés de-ci"	"841-848"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"09_BSV_TB_260914_cle448c88"	"cé des récoltes, le"	"champignon"	"ne cause plus de pe"	"981-991"	"type=BIOAGRESSOR, $=champignon, form=champignon"
"09_BSV_TB_260914_cle448c88"	"VENTICES ET PLANTES"	"PARASITES"	"Orobanche Les émerg"	"1562-1571"	"type=BIOAGRESSOR, $=parasite, form=PARASITES"
"09_bsv_ail_03052012_V3"	"ution ISSN en cours"	"Rouille"	"Risque très élevé."	"380-387"	"type=BIOAGRESSOR, $=rouille, form=Rouille"
"09_bsv_ail_03052012_V3"	"NÉRAL DES CULTURES"	"Rouille"	"de l'ail (Puccinia"	"870-877"	"type=BIOAGRESSOR, $=rouille, form=Rouille"
"09_bsv_ail_03052012_V3"	"e pustule mature de"	"rouille"	"n'est observée à ce"	"1588-1595"	"type=BIOAGRESSOR, $=rouille, form=rouille"
"09_bsv_ail_03052012_V3"	"ustules orangées de"	"rouille"	"- CA81 BULLETIN DE"	"1828-1835"	"type=BIOAGRESSOR, $=rouille, form=rouille"
"09_bsv_ail_03052012_V3"	"rs. Les pustules de"	"rouille"	"sont observées. Les"	"2002-2009"	"type=BIOAGRESSOR, $=rouille, form=rouille"
"09_bsv_ail_03052012_V3"	"lanche est due à un"	"champignon"	", Sclerotinium cepiv"	"3820-3830"	"type=BIOAGRESSOR, $=champignon, form=champignon"
"100311_BSV_Colza_tournesol"	"EURS : Les premiers"	"charançons"	"de la tige du colza"	"1329-1339"	"type=BIOAGRESSOR, $=charançon, form=charançons"
"100311_BSV_Colza_tournesol"	"t défavorables, les"	"charançons"	"retournent s'abrite"	"2058-2068"	"type=BIOAGRESSOR, $=charançon, form=charançons"
"100311_BSV_Colza_tournesol"	". La nuisibilité du"	"charançon"	"de la tige du colza"	"2213-2222"	"type=BIOAGRESSOR, $=charançon, form=charançon"
"100624_BSV_Colza_tournesol"	"s feuilles). Cetiom"	"PUCERONS"	"La pression puceron"	"1087-1095"	"type=BIOAGRESSOR, $=puceron, form=PUCERONS"
"100624_BSV_Colza_tournesol"	"UCERONS La pression"	"pucerons"	"verts s'est accentu"	"1108-1116"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"100624_BSV_Colza_tournesol"	"'est accentuée : ce"	"puceron"	"est signalé sur 8 d"	"1144-1151"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"100624_BSV_Colza_tournesol"	"nce de plantes avec"	"pucerons"	"est de 39% (varie d"	"1238-1246"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"100624_BSV_Colza_tournesol"	"de 10 à 100%). Les"	"pucerons"	"sont plus présents"	"1284-1292"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"100624_BSV_Colza_tournesol"	"ce stade. Cetiom Le"	"puceron"	"noir de la fève est"	"1746-1753"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"100624_BSV_Colza_tournesol"	"plantes touchées)."	"MiLDiOU"	"Aucun symptôme de m"	"1837-1844"	"type=BIOAGRESSOR, $=mildiou, form=MiLDiOU"
"100624_BSV_Colza_tournesol"	"U Aucun symptôme de"	"mildiou"	"n'est signalé sur l"	"1863-1870"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"100624_BSV_Colza_tournesol"	"ment reconnaître le"	"mildiou"	"? Les feuilles mont"	"1937-1944"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"100624_BSV_Colza_tournesol"	"ure Face inférieure"	"Mildiou"	": plante nanifiée C"	"2164-2171"	"type=BIOAGRESSOR, $=mildiou, form=Mildiou"
"100624_BSV_Colza_tournesol"	"r ), la présence de"	"mildiou"	"dans ses parcelles"	"2392-2399"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"100624_BSV_Colza_tournesol"	"Ne pas confondre le"	"mildiou"	"avec l'albugo La ro"	"2453-2460"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"100624_BSV_Colza_tournesol"	"ou avec l'albugo La"	"rouille"	"blanche ou albugo e"	"2478-2485"	"type=BIOAGRESSOR, $=rouille, form=rouille"
