"bsv"	"type"	"context"	"word"	"prefLabel"	"context"	"location"	"features"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"lture mise en place"	"Tournesol"	"tournesol"	"4 Colza 6 Beaucoup"	"4222-4231"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Tournesols, skos-prefLabel=tournesol, form=Tournesol"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"n place Tournesol 4"	"Colza"	"colza"	"6 Beaucoup de limac"	"4234-4239"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"Préparation lit de"	"semence"	"semence"	"Intermédiaire 2 Fin"	"4614-4621"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Semences, skos-prefLabel=semence, form=semence"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"Page 4 BSV GRANDES"	"CULTURES"	"Culture"	"- N°26 DU 11 SEPTEM"	"4984-4992"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"développement de la"	"culture"	"Culture"	". Cette semaine, 4 c"	"5240-5247"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=culture"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"ien visibles sur la"	"culture"	"Culture"	". Le risque est élev"	"5449-5456"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=culture"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"iennes parcelles de"	"colza"	"colza"	". Petites altises et"	"5549-5554"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"tises et dégâts sur"	"colza"	"colza"	"(photo prise cette"	"5586-5591"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"re les repousses de"	"colza"	"colza"	"pendant la période"	"5680-5685"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"période de levée du"	"colza"	"colza"	"pour limiter les dé"	"5717-5722"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"sibles des nouveaux"	"colzas"	"colza"	". Petit coléoptère ("	"5838-5844"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"tes Dès la levée du"	"colza"	"colza"	", installez votre cu"	"6162-6167"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"Page 5 BSV GRANDES"	"CULTURES"	"Culture"	"- N°26 DU 11 SEPTEM"	"6701-6709"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"ions sur la fiche """	"COLZA"	"colza"	": gagner la course"	"7353-7358"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=COLZA"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"s pucerons verts du"	"pêcher"	"pêcher"	"(Myzus persicae) so"	"7598-7604"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Pechers, skos-prefLabel=pêcher, form=pêcher"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"Page 6 BSV GRANDES"	"CULTURES"	"Culture"	"- N°26 DU 11 SEPTEM"	"8605-8613"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"yenne. La pyrale du"	"maïs"	"maïs"	"reste le principal"	"9364-9368"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"ection des pieds de"	"maïs"	"maïs"	": 5 pieds dans 5 zo"	"9972-9976"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"réseau BSV Grandes"	"cultures"	"Culture"	"sollicite ses lecte"	"10268-10276"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=cultures"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"Page 7 BSV GRANDES"	"CULTURES"	"Culture"	"- N°26 DU 11 SEPTEM"	"10783-10791"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"uvrir les cannes de"	"maïs"	"maïs"	"jusqu'au collet, mê"	"11191-11195"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"'au collet, même en"	"maïs ensilage"	"maïs fourrage"	"CAPDL RÉSEAU DE SU"	"11221-11234"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais_fourrage, skos-prefLabel=maïs fourrage, form=maïs ensilage"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"'au collet, même en"	"maïs"	"maïs"	"ensilage CAPDL RÉS"	"11221-11225"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=maïs"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"ollet, même en maïs"	"ensilage"	"fourrage annuel"	"CAPDL RÉSEAU DE SU"	"11226-11234"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Fourrages_annuels, skos-prefLabel=fourrage annuel, form=ensilage"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"Page 8 BSV GRANDES"	"CULTURES"	"Culture"	"- N°26 DU 11 SEPTEM"	"11331-11339"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"protection de leurs"	"cultures"	"Culture"	"et les invite à pre"	"12594-12602"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=cultures"
"20180911_bsv_grandes_cultures-26_cle0f15a8"	"html"	"ce se met en place."	"Stade phénologique"	"stade de développement"	"et état des culture"	"641-659"	"type=GOL, uri=http://ontology.inrae.fr/ppdo/ontology/GrowthStage, skos-prefLabel=stade de développement, form=Stade phénologique"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"ACTUALITÉS"	"Colza"	"colza"	"Vol des grosses alt"	"13-18"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"ves sont observées."	"Céréales à paille"	"céréale à paille"	"Ne pas semez trop t"	"124-141"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, form=Céréales à paille"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"ves sont observées."	"Céréales"	"céréale"	"à paille Ne pas sem"	"124-132"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales, skos-prefLabel=céréale, form=Céréales"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"servées. Céréales à"	"paille"	"céréale à paille"	"Ne pas semez trop t"	"135-141"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, form=paille"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"URSEURS DE RISQUES"	"Colza"	"colza"	"Petites altises : à"	"384-389"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"s avec repousses de"	"colza"	"colza"	"Grosses altises : P"	"451-456"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"Page 2 BSV GRANDES"	"CULTURES"	"Culture"	"- N°29 DU 2 OCTOBRE"	"1180-1188"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"ion 18 parcelles de"	"colza"	"colza"	"sont renseignées ce"	"1270-1275"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"logique et état des"	"cultures"	"Culture"	"Les parcelles du ré"	"1450-1458"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=cultures"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"es des parcelles de"	"colza"	"colza"	"du réseau(en % du t"	"1895-1900"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"tal de parcelles de"	"colza"	"colza"	"observées) sem 39 s"	"1941-1946"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"es parcelles où les"	"colzas"	"colza"	"sont hétérogènes (c"	"2378-2384"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"s sont hétérogènes ("	"colzas"	"colza"	"à moins de 3 feuill"	"2403-2409"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"parcelles avec des"	"colzas"	"colza"	"à moins de 3 feuill"	"2585-2591"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"Page 3 BSV GRANDES"	"CULTURES"	"Culture"	"- N°29 DU 2 OCTOBRE"	"2783-2791"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"es,> le stade de la"	"culture"	"Culture"	", > la vigueur et la"	"2970-2977"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=culture"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"tion du stade de la"	"culture"	"Culture"	", des populations de"	"3309-3316"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=culture"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"amique de pousse du"	"colza"	"colza"	". Petite altise ou"	"3482-3487"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"ec des repousses de"	"colza"	"colza"	"à proximité Observa"	"3570-3575"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"être vues dans les"	"colzas"	"colza"	"à l'occasion de la"	"3944-3950"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"tises et dégâts sur"	"colza"	"colza"	"Il est préférable d"	"4084-4089"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"re les repousses de"	"colza"	"colza"	"pendant la période"	"4144-4149"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"période de levée du"	"colza"	"colza"	"pour limiter les dé"	"4181-4186"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"sibles des nouveaux"	"colzas"	"colza"	". Période de risque"	"4302-4308"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"Page 4 BSV GRANDES"	"CULTURES"	"Culture"	"- N°29 DU 2 OCTOBRE"	"4525-4533"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"se d'hiver Pour les"	"colzas"	"colza"	"à moins de 4 feuill"	"4613-4619"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"es parcelles où les"	"colzas"	"colza"	"sont à moins de 4 f"	"5276-5282"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"s où les stades des"	"colzas"	"colza"	"sont hétérogènes. P"	"5353-5359"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colzas"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"Page 5 BSV GRANDES"	"CULTURES"	"Culture"	"- N°29 DU 2 OCTOBRE"	"5531-5539"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"ions sur la fiche """	"COLZA"	"colza"	": gagner la course"	"5976-5981"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=COLZA"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"s pucerons verts du"	"pêcher"	"pêcher"	"(Myzus persicae) so"	"6301-6307"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Pechers, skos-prefLabel=pêcher, form=pêcher"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"Page 6 BSV GRANDES"	"CULTURES"	"Culture"	"- N°29 DU 2 OCTOBRE"	"6767-6775"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"tes Dès la levée du"	"colza"	"colza"	", installez votre cu"	"8081-8086"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"Page 7 BSV GRANDES"	"CULTURES"	"Culture"	"- N°29 DU 2 OCTOBRE"	"8620-8628"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"RE 2018 C ÉRÉALES À"	"PAILLE"	"céréale à paille"	"So mm air e Ne pas"	"8666-8672"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, form=PAILLE"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"ucerons à l'automne"	"Orge"	"orge"	": Les variétés Orge"	"9026-9030"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, form=Orge"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"Orge : Les variétés"	"Orge"	"orge"	"tolérantes à la JNO"	"9046-9050"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, form=Orge"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"ant le 20 octobre !"	"Blé tendre"	"blé tendre"	"Absence de variétés"	"9169-9179"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles_tendres, skos-prefLabel=blé tendre, form=Blé tendre"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"ant le 20 octobre !"	"Blé"	"blé"	"tendre Absence de v"	"9169-9172"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, form=Blé"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"ns les parcelles de"	"céréales"	"céréale"	"Gérer les adventice"	"9560-9568"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales, skos-prefLabel=céréale, form=céréales"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"st bien adaptée aux"	"céréales à paille"	"céréale à paille"	": décaler la date d"	"9881-9898"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, form=céréales à paille"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"st bien adaptée aux"	"céréales"	"céréale"	"à paille : décaler"	"9881-9889"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales, skos-prefLabel=céréale, form=céréales"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"ptée aux céréales à"	"paille"	"céréale à paille"	": décaler la date d"	"9892-9898"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, form=paille"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"Page 8 BSV GRANDES"	"CULTURES"	"Culture"	"- N°29 DU 2 OCTOBRE"	"10754-10762"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=CULTURES"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"RE 2018 C ÉRÉALES À"	"PAILLE"	"céréale à paille"	"(suite) So mm air e"	"10800-10806"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, skos-prefLabel=céréale à paille, form=PAILLE"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"superficielle Folle"	"avoine"	"avoine"	"Septembre-octobre e"	"10957-10963"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Avoines, skos-prefLabel=avoine, form=avoine"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"t-mai superficielle"	"Ray-grass"	"ray-grass"	"Août-octobre et fév"	"11086-11095"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Ray_grass, skos-prefLabel=ray-grass, form=Ray-grass"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"évrier-mars moyenne"	"Géraniums"	"géranium"	"Août-octobre moyenn"	"11326-11335"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Geraniums, skos-prefLabel=géranium, form=Géraniums"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"html"	"protection de leurs"	"cultures"	"Culture"	"et les invite à pre"	"12406-12414"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Crop, skos-prefLabel=Culture, form=cultures"
