"bsv"	"context before"	"deseases"	"context after"	"location"	"features"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"s rares thrips (0.1"	"thrips"	"/plante) comme la se"	"13200-13206"	"type=DESEASE, form=thrips"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"de risque est de 1"	"thrips"	"/plante. c. Analyse"	"13413-13419"	"type=DESEASE, form=thrips"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"ces à l'activité du"	"thrips"	". De nombreux pois o"	"13513-13519"	"type=DESEASE, form=thrips"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"en cas de redoux. 3"	"Sitones"	"(Sitona lineatus) a"	"13646-13653"	"type=DESEASE, form=Sitones"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"inovia) Encoches de"	"sitones"	"sur féverole Michae"	"14154-14161"	"type=DESEASE, form=sitones"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"sque L'activité des"	"sitones"	"se maintient dans l"	"14600-14607"	"type=DESEASE, form=sitones"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"nt le stade 2 nœuds."	"Rhynchosporiose"	": Peu d'évolution d"	"425-440"	"type=DESEASE, form=Rhynchosporiose"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"1% au stade DFE. Le"	"froid"	"de la fin de semain"	"2641-2646"	"type=DESEASE, form=froid"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"es blés pour que le"	"froid"	"ait eu un impact su"	"3193-3198"	"type=DESEASE, form=froid"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"ales du blé tendre ["	"piétin"	"-verse, septoriose,"	"3953-3959"	"type=DESEASE, form=piétin"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"-verse, septoriose,"	"rouille"	"jaune, rouille brun"	"3979-3986"	"type=DESEASE, form=rouille"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"ose, rouille jaune,"	"rouille"	"brune et fusariose"	"3994-4001"	"type=DESEASE, form=rouille"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"e, rouille brune et"	"fusariose"	"des épis]. http://w"	"4011-4020"	"type=DESEASE, form=fusariose"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"dernière feuille. 3"	"Rouille"	"jaune et rouille br"	"5648-5655"	"type=DESEASE, form=Rouille"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"3 Rouille jaune et"	"rouille"	"brune Il y a un sig"	"5665-5672"	"type=DESEASE, form=rouille"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"a un signalement de"	"rouille"	"jaune et brune sur"	"5704-5711"	"type=DESEASE, form=rouille"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"le des symptômes de"	"rouille"	"brune avec 10% de f"	"5869-5876"	"type=DESEASE, form=rouille"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"parcelle signale du"	"rhizoctone"	"(5%) sur la variété"	"6141-6151"	"type=DESEASE, form=rhizoctone"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"ent imprévisible. 2"	"Rhynchosporiose"	"a. Observations La"	"7973-7988"	"type=DESEASE, form=Rhynchosporiose"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"vations La pression"	"rhynchosporiose"	"n'a pas progressé d"	"8017-8032"	"type=DESEASE, form=rhynchosporiose"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"nt des symptômes de"	"rhynchosporiose"	"sur la F3 avec en m"	"8147-8162"	"type=DESEASE, form=rhynchosporiose"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"ils de risque de la"	"rhynchosporiose"	"s'appliquent du sta"	"8475-8490"	"type=DESEASE, form=rhynchosporiose"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"alent des symptômes"	"d'helminthosporiose"	"sur la F3 et 1 parc"	"9278-9297"	"type=DESEASE, form=d'helminthosporiose"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"ladies et ravageurs"	"Rhynchosporiose"	": 7 parcelles signa"	"9765-9780"	"type=DESEASE, form=Rhynchosporiose"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"ptômes sur F2 et F3."	"Oïdium"	": Une parcelle sign"	"9940-9946"	"type=DESEASE, form=Oïdium"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"/02/19 à Hatrize-54."	"Helminthosporiose"	": 2 parcelles signa"	"10075-10092"	"type=DESEASE, form=Helminthosporiose"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"urs. Les conditions"	"froides"	"que nous connaisson"	"17869-17876"	"type=DESEASE, form=froides"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"de début de cycle ("	"thrips"	", sitone) Pucerons e"	"19406-19412"	"type=DESEASE, form=thrips"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"ies : vigilance sur"	"l'oïdium"	"en particulier. Cré"	"454-462"	"type=DESEASE, form=l'oïdium"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"t les parcelles. La"	"rouille"	"brune est toujours"	"973-980"	"type=DESEASE, form=rouille"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"e pas de seuil pour"	"l'oïdium"	". La présence de sym"	"5265-5273"	"type=DESEASE, form=l'oïdium"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"effet vis-à-vis de"	"l'oïdium"	". Néanmoins, il est"	"5760-5768"	"type=DESEASE, form=l'oïdium"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"uds. Etat sanitaire"	"L'oïdium"	"est signalé sur 4 p"	"6648-6656"	"type=DESEASE, form=L'oïdium"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"s de risque pour l'"	"oïdium"	"à partir du stade é"	"6885-6891"	"type=DESEASE, form=oïdium"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"tés de blé tendre à"	"l'oïdium"	"L'oïdium n'est plus"	"7216-7224"	"type=DESEASE, form=l'oïdium"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"é tendre à l'oïdium"	"L'oïdium"	"n'est plus une mala"	"7225-7233"	"type=DESEASE, form=L'oïdium"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"lle de résistance à"	"l'oïdium"	"Références Nouveaut"	"7463-7471"	"type=DESEASE, form=l'oïdium"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"itoire rhônalpin 8"	"Rouille"	"brune Cette maladie"	"12220-12227"	"type=DESEASE, form=Rouille"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"elles (températures"	"froides"	") les meilleures con"	"12478-12485"	"type=DESEASE, form=froides"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"pour cette maladie."	"Rouille"	"jaune Cette maladie"	"12763-12770"	"type=DESEASE, form=Rouille"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"ons de températures"	"froides"	"et d'humidité lui o"	"12969-12976"	"type=DESEASE, form=froides"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"pour cette maladie."	"Fusariose"	"des épis Elle n'est"	"13144-13153"	"type=DESEASE, form=Fusariose"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"ment possible de la"	"fusariose"	"sur épis.Les situat"	"13401-13410"	"type=DESEASE, form=fusariose"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"blé tendre lié à la"	"fusariose"	"sur épi (Fusarium g"	"15187-15196"	"type=DESEASE, form=fusariose"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	":1 et 2 : Le risque"	"fusariose"	"est minimum et prés"	"16088-16097"	"type=DESEASE, form=fusariose"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"fique vis-à-vis des"	"fusarioses"	"quelles que soient"	"16239-16249"	"type=DESEASE, form=fusarioses"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"isque vis-à-vis des"	"fusarioses"	"est atteint en cas"	"16412-16422"	"type=DESEASE, form=fusarioses"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"é peu sensible à la"	"fusariose"	". A défaut et pour l"	"17326-17335"	"type=DESEASE, form=fusariose"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"n. Seulement un peu"	"d'oïdium"	"sur F3 est signalé"	"17591-17599"	"type=DESEASE, form=d'oïdium"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"n à grains laiteux."	"L'oïdium"	"est signalé sur une"	"17810-17818"	"type=DESEASE, form=L'oïdium"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"sque est faible. La"	"rhynchosporiose"	"n'est pas observée"	"17933-17948"	"type=DESEASE, form=rhynchosporiose"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"toire rhônalpin 11"	"L'helminthosporiose"	"est signalée sur un"	"18127-18146"	"type=DESEASE, form=L'helminthosporiose"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"ur cette maladie La"	"rouille"	"naine est signalée"	"18247-18254"	"type=DESEASE, form=rouille"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"sent des traces. Le"	"froid"	"stoppe la croissanc"	"19990-19995"	"type=DESEASE, form=froid"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"aine 23. La période"	"froide"	"peu avoir un effet"	"22776-22782"	"type=DESEASE, form=froide"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"développement de la"	"rhynchosporiose"	". L'oïdium poursuit"	"586-601"	"type=DESEASE, form=rhynchosporiose"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"la rhynchosporiose."	"L'oïdium"	"poursuit sa progres"	"603-611"	"type=DESEASE, form=L'oïdium"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"s.arvalis-infos.fr/"	"Rouille"	"jaune Analyse indic"	"3033-3040"	"type=DESEASE, form=Rouille"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"logie Des foyers de"	"rouille"	"jaune sont signalés"	"3118-3125"	"type=DESEASE, form=rouille"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"le) vis-à-vis de la"	"rouille"	"jaune.- Les symptôm"	"4436-4443"	"type=DESEASE, form=rouille"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"la fiche accident """	"Rouille"	"jaune"" disponible s"	"4558-4565"	"type=DESEASE, form=Rouille"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"itoire auvergnat 3"	"Rouille"	"brune Cette semaine"	"4724-4731"	"type=DESEASE, form=Rouille"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"nte de symptômes de"	"rouille"	"brune. Cécidomyie o"	"4797-4804"	"type=DESEASE, form=rouille"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"n plaine on note de"	"l'oïdium"	"et de l'helminthosp"	"7080-7088"	"type=DESEASE, form=l'oïdium"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"e de l'oïdium et de"	"l'helminthosporiose"	". Dans des parcelles"	"7095-7114"	"type=DESEASE, form=l'helminthosporiose"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"ion a été réalisée."	"Oïdium"	"L'oïdium est signal"	"7341-7347"	"type=DESEASE, form=Oïdium"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"té réalisée. Oïdium"	"L'oïdium"	"est signalé : - dan"	"7348-7356"	"type=DESEASE, form=L'oïdium"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"nt et peu sensibles"	"Oïdium"	"Z30 à Z49 Plus de 2"	"7774-7780"	"type=DESEASE, form=Oïdium"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"itoire auvergnat 5"	"Helminthosporiose"	"L'helminthosporiose"	"7975-7992"	"type=DESEASE, form=Helminthosporiose"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"Helminthosporiose"	"L'helminthosporiose"	"est observée dans d"	"7993-8012"	"type=DESEASE, form=L'helminthosporiose"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"nt et peu sensibles"	"Helminthosporiose"	"Z31 à Z51 Plus de 1"	"8305-8322"	"type=DESEASE, form=Helminthosporiose"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"altitude En plaine"	"Rhynchosporiose"	"La rhynchosporiose"	"8597-8612"	"type=DESEASE, form=Rhynchosporiose"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"Rhynchosporiose La"	"rhynchosporiose"	"est signalée dans u"	"8616-8631"	"type=DESEASE, form=rhynchosporiose"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"Variétés sensibles"	"Rhynchosporiose"	"Z31 à Z49 Plus de 1"	"8789-8804"	"type=DESEASE, form=Rhynchosporiose"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"les années les plus"	"froides"	". BSV n°14, Grandes"	"14233-14240"	"type=DESEASE, form=froides"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"rares. Des attaques"	"d'oïdium"	"sur deux parcelles"	"14968-14976"	"type=DESEASE, form=d'oïdium"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"3 atteintes. Risque"	"oïdium"	"Variétés sensibles"	"15102-15108"	"type=DESEASE, form=oïdium"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"ditions humides, la"	"rhynchosporiose"	"refait son appariti"	"15192-15207"	"type=DESEASE, form=rhynchosporiose"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"bien touchée par la"	"rhynchosporiose"	"avec 40-50% des F3"	"15466-15481"	"type=DESEASE, form=rhynchosporiose"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"F2. Risque complexe"	"rhynchosporiose"	"/ septoriose Variét"	"15540-15555"	"type=DESEASE, form=rhynchosporiose"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"dernières feuilles."	"Rhynchosporiose"	": Pression élevée,"	"385-400"	"type=DESEASE, form=Rhynchosporiose"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"tiques. Présence de"	"rhynchosporiose"	"sur orge de printem"	"474-489"	"type=DESEASE, form=rhynchosporiose"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"ales du blé tendre ("	"piétin"	"-verse, septoriose,"	"4113-4119"	"type=DESEASE, form=piétin"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"-verse, septoriose,"	"rouille"	"jaune, rouille brun"	"4139-4146"	"type=DESEASE, form=rouille"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"ose, rouille jaune,"	"rouille"	"brune et fusariose"	"4154-4161"	"type=DESEASE, form=rouille"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"e, rouille brune et"	"fusariose"	"des épis). http://w"	"4171-4180"	"type=DESEASE, form=fusariose"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"on des symptômes. 3"	"Rouille"	"brune Il y a 3 parc"	"4858-4865"	"type=DESEASE, form=Rouille"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"nt des symptômes de"	"rouille"	"brune sur les F3 (2"	"4922-4929"	"type=DESEASE, form=rouille"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"21% à floraison. 2"	"Rhynchosporiose"	"a. Observations Il"	"6422-6437"	"type=DESEASE, form=Rhynchosporiose"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"nalyse de risque La"	"rhynchosporiose"	"monte progressiveme"	"7194-7209"	"type=DESEASE, form=rhynchosporiose"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"ladies et ravageurs"	"Helminthosporiose"	"teres : 7 parcelles"	"7427-7444"	"type=DESEASE, form=Helminthosporiose"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"ésence de symptômes"	"d'helminthosporiose"	"sur les F3 avec en"	"7500-7519"	"type=DESEASE, form=d'helminthosporiose"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"e feuilles touchées."	"Rouille"	"naine : 2 parcelles"	"7780-7787"	"type=DESEASE, form=Rouille"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"ladies et ravageurs"	"Rhynchosporiose"	": 11 parcelles sign"	"8318-8333"	"type=DESEASE, form=Rhynchosporiose"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"feuilles touchées)."	"Helminthosporiose"	": 2 parcelles signa"	"8524-8541"	"type=DESEASE, form=Helminthosporiose"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"alent des symptômes"	"d'helminthosporiose"	"teres avec 10% de F"	"8580-8599"	"type=DESEASE, form=d'helminthosporiose"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"ible pour le moment."	"Rouille"	"naine : Une parcell"	"8694-8701"	"type=DESEASE, form=Rouille"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"le des symptômes de"	"rouille"	"naine avec 10% de F"	"8748-8755"	"type=DESEASE, form=rouille"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"itions relativement"	"froides"	"ne sont pas propice"	"13381-13388"	"type=DESEASE, form=froides"
"20190730_bsv_grandes_cultures_cle879378"	"ar le mildiou CAPDL"	"Rouille"	"blanche Phomopsis t"	"9766-9773"	"type=DESEASE, form=Rouille"
"20191210_bsv_grandes_cultures_cle8fd173"	"elles. En effet, le"	"froid"	"n'a pas été suffisa"	"8024-8029"	"type=DESEASE, form=froid"
"BSV_19-19_cereales_Normandie_2019_cle8dba8a"	"ies : Des symptômes"	"d'oïdium"	"sont observés sur 4"	"345-353"	"type=DESEASE, form=d'oïdium"
