"bsv"	"html tags"	"segment (type)"	"segment (form)"	"fcu concepts"	"bioagressors"	"stages"	"locality"	"dates"	"context before"	"context after"	"location"	"features"
"01_TB_Als_cle8c6253"	"SMALL
P"	"META"	"Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."	""	""	""	""	""	"ont pas été lavés !"	"Bulletin de Santé d"	"2197-2439"	"type=META, form=Action pilotée par le ministère chargé de l'agriculture, avec l'appui financier de l'Office national de l'eau et des milieux aquatiques, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."
"01_TB_Als_cle8c6253"	"FOOTER
BR"	"FOOTER"	"Bulletin de Santé du Végétal 2 pages"	""	""	""	""	""	"t du plan Ecophyto."	""	"2440-2476"	"type=FOOTER, form=Bulletin de Santé du Végétal 2 pages"
"05_GC_Als_cle8c3f61"	"TITLE"	"TITLE"	"Grandes cultures"	""	""	""	""	""	""	"N°5 du 24 mars 201"	"1-17"	"type=TITLE, form=Grandes cultures"
"05_GC_Als_cle8c3f61"	"H2"	"CULTURE"	"ORGE"	"orge"	""	""	""	""	"15 Grandes cultures"	"Sur les 12 parcelle"	"56-60"	"type=CULTURE, form=ORGE"
"05_GC_Als_cle8c3f61"	"P
P"	"STADES"	"Sur les 12 parcelles d'orge d'hiver suivies cette semaine, seules 2 atteignent ou dépassent le stade épi 1 cm. Pour les autres parcelles, le redressement est en cours (jusqu'à épi 0,8 cm). Le jaunissement des plantes commence à s'estomper avec l'apparition de nouvelles feuilles.
Oïdium"	""	"Oïdium"	""	""	""	"andes cultures ORGE"	"ORGE On observe de"	"61-347"	"type=STADES, form=Sur les 12 parcelles d'orge d'hiver suivies cette semaine, seules 2 atteignent ou dépassent le stade épi 1 cm. Pour les autres parcelles, le redressement est en cours (jusqu'à épi 0,8 cm). Le jaunissement des plantes commence à s'estomper avec l'apparition de nouvelles feuilles.
Oïdium"
"05_GC_Als_cle8c3f61"	"H1"	"CULTURE"	"ORGE"	"orge"	""	""	""	""	"es feuilles. Oïdium"	"On observe de façon"	"348-352"	"type=CULTURE, form=ORGE"
"05_GC_Als_cle8c3f61"	"H3"	"RISQUE"	"Stade Oïdium"	""	"Oïdium"	""	""	""	"sur feuilles âgées."	"Ravageur A noter ég"	"431-443"	"type=RISQUE, form=Stade Oïdium"
"05_GC_Als_cle8c3f61"	"H3
P"	"RISQUE"	"Ravageur
A noter également que 2 parcelles présentent des dégâts de larves d'oscinies."	""	"larves"	""	""	""	"âgées. Stade Oïdium"	"BLE BLE Maladie DÉG"	"444-530"	"type=RISQUE, form=Ravageur
A noter également que 2 parcelles présentent des dégâts de larves d'oscinies."
"05_GC_Als_cle8c3f61"	"H2"	"CULTURE"	"BLE"	"blé"	""	""	""	""	"larves d'oscinies."	"BLE Maladie DÉGÂTS"	"531-534"	"type=CULTURE, form=BLE"
"05_GC_Als_cle8c3f61"	"H1
P
H2
P
H3
P"	"SOMMAIRE"	"BLE
Maladie
DÉGÂTS D'OSCINIES SUR CEREALES A PAILLE
Les températures clémentes de la semaine dernière ont largement profité au blé. Le redressement a débuté dans de nombreuses parcelles et le stade "" épi 1 cm "" se rapproche dans les situations les plus précoces.
Oscinie sur céréales à paille
Des dégâts d'oscinies ont été signalés dans 2 parcelles d'orge et une parcelle de blé du réseau. Ces dégâts sont signalés sur les parcelles semées les plus précocement. Comme en maïs, les attaques d'oscinies se manifestent par une désorganisation des tissus du maître-brin (qui s'épaissit) et un tallage important : la céréale prend l'aspect d'un poireau. En fendant le pied, on y trouve une petite larve. Ces attaques sont liées à des pontes de cet automne. La larve devrait se nymphoser puis donner la génération d'insectes qui pourrait aller pondre dans les maïs. L'intensité des attaques est faible dans 2 parcelles. Dans une troisième, les symptômes sont plus fréquents. A priori, la nuisibilité est plus faible qu'en maïs."	"blé,
céréale à paille,
blé,
céréale à paille,
blé,
maïs,
céréale,
poireau,
maïs,
maïs"	"Oscinie,
larve,
larve"	""	""	""	"ves d'oscinies. BLE"	"Maladies Sur certai"	"535-1556"	"type=SOMMAIRE, form=BLE
Maladie
DÉGÂTS D'OSCINIES SUR CEREALES A PAILLE
Les températures clémentes de la semaine dernière ont largement profité au blé. Le redressement a débuté dans de nombreuses parcelles et le stade "" épi 1 cm "" se rapproche dans les situations les plus précoces.
Oscinie sur céréales à paille
Des dégâts d'oscinies ont été signalés dans 2 parcelles d'orge et une parcelle de blé du réseau. Ces dégâts sont signalés sur les parcelles semées les plus précocement. Comme en maïs, les attaques d'oscinies se manifestent par une désorganisation des tissus du maître-brin (qui s'épaissit) et un tallage important : la céréale prend l'aspect d'un poireau. En fendant le pied, on y trouve une petite larve. Ces attaques sont liées à des pontes de cet automne. La larve devrait se nymphoser puis donner la génération d'insectes qui pourrait aller pondre dans les maïs. L'intensité des attaques est faible dans 2 parcelles. Dans une troisième, les symptômes sont plus fréquents. A priori, la nuisibilité est plus faible qu'en maïs."
"05_GC_Als_cle8c3f61"	"P"	"RISQUE"	"Sur certaines situations (semis précoces en variétés sensibles), on observe sur les feuilles basses quelques symptômes anciens de septoriose. Ces taches n'ont à ce jour pas d'incidence. Elles pourront néanmoins servir de "" pied de cuve "" à de nouvelles contaminations"	""	"septoriose"	""	""	""	"u'en maïs. Maladies"	"COLZA Stades Ravage"	"1566-1833"	"type=RISQUE, form=Sur certaines situations (semis précoces en variétés sensibles), on observe sur les feuilles basses quelques symptômes anciens de septoriose. Ces taches n'ont à ce jour pas d'incidence. Elles pourront néanmoins servir de "" pied de cuve "" à de nouvelles contaminations"
"05_GC_Als_cle8c3f61"	"H2"	"CULTURE"	"COLZA"	"colza"	""	""	""	""	"lles contaminations"	"Stades Ravageurs An"	"1834-1839"	"type=CULTURE, form=COLZA"
"05_GC_Als_cle8c3f61"	"P"	"STADES"	"Stades Ravageurs"	""	""	""	""	""	"ontaminations COLZA"	"Animateurs : Arvali"	"1840-1856"	"type=STADES, form=Stades Ravageurs"
"05_GC_Als_cle8c3f61"	"FIGCAPTION
FIGURE"	"RISQUE"	"Larve dans une plante"	""	"Larve"	""	""	""	"ymptôme "" poireau """	"La larve Chambre d'"	"2183-2204"	"type=RISQUE, form=Larve dans une plante"
"05_GC_Als_cle8c3f61"	"FIGCAPTION
FIGURE"	"RISQUE"	"La larve"	""	"larve"	""	""	""	"rve dans une plante"	"Chambre d'agricultu"	"2205-2213"	"type=RISQUE, form=La larve"
"05_GC_Als_cle8c3f61"	"H1"	"CULTURE"	"COLZA"	"colza"	""	""	""	""	"TIAN de printemps."	"Stade Toutes les pa"	"2368-2373"	"type=CULTURE, form=COLZA"
"05_GC_Als_cle8c3f61"	"H3
P
P"	"STADES"	"Stade
Toutes les parcelles sont en phase d'élongation de la tige plus ou moins avancée. Les boutons floraux sont également visibles dans la majorité des situations. Sur 19 parcelles du réseau d'observation, 11 sont au stade D1 (boutons accolés) et 8 au stade C2 (entre-nœuds visibles).
le nombre de méligèthes observés par le nombre de pieds observés pour évaluer l'infestation moyenne par plante)."	""	""	""	""	""	"de printemps. COLZA"	"Charançon de la tig"	"2374-2772"	"type=STADES, form=Stade
Toutes les parcelles sont en phase d'élongation de la tige plus ou moins avancée. Les boutons floraux sont également visibles dans la majorité des situations. Sur 19 parcelles du réseau d'observation, 11 sont au stade D1 (boutons accolés) et 8 au stade C2 (entre-nœuds visibles).
le nombre de méligèthes observés par le nombre de pieds observés pour évaluer l'infestation moyenne par plante)."
"05_GC_Als_cle8c3f61"	"H3
P"	"RISQUE"	"Charançon de la tige du colza
Le vol qui a débuté le 8 mars se poursuit encore cette semaine. Les captures concernent les 3/4 des parcelles. Même si certaines cuvettes n'ont pas piégé l'insecte, le vol est généralisé sur l'Alsace. Toutes les parcelles sont au stade sensible. Pour les parcelles qui n'ont pas fait l'objet d'une protection, le risque élevé."	"colza"	"Charançon"	""	""	"8 mars"	"oyenne par plante)."	"Méligèthe L'arrivée"	"2773-3129"	"type=RISQUE, form=Charançon de la tige du colza
Le vol qui a débuté le 8 mars se poursuit encore cette semaine. Les captures concernent les 3/4 des parcelles. Même si certaines cuvettes n'ont pas piégé l'insecte, le vol est généralisé sur l'Alsace. Toutes les parcelles sont au stade sensible. Pour les parcelles qui n'ont pas fait l'objet d'une protection, le risque élevé."
"05_GC_Als_cle8c3f61"	"P
BR
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
P"	"STADES"	"L'arrivée des méligèthes se confirme cette semaine avec 100 % des cuvettes positives mais la colonisation des plantes débute tout juste dans certaines parcelles Rappelons que l'observation doit être réalisée sur les plantes, car la présence dans les cuvettes n'est qu'un indicateur de présence. L'observation démarre au stade D1 et se termine lorsque la floraison s'engage. L'évaluation du risque prend en compte le stade de la culture, ses capacités de compensation ainsi que le nombre moyen de méligèthes par plante(dénombrer les insectes sur 5 x 5 plantes consécutives pour ne pas focaliser sur les plantes les plus hautes qui sont les plus attractives ! Diviser
Sain et vigoureux
Etat du colza
Stade boutons accolés (D1) Généralement pas d'intervention justifiée. Reporter la décision d'intervenir ou non au stade E
Stade boutons séparés (E)
6 à 9 méligèthes par plante
Colza handicapé, peu vigoureux, conditions peu favorables aux compensations
1 méligèthe par plante
2 - 3 méligèthes par plante
 températures faibles, plantes stressées en eau à floraison, dégâts parasitaires antérieurs
Cette semaine, les insectes ne sont observés sur plantes que dans deux parcelles avec moins de 0,5 individu par plante. Le risque est donc faible à nul pour le moment. La surveillance est à mettre en œuvre pour toutes les parcelles qui ont atteint le stade D1."	"maïs,
colza,
colza"	"méligèthe"	""	""	""	"ue élevé. Méligèthe"	"Larve d'altise qui"	"3140-4493"	"type=STADES, form=L'arrivée des méligèthes se confirme cette semaine avec 100 % des cuvettes positives mais la colonisation des plantes débute tout juste dans certaines parcelles Rappelons que l'observation doit être réalisée sur les plantes, car la présence dans les cuvettes n'est qu'un indicateur de présence. L'observation démarre au stade D1 et se termine lorsque la floraison s'engage. L'évaluation du risque prend en compte le stade de la culture, ses capacités de compensation ainsi que le nombre moyen de méligèthes par plante(dénombrer les insectes sur 5 x 5 plantes consécutives pour ne pas focaliser sur les plantes les plus hautes qui sont les plus attractives ! Diviser
Sain et vigoureux
Etat du colza
Stade boutons accolés (D1) Généralement pas d'intervention justifiée. Reporter la décision d'intervenir ou non au stade E
Stade boutons séparés (E)
6 à 9 méligèthes par plante
Colza handicapé, peu vigoureux, conditions peu favorables aux compensations
1 méligèthe par plante
2 - 3 méligèthes par plante
 températures faibles, plantes stressées en eau à floraison, dégâts parasitaires antérieurs
Cette semaine, les insectes ne sont observés sur plantes que dans deux parcelles avec moins de 0,5 individu par plante. Le risque est donc faible à nul pour le moment. La surveillance est à mettre en œuvre pour toutes les parcelles qui ont atteint le stade D1."
"05_GC_Als_cle8c3f61"	"FIGCAPTION
FIGURE"	"RISQUE"	"Larve d'altise qui a détruit le bourgeon terminal"	""	"Larve"	""	""	""	"tteint le stade D1."	"Altise Des dégâts d"	"4494-4543"	"type=RISQUE, form=Larve d'altise qui a détruit le bourgeon terminal"
"05_GC_Als_cle8c3f61"	"H3
P"	"RISQUE"	"Altise
Des dégâts de larves d'altises sont signalés sur certaines parcelles (cf. photos ci-contre). La forte pression de cet insecte à l'automne a pu avoir un impact important sur des parcelles peu développées."	""	"Altise,
larves"	""	""	""	"e bourgeon terminal"	"Larve qui est resté"	"4544-4754"	"type=RISQUE, form=Altise
Des dégâts de larves d'altises sont signalés sur certaines parcelles (cf. photos ci-contre). La forte pression de cet insecte à l'automne a pu avoir un impact important sur des parcelles peu développées."
"05_GC_Als_cle8c3f61"	"P"	"RISQUE"	"Larve qui est restée dans les pétioles"	""	"Larve"	""	""	""	"es peu développées."	""	"4755-4793"	"type=RISQUE, form=Larve qui est restée dans les pétioles"
"05bsv_jevi_20190502_cle8f22b6"	"FIGCAPTION
FIGURE
BR
BR
BR
BR
BR
BR"	"RISQUE"	"JARDINS ORNEMENTAUX BuisPsylle : présence en diminutionPyrale : peu de dégâts LysCriocère : présence de larves et dégâts en augmentation Rosier Aphrophore - cicadelle écumeuse : apparition de larvesMTN : absencePuceron : présence variable et auxiliaire Viburnum sp.Galéruque : détection des premières larves"	"jardin,
rosier"	"larves,
cicadelle,
larves"	""	""	""	"ACTUALITÉS"	"POTAGERS ChouAltise"	"13-320"	"type=RISQUE, form=JARDINS ORNEMENTAUX BuisPsylle : présence en diminutionPyrale : peu de dégâts LysCriocère : présence de larves et dégâts en augmentation Rosier Aphrophore - cicadelle écumeuse : apparition de larvesMTN : absencePuceron : présence variable et auxiliaire Viburnum sp.Galéruque : détection des premières larves"
"05bsv_jevi_20190502_cle8f22b6"	"FIGCAPTION
FIGURE"	"RISQUE"	"INFORMATION RÉGLEMENTAIRE Bactrocera dorsalis Erratum"	""	"Bactrocera dorsalis,
Bactrocera dorsalis"	""	""	""	"F ABSENCE CONFIRMÉE"	"INFORMATION ESPECE"	"748-801"	"type=RISQUE, form=INFORMATION RÉGLEMENTAIRE Bactrocera dorsalis Erratum"
"05bsv_jevi_20190502_cle8f22b6"	"FIGCAPTION
FIGURE"	"RISQUE"	"INFORMATION ESPECE ENVAHISSANTE Punaise diabolique 1er signalement dans le Maine-et-loire"	""	"Punaise"	""	""	""	"ra dorsalis Erratum"	"PORTAIL ET SITE INT"	"802-891"	"type=RISQUE, form=INFORMATION ESPECE ENVAHISSANTE Punaise diabolique 1er signalement dans le Maine-et-loire"
"05bsv_jevi_20190502_cle8f22b6"	"H1"	"CULTURE"	"JARDINS ORNEMENTAUX"	"jardin"	""	""	""	""	"GASTINEL - POLLENIZ"	"B uis Psylle : pré"	"1058-1077"	"type=CULTURE, form=JARDINS ORNEMENTAUX"
"05bsv_jevi_20190502_cle8f22b6"	"H5
P"	"RESEAU D'OBSERVATION"	"Réseau d'observations
Régions lavalloise, espaces verts."	"zone non agricole"	""	""	""	""	"sence en diminution"	"Observations Le sit"	"1117-1173"	"type=RESEAU D'OBSERVATION, form=Réseau d'observations
Régions lavalloise, espaces verts."
"05bsv_jevi_20190502_cle8f22b6"	"H5
P
P"	"RESEAU D'OBSERVATION"	"Observations
Le site mayennais signalé dans le dernier BSV présente une baisse significative des populations de psylles. La présence de sécrétions cireuses a très nettement diminué (sans traitement).
La présence d'auxiliaires n'a pas été observée. Mais il existe des auxiliaires naturels du psylle, également utilisables en biocontrôle comme des punaises prédatrices (Anthocoris nemoralis) ou certaines chrysopes (Chrysoperla carnea). On peut également ramasser les feuilles mortes et couper les pousses parasitées, puis procéder à leur élimination."	"maïs"	"punaises,
chrysopes"	""	""	""	"ise, espaces verts."	"Analyse et gestion"	"1174-1723"	"type=RESEAU D'OBSERVATION, form=Observations
Le site mayennais signalé dans le dernier BSV présente une baisse significative des populations de psylles. La présence de sécrétions cireuses a très nettement diminué (sans traitement).
La présence d'auxiliaires n'a pas été observée. Mais il existe des auxiliaires naturels du psylle, également utilisables en biocontrôle comme des punaises prédatrices (Anthocoris nemoralis) ou certaines chrysopes (Chrysoperla carnea). On peut également ramasser les feuilles mortes et couper les pousses parasitées, puis procéder à leur élimination."
"05bsv_jevi_20190502_cle8f22b6"	"H5
P
P"	"RISQUE"	"Analyse et gestion du risque
Les fortes chaleurs observées il y a 2 à 3 semaines ont créé de bonnes conditions de développement pour ce ravageur. Mais le retour de la fraîcheur et des pluies ont dû les freiner.
Accéder au site de la Surveillance Biologique du Territoire en cliquant ici"	"maïs"	""	""	""	""	"à leur élimination."	"ABONNEMENT BSV Retr"	"1724-2010"	"type=RISQUE, form=Analyse et gestion du risque
Les fortes chaleurs observées il y a 2 à 3 semaines ont créé de bonnes conditions de développement pour ce ravageur. Mais le retour de la fraîcheur et des pluies ont dû les freiner.
Accéder au site de la Surveillance Biologique du Territoire en cliquant ici"
"05bsv_jevi_20190502_cle8f22b6"	"FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
BR
BR
BR
P
BR"	"META"	"ABONNEMENT BSV
Retrouvez le bulletin de santé du végétal sur le web... www.draaf.pays-de-la-loire.agriculture.gouv.fr www.pays-de-la-loire.chambres-agriculture.fr www.polleniz.fr
 ou inscrivez-vous en ligne pour être informé directement par mail de chaque nouvelle parution :
https://pays-de-la-loire.chambres-agriculture.fr/ innovation-rd/agronomie-vegetal/bulletins-techniques"	""	""	""	"loire,
loire,
loire"	""	"ire en cliquant ici"	"-dont-bsv/bsv-pays-d"	"2011-2389"	"type=META, form=ABONNEMENT BSV
Retrouvez le bulletin de santé du végétal sur le web... www.draaf.pays-de-la-loire.agriculture.gouv.fr www.pays-de-la-loire.chambres-agriculture.fr www.polleniz.fr
 ou inscrivez-vous en ligne pour être informé directement par mail de chaque nouvelle parution :
https://pays-de-la-loire.chambres-agriculture.fr/ innovation-rd/agronomie-vegetal/bulletins-techniques"
"05bsv_jevi_20190502_cle8f22b6"	"FIGCAPTION
FIGURE"	"FOOTER"	"Page 2"	""	""	""	""	""	"19 PAYS DE LA LOIRE"	"BSV JEVI N°05 DU 2"	"2526-2532"	"type=FOOTER, form=Page 2"
"05bsv_jevi_20190502_cle8f22b6"	"P"	"EDITION"	"BSV JEVI N°05 DU 2 MAI 2019"	""	""	""	""	"2 MAI 2019"	"DE LA LOIRE Page 2"	"Pyrale : peu de dé"	"2533-2560"	"type=EDITION, form=BSV JEVI N°05 DU 2 MAI 2019"
"05bsv_jevi_20190502_cle8f22b6"	"H5"	"RESEAU D'OBSERVATION"	"Réseau d'observations"	""	""	""	""	""	"ale : peu de dégâts"	"Analyse et gestion"	"2585-2606"	"type=RESEAU D'OBSERVATION, form=Réseau d'observations"
"05bsv_jevi_20190502_cle8f22b6"	"H5
P"	"RISQUE"	"Analyse et gestion du risque
Région Erdre et Gesvres, Pays d'Ancenis, Haut-Anjou (49), secteur lavallois et Pays de Sainte Hermine. Espaces verts, parc et jardins d'amateurs."	"zone non agricole,
zone non agricole,
jardin"	""	""	""	""	"seau d'observations"	"Observations Hormis"	"2607-2781"	"type=RISQUE, form=Analyse et gestion du risque
Région Erdre et Gesvres, Pays d'Ancenis, Haut-Anjou (49), secteur lavallois et Pays de Sainte Hermine. Espaces verts, parc et jardins d'amateurs."
"05bsv_jevi_20190502_cle8f22b6"	"P
BR"	"EDITION"	"Actuellement, les conditions climatiques fraîches ne favorisent pas l'activité des chenilles, encore en rythme"" ralenti "" pour la plupart d'entre elles. Car pour rappel, plus les températures sont chaudes, plus leur cycle biologique s'accélère. Ainsi, un traitement ne se justifie que si la présence des chenilles est importante et bien active. Plus d'informations sur les méthodes alternatives et leurs conditions d'applications dans le BSV JEVI n°4 ici. Profitez de vos observations pour détruire manuellement les chenilles isolées. Enfin, pour les propriétaires de buis indemnes de pyrale jusqu'à présent, contrôlez attentivement vos végétaux afin de vous assurer de l'absence du ravageur en cette reprise d'activité."	""	"pyrale"	""	""	""	"pturé de papillons."	"Cycle biologique Re"	"3166-3886"	"type=EDITION, form=Actuellement, les conditions climatiques fraîches ne favorisent pas l'activité des chenilles, encore en rythme"" ralenti "" pour la plupart d'entre elles. Car pour rappel, plus les températures sont chaudes, plus leur cycle biologique s'accélère. Ainsi, un traitement ne se justifie que si la présence des chenilles est importante et bien active. Plus d'informations sur les méthodes alternatives et leurs conditions d'applications dans le BSV JEVI n°4 ici. Profitez de vos observations pour détruire manuellement les chenilles isolées. Enfin, pour les propriétaires de buis indemnes de pyrale jusqu'à présent, contrôlez attentivement vos végétaux afin de vous assurer de l'absence du ravageur en cette reprise d'activité."
"05bsv_jevi_20190502_cle8f22b6"	"P"	"EDITION"	"Retrouvez les informations en page 2 du BSV JEVI n°3 du 28 mars 2019"	""	""	""	""	"28 mars 2019"	"é. Cycle biologique"	"L ys Criocère : pr"	"3904-3972"	"type=EDITION, form=Retrouvez les informations en page 2 du BSV JEVI n°3 du 28 mars 2019"
"05bsv_jevi_20190502_cle8f22b6"	"H5
P"	"RESEAU D'OBSERVATION"	"Réseau d'observations
Secteur Erdre et Gesvres et région lavalloise, jardins d'amateurs."	"jardin"	""	""	""	""	"âts en augmentation"	"Observations Depuis"	"4035-4123"	"type=RESEAU D'OBSERVATION, form=Réseau d'observations
Secteur Erdre et Gesvres et région lavalloise, jardins d'amateurs."
"05bsv_jevi_20190502_cle8f22b6"	"H5
P"	"RESEAU D'OBSERVATION"	"Observations
Depuis le dernier BSV JEVI, les jardiniers du site en Loire-Atlantique constatent toujours la présence de criocère, à tous les stades. L'ensemble des lys sont infestés, y compris les lys géants d'Himalaya. En Mayenne, le jardin surveillé en est toujours exempt."	"jardin"	""	""	"Loire,
Mayenne"	""	"jardins d'amateurs."	"Analyse et gestion"	"4124-4398"	"type=RESEAU D'OBSERVATION, form=Observations
Depuis le dernier BSV JEVI, les jardiniers du site en Loire-Atlantique constatent toujours la présence de criocère, à tous les stades. L'ensemble des lys sont infestés, y compris les lys géants d'Himalaya. En Mayenne, le jardin surveillé en est toujours exempt."
"05bsv_jevi_20190502_cle8f22b6"	"P
BR"	"RISQUE"	"Une suppression manuelle régulière peut suffire pour réguler les populations. Mais, si POLLENIZ celles-ci deviennent trop importantes, il est possible d'utiliser des méthodes de biocontrôle. Les produits de biocontrôle (Bt) utilisés contre les chenilles de lépidoptères ne conviennent pas pour cette larve de coléoptère. Des produits de biocontrôle à base de pyrèthres naturels peuvent être utilisés localement, dès l'observation des larves et dans des situations de fortes infestations."	"maïs"	"larve,
larves"	""	""	""	"t gestion du risque"	"Crioceris lilii - e"	"4428-4915"	"type=RISQUE, form=Une suppression manuelle régulière peut suffire pour réguler les populations. Mais, si POLLENIZ celles-ci deviennent trop importantes, il est possible d'utiliser des méthodes de biocontrôle. Les produits de biocontrôle (Bt) utilisés contre les chenilles de lépidoptères ne conviennent pas pour cette larve de coléoptère. Des produits de biocontrôle à base de pyrèthres naturels peuvent être utilisés localement, dès l'observation des larves et dans des situations de fortes infestations."
"05bsv_jevi_20190502_cle8f22b6"	"FIGCAPTION
FIGURE"	"RISQUE"	"Crioceris lilii - excréments visqueux abritant les larves"	""	"larves"	""	""	""	"ortes infestations."	"RÉSEAU DE SURVEILL"	"4916-4973"	"type=RISQUE, form=Crioceris lilii - excréments visqueux abritant les larves"
"05bsv_jevi_20190502_cle8f22b6"	"FIGCAPTION
FIGURE"	"FOOTER"	"Page 3"	""	""	""	""	""	"19 PAYS DE LA LOIRE"	"BSV JEVI N°05 DU 2"	"5045-5051"	"type=FOOTER, form=Page 3"
"05bsv_jevi_20190502_cle8f22b6"	"P"	"EDITION"	"BSV JEVI N°05 DU 2 MAI 2019"	""	""	""	""	"2 MAI 2019"	"DE LA LOIRE Page 3"	"R osier Réseau d'ob"	"5052-5079"	"type=EDITION, form=BSV JEVI N°05 DU 2 MAI 2019"
