"bsv"	"context before"	"bioagressors"	"context after"	"location"	"features"
"05_GC_Als_cle8c3f61"	"ltise Des dégâts de"	"larves"	"d'altises sont sign"	"4565-4571"	"type=BIOAGRESSOR, $=larve, form=larves"
"05_GC_Als_cle8c3f61"	"es peu développées."	"Larve"	"qui est restée dans"	"4755-4760"	"type=BIOAGRESSOR, $=larve, form=Larve"
"05bsv_jevi_20190502_cle8f22b6"	"ocère : présence de"	"larves"	"et dégâts en augmen"	"117-123"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"Rosier Aphrophore -"	"cicadelle"	"écumeuse : appariti"	"170-179"	"type=BIOAGRESSOR, $=cicadelle, form=cicadelle"
"05bsv_jevi_20190502_cle8f22b6"	"ction des premières"	"larves"	"POTAGERS ChouAltise"	"314-320"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"ATION RÉGLEMENTAIRE"	"Bactrocera dorsalis"	"Erratum INFORMATION"	"774-793"	"type=BIOAGRESSOR, $=bactrocera dorsalis, form=Bactrocera dorsalis"
"05bsv_jevi_20190502_cle8f22b6"	"ATION RÉGLEMENTAIRE"	"Bactrocera dorsalis"	"Erratum INFORMATION"	"774-793"	"type=BIOAGRESSOR, $=bactrocera dorsalis, form=Bactrocera dorsalis"
"05bsv_jevi_20190502_cle8f22b6"	"ESPECE ENVAHISSANTE"	"Punaise"	"diabolique 1er sign"	"834-841"	"type=BIOAGRESSOR, $=punaise, form=Punaise"
"05bsv_jevi_20190502_cle8f22b6"	"ocontrôle comme des"	"punaises"	"prédatrices (Anthoc"	"1520-1528"	"type=BIOAGRESSOR, $=punaise, form=punaises"
"05bsv_jevi_20190502_cle8f22b6"	"ralis) ou certaines"	"chrysopes"	"(Chrysoperla carnea"	"1577-1586"	"type=BIOAGRESSOR, $=chrysopes, form=chrysopes"
"05bsv_jevi_20190502_cle8f22b6"	"N°05 DU 2 MAI 2019"	"Pyrale"	": peu de dégâts Rés"	"2562-2568"	"type=BIOAGRESSOR, $=pyrale, form=Pyrale"
"05bsv_jevi_20190502_cle8f22b6"	"de buis indemnes de"	"pyrale"	"jusqu'à présent, co"	"3751-3757"	"type=BIOAGRESSOR, $=pyrale, form=pyrale"
"05bsv_jevi_20190502_cle8f22b6"	"ocère : présence de"	"larves"	"et dégâts en augmen"	"4002-4008"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"nent pas pour cette"	"larve"	"de coléoptère. Des"	"4728-4733"	"type=BIOAGRESSOR, $=larve, form=larve"
"05bsv_jevi_20190502_cle8f22b6"	"s l'observation des"	"larves"	"et dans des situati"	"4862-4868"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"squeux abritant les"	"larves"	"RÉSEAU DE SURVEILL"	"4967-4973"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"eurs. Aphrophore -"	"cicadelle"	"écumeuse : appariti"	"5220-5229"	"type=BIOAGRESSOR, $=cicadelle, form=cicadelle"
"05bsv_jevi_20190502_cle8f22b6"	"se : apparition des"	"larves"	"Observations Les pr"	"5256-5262"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"se sécrétée par les"	"larves"	"des aphrophores (ce"	"5435-5441"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"rincipal vecteur de"	"Xylella fastidiosa"	"identifié en Italie"	"5850-5868"	"type=BIOAGRESSOR, $=xylella fastidiosa, form=Xylella fastidiosa"
"05bsv_jevi_20190502_cle8f22b6"	"rincipal vecteur de"	"Xylella fastidiosa"	"identifié en Italie"	"5850-5868"	"type=BIOAGRESSOR, $=xylella fastidiosa, form=Xylella fastidiosa"
"05bsv_jevi_20190502_cle8f22b6"	"d'informations sur"	"Xylella fastidiosa"	"dans le BSV JEVI 20"	"5989-6007"	"type=BIOAGRESSOR, $=xylella fastidiosa, form=Xylella fastidiosa"
"05bsv_jevi_20190502_cle8f22b6"	"d'informations sur"	"Xylella fastidiosa"	"dans le BSV JEVI 20"	"5989-6007"	"type=BIOAGRESSOR, $=xylella fastidiosa, form=Xylella fastidiosa"
"05bsv_jevi_20190502_cle8f22b6"	"de dissémination du"	"champignon"	"(pluies et éclabous"	"6333-6343"	"type=BIOAGRESSOR, $=champignon, form=champignon"
"05bsv_jevi_20190502_cle8f22b6"	"rt d'hivernation du"	"champignon"	". Si cela n'a pas ét"	"6635-6645"	"type=BIOAGRESSOR, $=champignon, form=champignon"
"05bsv_jevi_20190502_cle8f22b6"	"N°05 DU 2 MAI 2019"	"Puceron"	": présence variable"	"7584-7591"	"type=BIOAGRESSOR, $=puceron, form=Puceron"
"05bsv_jevi_20190502_cle8f22b6"	"tes, la présence de"	"pucerons"	"est très variable,"	"7689-7697"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"05bsv_jevi_20190502_cle8f22b6"	"ée. En Mayenne, des"	"larves"	"et des pontes de sy"	"7936-7942"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"yrphe, hyménoptères"	"parasitoïdes"	", ) et favoriser leu"	"8350-8362"	"type=BIOAGRESSOR, $=parasitoïdes, form=parasitoïdes"
"05bsv_jevi_20190502_cle8f22b6"	"oriser la venue des"	"oiseaux"	"en plantant des hai"	"8592-8599"	"type=BIOAGRESSOR, $=oiseau, form=oiseaux"
"05bsv_jevi_20190502_cle8f22b6"	"t des prédateurs et"	"parasitoïdes"	"de pucerons (ce qui"	"9094-9106"	"type=BIOAGRESSOR, $=parasitoïdes, form=parasitoïdes"
"05bsv_jevi_20190502_cle8f22b6"	"et parasitoïdes de"	"pucerons"	"(ce qui n'est pas l"	"9110-9118"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"05bsv_jevi_20190502_cle8f22b6"	"ction des premières"	"larves"	"Réseau d'observatio"	"9264-9270"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"sente des premières"	"larves"	"et défoliations ass"	"9376-9382"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"er ce ravageur, les"	"larves"	"ne se sont pas enco"	"9748-9754"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"GASTINEL - POLLENIZ"	"Larves"	"et défoliations ass"	"9840-9846"	"type=BIOAGRESSOR, $=larve, form=Larves"
"05bsv_jevi_20190502_cle8f22b6"	"rs de particulier."	"Altise"	": impacts sur jeune"	"10148-10154"	"type=BIOAGRESSOR, $=altise, form=Altise"
"05bsv_jevi_20190502_cle8f22b6"	"ou la plantation."	"Piéride"	": vol constaté mais"	"11046-11053"	"type=BIOAGRESSOR, $=piéride, form=Piéride"
"05bsv_jevi_20190502_cle8f22b6"	"nérations à venir."	"Puceron"	": absence Observati"	"11576-11583"	"type=BIOAGRESSOR, $=puceron, form=Puceron"
"05bsv_jevi_20190502_cle8f22b6"	"taté une absence de"	"pucerons"	", suite à l'aspersio"	"11661-11669"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"05bsv_jevi_20190502_cle8f22b6"	"MAI 2019 É pinard"	"Mineuse"	": attaque ponctuell"	"12104-12111"	"type=BIOAGRESSOR, $=mineuse, form=Mineuse"
"05bsv_jevi_20190502_cle8f22b6"	"les) par une petite"	"larve"	"responsable de mine"	"12346-12351"	"type=BIOAGRESSOR, $=larve, form=larve"
"05bsv_jevi_20190502_cle8f22b6"	"s ; probablement la"	"mouche"	"(mineuse) de la bet"	"12404-12410"	"type=BIOAGRESSOR, $=mouche, form=mouche"
"05bsv_jevi_20190502_cle8f22b6"	"ablement la mouche ("	"mineuse"	") de la betterave, a"	"12412-12419"	"type=BIOAGRESSOR, $=mineuse, form=mineuse"
"05bsv_jevi_20190502_cle8f22b6"	"st inutile pour les"	"larves"	"présentes à l'intér"	"12831-12837"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"lture empêche cette"	"mouche"	"de pondre sur les f"	"12958-12964"	"type=BIOAGRESSOR, $=mouche, form=mouche"
"05bsv_jevi_20190502_cle8f22b6"	"- Potager d'amateur"	"Larve"	"présente au sein d'"	"13024-13029"	"type=BIOAGRESSOR, $=larve, form=Larve"
"05bsv_jevi_20190502_cle8f22b6"	"our) - épinard ève"	"Pucerons"	"noirs : premières c"	"13090-13098"	"type=BIOAGRESSOR, $=puceron, form=Pucerons"
"05bsv_jevi_20190502_cle8f22b6"	"emières colonies de"	"pucerons"	"noirs de la fève su"	"13235-13243"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"05bsv_jevi_20190502_cle8f22b6"	"estion de risque Le"	"puceron"	"noir de la fève, Ap"	"13407-13414"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"05bsv_jevi_20190502_cle8f22b6"	". paragraphe Rosier/"	"puceron"	". RÉSEAU DE SURVEIL"	"13590-13597"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"05bsv_jevi_20190502_cle8f22b6"	"e très nombreuse de"	"larves"	"d'hépiale. Ces "" in"	"14004-14010"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"e"" tomber "" sur une"	"larve"	"bio-indicatrice d'u"	"14091-14096"	"type=BIOAGRESSOR, $=larve, form=larve"
"05bsv_jevi_20190502_cle8f22b6"	"eu et prédatrice de"	"limaces"	"et d'escargots. Les"	"14154-14161"	"type=BIOAGRESSOR, $=limace, form=limaces"
"05bsv_jevi_20190502_cle8f22b6"	"- Potager d'amateur"	"Larve"	"d'hépiale - laitue"	"14448-14453"	"type=BIOAGRESSOR, $=larve, form=Larve"
"05bsv_jevi_20190502_cle8f22b6"	"ons en page 6 ici."	"Puceron"	"lanigère : diminuti"	"15219-15226"	"type=BIOAGRESSOR, $=puceron, form=Puceron"
"05bsv_jevi_20190502_cle8f22b6"	"des populations de"	"pucerons"	", régulées par les j"	"15341-15349"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"05bsv_jevi_20190502_cle8f22b6"	"N°05 DU 2 MAI 2019"	"Tavelure"	": absence Observati"	"15853-15861"	"type=BIOAGRESSOR, $=tavelure, form=Tavelure"
"05bsv_jevi_20190502_cle8f22b6"	"t aucun symptôme de"	"tavelure"	". Analyse et gestion"	"15966-15974"	"type=BIOAGRESSOR, $=tavelure, form=tavelure"
"05bsv_jevi_20190502_cle8f22b6"	"ioagresseur Poireau"	"Teigne"	"Pomme de terre Dory"	"17488-17494"	"type=BIOAGRESSOR, $=teigne, form=Teigne"
"05bsv_jevi_20190502_cle8f22b6"	"de terre Doryphore,"	"mildiou"	"Poirier Psylle, tav"	"17521-17528"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"05bsv_jevi_20190502_cle8f22b6"	"iou Poirier Psylle,"	"tavelure"	"Tomate Tuta absolut"	"17545-17553"	"type=BIOAGRESSOR, $=tavelure, form=tavelure"
"05bsv_jevi_20190502_cle8f22b6"	"le, tavelure Tomate"	"Tuta absoluta"	"(piégeage) Tomate S"	"17561-17574"	"type=BIOAGRESSOR, $=tuta absoluta, form=Tuta absoluta"
"05bsv_jevi_20190502_cle8f22b6"	"le, tavelure Tomate"	"Tuta absoluta"	"(piégeage) Tomate S"	"17561-17574"	"type=BIOAGRESSOR, $=tuta absoluta, form=Tuta absoluta"
"05bsv_jevi_20190502_cle8f22b6"	"ariose, Corky root,"	"mildiou"	", Tuta absoluta Sect"	"17758-17765"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"05bsv_jevi_20190502_cle8f22b6"	"orky root, mildiou,"	"Tuta absoluta"	"Secteur Lac de Gran"	"17767-17780"	"type=BIOAGRESSOR, $=tuta absoluta, form=Tuta absoluta"
"05bsv_jevi_20190502_cle8f22b6"	"orky root, mildiou,"	"Tuta absoluta"	"Secteur Lac de Gran"	"17767-17780"	"type=BIOAGRESSOR, $=tuta absoluta, form=Tuta absoluta"
"05bsv_jevi_20190502_cle8f22b6"	"ATION RÉGLEMENTAIRE"	"B
actrocera dorsalis"	"Erratum Dans le BS"	"17833-17853"	"type=BIOAGRESSOR, $=bactrocera dorsalis, form=B
actrocera dorsalis"
"05bsv_jevi_20190502_cle8f22b6"	"ATION RÉGLEMENTAIRE"	"B
actrocera dorsalis"	"Erratum Dans le BS"	"17833-17853"	"type=BIOAGRESSOR, $=bactrocera dorsalis, form=B
actrocera dorsalis"
"05bsv_jevi_20190502_cle8f22b6"	"première fois, une"	"punaise"	"diabolique vient d'"	"18241-18248"	"type=BIOAGRESSOR, $=punaise, form=punaise"
"05bsv_jevi_20190502_cle8f22b6"	"lys (Stål, 1855) La"	"punaise"	"diabolique ÉLÉMENTS"	"19949-19956"	"type=BIOAGRESSOR, $=punaise, form=punaise"
"05bsv_jevi_20190502_cle8f22b6"	"DE DIAGNOSTIC Cette"	"punaise"	"appartient à la fam"	"19997-20004"	"type=BIOAGRESSOR, $=punaise, form=punaise"
"05bsv_jevi_20190502_cle8f22b6"	"ntatomidae comme la"	"punaise"	"verte Nezara viridu"	"20055-20062"	"type=BIOAGRESSOR, $=punaise, form=punaise"
"05bsv_jevi_20190502_cle8f22b6"	"es identifiable X 3"	"Larves"	"5 stades larvaires"	"20194-20200"	"type=BIOAGRESSOR, $=larve, form=Larves"
"05bsv_jevi_20190502_cle8f22b6"	"entifiables Œufs et"	"larves"	"de premier stade su"	"20270-20276"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"e nombreuses autres"	"punaises"	"de la même famille,"	"20437-20445"	"type=BIOAGRESSOR, $=punaise, form=punaises"
"05bsv_jevi_20190502_cle8f22b6"	"a plus proche de la"	"punaise"	"diabolique présente"	"20496-20503"	"type=BIOAGRESSOR, $=punaise, form=punaise"
"05bsv_jevi_20190502_cle8f22b6"	"te en France est la"	"punaise"	"grise : Rhaphigaste"	"20541-20548"	"type=BIOAGRESSOR, $=punaise, form=punaise"
"05bsv_jevi_20190502_cle8f22b6"	"ment polyphage, les"	"larves"	"et les adultes peuv"	"21060-21066"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"talis (platane) Les"	"larves"	"de stades 2 à 5 et"	"21915-21921"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"se nourrit pas, les"	"larves"	"des 4 autres stades"	"23030-23036"	"type=BIOAGRESSOR, $=larve, form=larves"
"05bsv_jevi_20190502_cle8f22b6"	"s nombreuses autres"	"punaises"	"européennes. Les ad"	"23441-23449"	"type=BIOAGRESSOR, $=punaise, form=punaises"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"UIN JUILLET AOÛT 53"	"OÏDIUM"	"Dans les témoins, l"	"812-818"	"type=BIOAGRESSOR, $=oïdium, form=OÏDIUM"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"n de leur épiderme."	"Oïdium"	": attaque sur baies"	"1212-1218"	"type=BIOAGRESSOR, $=oïdium, form=Oïdium"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"êt de la protection"	"Oïdium"	": attaque sur jeune"	"1736-1742"	"type=BIOAGRESSOR, $=oïdium, form=Oïdium"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"llet 2015 page 2 LE"	"MILDIOU"	"SOUFRE DE LA CHALEU"	"2010-2017"	"type=BIOAGRESSOR, $=mildiou, form=MILDIOU"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"certaines taches de"	"mildiou"	"mosaïque. Quelques"	"2272-2279"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"ent faible. Pour le"	"Mildiou"	"des jeunes feuilles"	"2432-2439"	"type=BIOAGRESSOR, $=mildiou, form=Mildiou"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"hes), comme pour le"	"Mildiou"	"mosaïque (point de"	"2494-2501"	"type=BIOAGRESSOR, $=mildiou, form=Mildiou"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"e début de semaine."	"Mildiou"	"mosaïque encore fru"	"2725-2732"	"type=BIOAGRESSOR, $=mildiou, form=Mildiou"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"fructifié Taches de"	"Mildiou"	"grillées ( face inf"	"2769-2776"	"type=BIOAGRESSOR, $=mildiou, form=Mildiou"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"ace inf.) Taches de"	"Mildiou"	"grillées (face sup)"	"2809-2816"	"type=BIOAGRESSOR, $=mildiou, form=Mildiou"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"grillées (face sup)"	"CICADELLE"	"DE LA FLAVESCENCE D"	"2837-2846"	"type=BIOAGRESSOR, $=cicadelle, form=CICADELLE"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"de lutte contre la"	"cicadelle"	"vectrice de la Flav"	"2904-2913"	"type=BIOAGRESSOR, $=cicadelle, form=cicadelle"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"escence-doree-lutte"	"CICADELLES"	"VERTES Le piégeage"	"3096-3106"	"type=BIOAGRESSOR, $=cicadelles, form=CICADELLES"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"semble Le nombre de"	"larves"	"sur la face inférie"	"3183-3189"	"type=BIOAGRESSOR, $=larve, form=larves"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"relève plus de 100"	"larves"	"pour 100 feuilles s"	"3288-3294"	"type=BIOAGRESSOR, $=larve, form=larves"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"res sont observés :"	"larves"	"de 1 à 3 mm, blanch"	"3431-3437"	"type=BIOAGRESSOR, $=larve, form=larves"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"les populations de"	"larves"	"chaque semaine pour"	"3530-3536"	"type=BIOAGRESSOR, $=larve, form=larves"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"sibilité est de 100"	"larves"	"pour 100 feuilles."	"3703-3709"	"type=BIOAGRESSOR, $=larve, form=larves"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"15 page 3 TORDEUSES"	"Cochylis"	"Le second vol d'Eud"	"4133-4141"	"type=BIOAGRESSOR, $=cochylis, form=Cochylis"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"té. Les captures de"	"Cochylis"	"restent sporadiques"	"4201-4209"	"type=BIOAGRESSOR, $=cochylis, form=Cochylis"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"136 le 24 juillet."	"Eudémis"	": piégeage Rappelon"	"4625-4632"	"type=BIOAGRESSOR, $=eudémis, form=Eudémis"
"13_HORTI_Als_cle02386b"	"ivantes. POINSETTIA"	"Aleurodes"	"Acariens Sciarides"	"272-281"	"type=BIOAGRESSOR, $=aleurode, form=Aleurodes"
"13_HORTI_Als_cle02386b"	"OINSETTIA Aleurodes"	"Acariens"	"Sciarides Petit rap"	"282-290"	"type=BIOAGRESSOR, $=acariens, form=Acariens"
"13_HORTI_Als_cle02386b"	"ERANIUMS Contre les"	"champignons"	"et les bactéries, l"	"575-586"	"type=BIOAGRESSOR, $=champignon, form=champignons"
"13_HORTI_Als_cle02386b"	"avec des bactéries,"	"champignons"	"et virus, il convie"	"811-822"	"type=BIOAGRESSOR, $=champignon, form=champignons"
"13_HORTI_Als_cle02386b"	"ultures. POINSETTIA"	"Aleurodes"	"Les cultures sont s"	"1060-1069"	"type=BIOAGRESSOR, $=aleurode, form=Aleurodes"
"13_HORTI_Als_cle02386b"	"tion : J.P. BASTIAN"	"Acariens"	"Des tétranyques son"	"1531-1539"	"type=BIOAGRESSOR, $=acariens, form=Acariens"
"13_HORTI_Als_cle02386b"	"MEVERES En plus des"	"mouches"	"des terreaux, des l"	"1959-1966"	"type=BIOAGRESSOR, $=mouche, form=mouches"
"13_HORTI_Als_cle02386b"	"s des terreaux, des"	"larves"	"beaucoup plus gross"	"1985-1991"	"type=BIOAGRESSOR, $=larve, form=larves"
"13_HORTI_Als_cle02386b"	"Il s'agirait de la"	"mouche"	"Delia platura. Cett"	"2125-2131"	"type=BIOAGRESSOR, $=mouche, form=mouche"
"13_HORTI_Als_cle02386b"	"elia platura. Cette"	"larve"	"ressemble à un peti"	"2153-2158"	"type=BIOAGRESSOR, $=larve, form=larve"
"13_HORTI_Als_cle02386b"	". On la surnomme la"	"mouche"	"des semis. Attirée"	"2246-2252"	"type=BIOAGRESSOR, $=mouche, form=mouche"
"13_HORTI_Als_cle02386b"	"re organique, cette"	"larve"	"est Animateurs: FLH"	"2304-2309"	"type=BIOAGRESSOR, $=larve, form=larve"
"13_HORTI_Als_cle02386b"	"urs, la pression en"	"thrips"	"aura été moyenne su"	"2918-2924"	"type=BIOAGRESSOR, $=thrips, form=thrips"
"13_HORTI_Als_cle02386b"	"les populations de"	"thrips"	". Les pucerons auron"	"3293-3299"	"type=BIOAGRESSOR, $=thrips, form=thrips"
"13_HORTI_Als_cle02386b"	"ions de thrips. Les"	"pucerons"	"auront été présents"	"3305-3313"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"13_HORTI_Als_cle02386b"	"e même que pour les"	"thrips"	", les chaleurs canic"	"3416-3422"	"type=BIOAGRESSOR, $=thrips, form=thrips"
"13_HORTI_Als_cle02386b"	". Le gros souci des"	"pucerons"	"est leur apparition"	"3552-3560"	"type=BIOAGRESSOR, $=puceron, form=pucerons"
"13_HORTI_Als_cle02386b"	"res spontanées. Les"	"aleurodes"	"ont été assez peu p"	"3751-3760"	"type=BIOAGRESSOR, $=aleurode, form=aleurodes"
"13_HORTI_Als_cle02386b"	"ien fonctionné. Les"	"acariens"	"ont en revanche été"	"3978-3986"	"type=BIOAGRESSOR, $=acariens, form=acariens"
"13_HORTI_Als_cle02386b"	"ias et les pensées."	"Thrips"	", pupes d'aleurodes"	"4191-4197"	"type=BIOAGRESSOR, $=thrips, form=Thrips"
"13_HORTI_Als_cle02386b"	"upes d'aleurodes et"	"acariens"	"(Photo D. Jolivet)"	"4220-4228"	"type=BIOAGRESSOR, $=acariens, form=acariens"
"13_HORTI_Als_cle02386b"	"iques telles que le"	"mildiou"	", l'oïdium. Des cas"	"4389-4396"	"type=BIOAGRESSOR, $=mildiou, form=mildiou"
"13_HORTI_Als_cle02386b"	"'oïdium. Des cas de"	"botrytis"	"ont été relevés mai"	"4419-4427"	"type=BIOAGRESSOR, $=botrytis, form=botrytis"
"13_HORTI_Als_cle02386b"	"e [plante/ravageur]"	"Aleurodes"	"Poinsettia Acariens"	"4769-4778"	"type=BIOAGRESSOR, $=aleurode, form=Aleurodes"
"13_HORTI_Als_cle02386b"	"leurodes Poinsettia"	"Acariens"	"Primevères Chenille"	"4790-4798"	"type=BIOAGRESSOR, $=acariens, form=Acariens"
"13_HORTI_Als_cle02386b"	"rimevères Chenilles"	"Acariens"	"Pensée Maladies Ris"	"4820-4828"	"type=BIOAGRESSOR, $=acariens, form=Acariens"
"19bsv_jevi_20181108_cle871314"	"ORNEMENTAUX B uis"	"Pyrale"	": quelques vols - p"	"674-680"	"type=BIOAGRESSOR, $=pyrale, form=Pyrale"
"19bsv_jevi_20181108_cle871314"	"er manuellement les"	"larves"	"hivernantes qui ren"	"1818-1824"	"type=BIOAGRESSOR, $=larve, form=larves"
