"bsv"	"context before"	"date"	"match"	"context after"	"location"	"features"
"05bsv_jevi_20190502_cle8f22b6"	"GIQUE DU TERRITOIRE"	"2019"	""	"PAYS DE LA LOIRE Pa"	"15795-15799"	"type=YYYY, form=2019"
"05bsv_jevi_20190502_cle8f22b6"	"8 BSV JEVI N°05 DU"	"2 MAI 2019"	""	"Tavelure : absence"	"15841-15851"	"type=DD-MM-YYYY, form=2 MAI 2019"
"05bsv_jevi_20190502_cle8f22b6"	"ns Dans le BSV JEVI"	"2018"	""	"n°7, page 9. N'hési"	"17157-17161"	"type=YYYY, form=2018"
"05bsv_jevi_20190502_cle8f22b6"	"GIQUE DU TERRITOIRE"	"2019"	""	"PAYS DE LA LOIRE Pa"	"17385-17389"	"type=YYYY, form=2019"
"05bsv_jevi_20190502_cle8f22b6"	"9 BSV JEVI N°05 DU"	"2 MAI 2019"	""	"ABSENCE CONFIMÉE Cu"	"17431-17441"	"type=DD-MM-YYYY, form=2 MAI 2019"
"05bsv_jevi_20190502_cle8f22b6"	"GIQUE DU TERRITOIRE"	"2019"	""	"PAYS DE LA LOIRE Pa"	"18677-18681"	"type=YYYY, form=2019"
"05bsv_jevi_20190502_cle8f22b6"	"10 BSV JEVI N°05 DU"	"2 MAI 2019"	""	"P ortail ECOPHYTO J"	"18724-18734"	"type=DD-MM-YYYY, form=2 MAI 2019"
"05bsv_jevi_20190502_cle8f22b6"	"GIQUE DU TERRITOIRE"	"2019"	""	"PAYS DE LA LOIRE Ce"	"19431-19435"	"type=YYYY, form=2019"
"05bsv_jevi_20190502_cle8f22b6"	"reconnaissance MAJ"	"30/04/"	""	"2015 Halyomorpha hal"	"19904-19910"	"type=MM-YYYY, form=30/04/"
"05bsv_jevi_20190502_cle8f22b6"	"naissance MAJ 30/04/"	"2015"	""	"Halyomorpha halys ("	"19910-19914"	"type=YYYY, form=2015"
"05bsv_jevi_20190502_cle8f22b6"	"morpha halys (Stål,"	"1855"	""	") La punaise diaboli"	"19940-19944"	"type=YYYY, form=1855"
"05bsv_jevi_20190502_cle8f22b6"	"Corée. Signalée en"	"1996"	""	"aux Etats Unis puis"	"22403-22407"	"type=YYYY, form=1996"
"05bsv_jevi_20190502_cle8f22b6"	"Europe (Suisse) en"	"2007"	""	". L'Italie, la Grèce"	"22450-22454"	"type=YYYY, form=2007"
"05bsv_jevi_20190502_cle8f22b6"	"une observation en"	"2011"	""	".En France au début"	"22560-22564"	"type=YYYY, form=2011"
"05bsv_jevi_20190502_cle8f22b6"	".En France au début"	"2015"	""	", seuls 2 foyers son"	"22584-22588"	"type=YYYY, form=2015"
"05bsv_jevi_20190502_cle8f22b6"	"recensés : Alsace ("	"2012"	""	") et Ile de France."	"22629-22633"	"type=YYYY, form=2012"
"05bsv_jevi_20190502_cle8f22b6"	"ésence en France en"	"mars 2015"	""	"20152015 CYCLE BIOL"	"22706-22715"	"type=MM-YYYY, form=mars 2015"
"05bsv_jevi_20190502_cle8f22b6"	"ne commencent qu'un"	"juin"	""	". Elles peuvent dure"	"22916-22920"	"type=MM, form=juin"
"05bsv_jevi_20190502_cle8f22b6"	"vent durer jusqu'en"	"septembre"	""	". Si le premier stad"	"22951-22960"	"type=MM, form=septembre"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"econd vol d'Eudémis"	"28 juillet 2015"	""	"PHÉNOLOGIE PHÉNOLOG"	"332-347"	"type=DD-MM-YYYY, form=28 juillet 2015"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"fermées(stade 33)."	"2015
2013"	""	"2011 Croissance heb"	"628-637"	"type=MM-YYYY, form=2015
2013"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"tade 33). 2015 2013"	"2011"	""	"Croissance hebdo. ("	"638-642"	"type=YYYY, form=2011"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"non écimés 30 30 20"	"20
10"	""	"10 0 0 1 8 15 22 29"	"709-714"	"type=DD-MM, form=20
10"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"15 22 29 6 13 20 27"	"3
10"	""	"17 24 1 8 15 22 29"	"746-750"	"type=DD-MM, form=3
10"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"17 24 1 8 15 22 29"	"5
12"	""	"19 26 AVRIL MAI JUI"	"770-774"	"type=DD-MM, form=5
12"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"8 15 22 29 5 12 19"	"26
AVRIL"	""	"MAI JUIN JUILLET AO"	"778-786"	"type=DD-MM, form=26
AVRIL"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"29 5 12 19 26 AVRIL"	"MAI"	""	"JUIN JUILLET AOÛT 5"	"787-790"	"type=MM, form=MAI"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"12 19 26 AVRIL MAI"	"JUIN"	""	"JUILLET AOÛT 53 OÏD"	"791-795"	"type=MM, form=JUIN"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"9 26 AVRIL MAI JUIN"	"JUILLET"	""	"AOÛT 53 OÏDIUM Dans"	"796-803"	"type=MM, form=JUILLET"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"IL MAI JUIN JUILLET"	"AOÛT"	""	"53 OÏDIUM Dans les"	"804-808"	"type=MM, form=AOÛT"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"Bulletin n° 119 du"	"28 juillet 2015"	""	"page 2 LE MILDIOU S"	"1984-1999"	"type=DD-MM-YYYY, form=28 juillet 2015"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"Bulletin n° 119 du"	"28 juillet 2015"	""	"page 3 TORDEUSES Co"	"4100-4115"	"type=DD-MM-YYYY, form=28 juillet 2015"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"t enregistré le 1er"	"juillet"	""	". Aucune perforation"	"4346-4353"	"type=MM, form=juillet"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"aptures à partir du"	"16/18 juillet"	""	", le piégeage alimen"	"4468-4481"	"type=DD-MM, form=16/18 juillet"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"papillons piégés le"	"23 juillet"	""	"et 136 le 24 juille"	"4592-4602"	"type=DD-MM, form=23 juillet"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"3 juillet et 136 le"	"24 juillet"	""	". Eudémis : piégeage"	"4613-4623"	"type=DD-MM, form=24 juillet"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"ge les femelles. Le"	"27 juillet"	""	", sur ce site, 30 œu"	"4779-4789"	"type=DD-MM, form=27 juillet"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"tamment sur le mois"	"d'août"	""	". Contrôler les dépô"	"5172-5178"	"type=MM, form=d'août"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"de second vol (fin"	"août"	""	") ou juste avant la"	"5279-5283"	"type=MM, form=août"
"119_BSV_Charentes_2015-07-28_cle88a1b6"	"Bulletin n° 119 du"	"28 juillet 2015"	""	"page 4 Abonnez-vous"	"5661-5676"	"type=DD-MM-YYYY, form=28 juillet 2015"
"13_HORTI_Als_cle02386b"	"N°13 du"	"26 novembre 2015"	""	"N°13 du 26 novembr"	"9-25"	"type=DD-MM-YYYY, form=26 novembre 2015"
"13_HORTI_Als_cle02386b"	"embre 2015 N°13 du"	"26 novembre 2015"	""	"Horticulture La sai"	"35-51"	"type=DD-MM-YYYY, form=26 novembre 2015"
"13_HORTI_Als_cle02386b"	"ce 2 rue de Rome CS"	"30 022"	""	"Schiltigheim 67013S"	"1455-1461"	"type=DD-MM, form=30 022"
"13_HORTI_Als_cle02386b"	"ditions climatiques"	"2015"	""	"n'ont pas favorisé"	"4308-4312"	"type=YYYY, form=2015"
"19bsv_jevi_20181108_cle871314"	"GIQUE DU TERRITOIRE"	"2018"	""	"PAYS DE LA LOIRE AC"	"70-74"	"type=YYYY, form=2018"
"19bsv_jevi_20181108_cle871314"	"GIQUE DU TERRITOIRE"	"2018"	""	"PAYS DE LA LOIRE Pa"	"2417-2421"	"type=YYYY, form=2018"
"19bsv_jevi_20181108_cle871314"	"BSV JEVI - N°19 DU"	"8 NOVEMBRE 2018"	""	"P in Processionnai"	"2465-2480"	"type=DD-MM-YYYY, form=8 NOVEMBRE 2018"
"19bsv_jevi_20181108_cle871314"	"GIQUE DU TERRITOIRE"	"2018"	""	"PAYS DE LA LOIRE Pa"	"4516-4520"	"type=YYYY, form=2018"
"19bsv_jevi_20181108_cle871314"	"BSV JEVI - N°19 DU"	"8 NOVEMBRE 2018"	""	"POTAGER A il Plant"	"4564-4579"	"type=DD-MM-YYYY, form=8 NOVEMBRE 2018"
"19bsv_jevi_20181108_cle871314"	"ée à la fin du mois"	"d'octobre"	""	". Analyse et gestion"	"5931-5940"	"type=MM, form=d'octobre"
"19bsv_jevi_20181108_cle871314"	"GIQUE DU TERRITOIRE"	"2018"	""	"PAYS DE LA LOIRE Pa"	"6345-6349"	"type=YYYY, form=2018"
"19bsv_jevi_20181108_cle871314"	"BSV JEVI - N°19 DU"	"8 NOVEMBRE 2018"	""	"P oireau Réseau d'o"	"6393-6408"	"type=DD-MM-YYYY, form=8 NOVEMBRE 2018"
"19bsv_jevi_20181108_cle871314"	"t été signalées fin"	"octobre"	""	", sur un pot de cibo"	"6636-6643"	"type=MM, form=octobre"
"19bsv_jevi_20181108_cle871314"	"GIQUE DU TERRITOIRE"	"2018"	""	"PAYS DE LA LOIRE Pa"	"7631-7635"	"type=YYYY, form=2018"
"19bsv_jevi_20181108_cle871314"	"BSV JEVI - N°19 DU"	"8 NOVEMBRE 2018"	""	"T omate Tuta absol"	"7679-7694"	"type=DD-MM-YYYY, form=8 NOVEMBRE 2018"
"19bsv_jevi_20181108_cle871314"	"es à la fin du mois"	"d'octobre"	""	"(entre 177 et 204 u"	"8023-8032"	"type=MM, form=d'octobre"
"19bsv_jevi_20181108_cle871314"	"laque jaune engluée"	"mi-juillet"	""	") dans le Douessin."	"8635-8645"	"type=MM, form=mi-juillet"
"19bsv_jevi_20181108_cle871314"	"GIQUE DU TERRITOIRE"	"2018"	""	"PAYS DE LA LOIRE Pa"	"9624-9628"	"type=YYYY, form=2018"
"19bsv_jevi_20181108_cle871314"	"BSV JEVI - N°19 DU"	"8 NOVEMBRE 2018"	""	"D evenez observateu"	"9672-9687"	"type=DD-MM-YYYY, form=8 NOVEMBRE 2018"
"19bsv_jevi_20181108_cle871314"	"53810 CHANGÉ 02 43"	"56 12"	""	"40 - bsv.jevi@polle"	"10292-10297"	"type=DD-MM, form=56 12"
"19bsv_jevi_20181108_cle871314"	"GIQUE DU TERRITOIRE"	"2018"	""	"PAYS DE LA LOIRE Pa"	"10373-10377"	"type=YYYY, form=2018"
"19bsv_jevi_20181108_cle871314"	"7 BSV JEVI N°19 DU"	"8 NOVEMBRE 2018"	""	"P ortail ECOPHYTO J"	"10419-10434"	"type=DD-MM-YYYY, form=8 NOVEMBRE 2018"
"19bsv_jevi_20181108_cle871314"	"GIQUE DU TERRITOIRE"	"2018"	""	"PAYS DE LA LOIRE Ce"	"11192-11196"	"type=YYYY, form=2018"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"N°"	"15 - 28 mai 2015"	""	"Champagne-Ardenne"	"4-20"	"type=DD-MM-YYYY, form=15 - 28 mai 2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"ampagne-Ardenne N°"	"15 - 28 mai 2015"	""	"Champagne-Ardenne A"	"43-59"	"type=DD-MM-YYYY, form=15 - 28 mai 2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"itaire sera réalisé"	"mi-juin"	""	"TOURNESOL page 6 3"	"499-506"	"type=MM, form=mi-juin"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"réalisées du 25 au"	"27 mai 2015"	""	"(parcelles agricult"	"1488-1499"	"type=DD-MM-YYYY, form=27 mai 2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"9 à 10 feuilles, au"	"27 mai"	""	". L'état de couvertu"	"2216-2222"	"type=DD-MM, form=27 mai"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"semis antérieurs au"	"16 mars"	""	", ainsi que les parc"	"2363-2370"	"type=DD-MM, form=16 mars"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"100%"	"90%
  
  
    12%"	""	"21%"	"8806-8823"	"type=DD-MM, form=90%
  
  
    12%"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"25%"	"36%
  
  
    10%"	""	"23%"	"9177-9194"	"type=DD-MM, form=36%
  
  
    10%"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"ontaminantes de fin"	"avril"	""	"/début mai ont comme"	"11700-11705"	"type=MM, form=avril"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"de fin avril/début"	"mai"	""	"ont commencé à sort"	"11712-11715"	"type=MM, form=mai"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"que déjà observé en"	"2011"	""	"et 2013. L'explicat"	"12357-12361"	"type=YYYY, form=2011"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"observé en 2011 et"	"2013"	""	". L'explication prin"	"12365-12369"	"type=YYYY, form=2013"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"15%"	"13%
  
  
    11%"	""	"10%"	"17769-17786"	"type=DD-MM, form=13%
  
  
    11%"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"ges de printemps au"	"27 mai 2015"	""	"MALADIES Situation"	"18018-18029"	"type=DD-MM-YYYY, form=27 mai 2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"feuilles (semée le"	"13 avril"	""	"à ORMES (10)) 3 par"	"19378-19386"	"type=DD-MM, form=13 avril"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"s entre le 10 et le"	"15 avril"	""	"dans l'Aube et les"	"19452-19460"	"type=DD-MM, form=15 avril"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"té entre le 9 et le"	"13 avril"	""	") 7 parcelles à 5 fe"	"19557-19565"	"type=DD-MM, form=13 avril"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"s entre le 13 et le"	"16 avril"	""	") 6 parcelles à 4 fe"	"19618-19626"	"type=DD-MM, form=16 avril"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"s entre le 15 et le"	"27 avril"	""	") 1 parcelle à 3 feu"	"19679-19687"	"type=DD-MM, form=27 avril"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"feuilles (semée le"	"23 avril"	""	") Le stade moyen des"	"19723-19731"	"type=DD-MM, form=23 avril"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"uille de plus qu'en"	"2014"	""	"à la même date. Puc"	"19869-19873"	"type=YYYY, form=2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"feuilles, semis du"	"16 avril"	""	". 18 observateurs no"	"20082-20090"	"type=DD-MM, form=16 avril"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"se 10 depuis le 1er"	"janvier"	""	"constitue un bon in"	"21004-21011"	"type=MM, form=janvier"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"se 10 depuis le 1er"	"janvier 2015"	""	"pour 4 stations mét"	"21258-21270"	"type=MM-YYYY, form=janvier 2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"es permet de situer"	"2015"	""	"ligne rouge par rap"	"21348-21352"	"type=YYYY, form=2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"rouge par rapport à"	"2014"	""	"et aux années stati"	"21379-21383"	"type=YYYY, form=2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"positionner l'année"	"2015"	""	". 15"	"21478-21482"	"type=YYYY, form=2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"0 Médiane"	"1985 - 2014"	""	"500"	"21674-21685"	"type=YYYY, form=1985 - 2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"0 Médiane"	"1985 - 2014"	""	"Décile 2"	"21718-21729"	"type=YYYY, form=1985 - 2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"400"	"2014"	""	"400"	"21858-21862"	"type=YYYY, form=2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"400"	"2014"	""	"350"	"21887-21891"	"type=YYYY, form=2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"350"	"2015"	""	"350"	"21916-21920"	"type=YYYY, form=2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"350"	"2015"	""	"300"	"21945-21949"	"type=YYYY, form=2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"0"	"0
  
  
    1083"	""	"MATHAUX"	"22138-22154"	"type=DD-MM, form=0
  
  
    1083"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"0 Médiane"	"1985 - 2014"	""	"550"	"22273-22284"	"type=YYYY, form=1985 - 2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"0 Médiane"	"1985 - 2014"	""	"Décile 2"	"22345-22356"	"type=YYYY, form=1985 - 2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"400"	"2014"	""	"400"	"22485-22489"	"type=YYYY, form=2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"400"	"2014"	""	"350"	"22514-22518"	"type=YYYY, form=2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"350"	"2015"	""	"350"	"22543-22547"	"type=YYYY, form=2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"350"	"2015"	""	"300"	"22572-22576"	"type=YYYY, form=2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"ides sur la période"	"1985-2014"	""	", le décile 8 corres"	"22912-22921"	"type=YYYY, form=1985-2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"0 semaine"	"21
  
  
    11"	""	"68 9"	"25141-25156"	"type=DD-MM, form=21
  
  
    11"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"200"	"2012"	""	"150"	"30254-30258"	"type=YYYY, form=2012"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"150"	"2013
  
  
    2014"	""	"100"	"30283-30302"	"type=MM-YYYY, form=2013
  
  
    2014"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"2014"	"100
  
  
    2015"	""	"50"	"30313-30331"	"type=MM-YYYY, form=100
  
  
    2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"rons Pomme de terre"	"2015"	""	"Myzus"	"30673-30677"	"type=YYYY, form=2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"Aphis fabae"	"04-05
06-05"	""	"08-05 10-05 12-05 1"	"30737-30748"	"type=DD-MM, form=04-05
06-05"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"bae 04-05 06-05"	"08-05
10-05"	""	"12-05 14-05 16-05 1"	"30749-30760"	"type=DD-MM, form=08-05
10-05"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"5 06-05 08-05 10-05"	"12-05
14-05"	""	"16-05 18-05 20-05 2"	"30761-30772"	"type=DD-MM, form=12-05
14-05"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"5 10-05 12-05 14-05"	"16-05
18-05"	""	"20-05 22-05 24-05 2"	"30773-30784"	"type=DD-MM, form=16-05
18-05"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"5 14-05 16-05 18-05"	"20-05
22-05"	""	"24-05 26-05 28-05 3"	"30785-30796"	"type=DD-MM, form=20-05
22-05"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"5 18-05 20-05 22-05"	"24-05
26-05"	""	"28-05 30-05 AUTRES"	"30797-30808"	"type=DD-MM, form=24-05
26-05"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"5 22-05 24-05 26-05"	"28-05
30-05"	""	"AUTRES RAVAGEURS :"	"30809-30820"	"type=DD-MM, form=28-05
30-05"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"épidémiologique au"	"28 mai 2015"	""	": En début de campa"	"31660-31671"	"type=DD-MM-YYYY, form=28 mai 2015"
"2015-05-28_BSV_Grandes_Cultures_01_cle8ba414"	"nt du plan ECOPHYTO"	"2018"	""	". 24"	"35873-35877"	"type=YYYY, form=2018"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"emaine BSV n°30-20."	"13 juillet 2016"	""	"Sur maïs Les parcel"	"41-56"	"type=DD-MM-YYYY, form=13 juillet 2016"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"ols est similaire à"	"2014"	""	"et 2015. CEREALES"	"554-558"	"type=YYYY, form=2014"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"similaire à 2014 et"	"2015"	""	". CEREALES . BSV n°"	"562-566"	"type=YYYY, form=2015"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"ALES . BSV n°30-20."	"13 juillet 2016"	""	"Observations de la"	"593-608"	"type=DD-MM-YYYY, form=13 juillet 2016"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"hain BSV : mercredi"	"20 juillet"	""	". Stades des parcell"	"801-811"	"type=DD-MM, form=20 juillet"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"ALES . BSV n°30-20."	"13 juillet 2016"	""	"Sur les 18 parcelle"	"1568-1583"	"type=DD-MM-YYYY, form=13 juillet 2016"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"ALES . BSV n°30-20."	"13 juillet 2016"	""	"Maïs : bien repérer"	"3382-3397"	"type=DD-MM-YYYY, form=13 juillet 2016"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"ALES . BSV n°30-20."	"13 juillet 2016"	""	"Zoom sur la mouche"	"5243-5258"	"type=DD-MM-YYYY, form=13 juillet 2016"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"s réalisés entre le"	"20 avril"	""	"et les premiers jou"	"5733-5741"	"type=DD-MM, form=20 avril"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"s premiers jours de"	"mai"	""	"qui présentent le p"	"5767-5770"	"type=MM, form=mai"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"e (entre le 5 et le"	"10 mai"	""	"), au moment de la b"	"5883-5889"	"type=DD-MM, form=10 mai"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"ud-Est de l'Orne le"	"02/06/"	""	"2016 Premier symptôm"	"6993-6999"	"type=MM-YYYY, form=02/06/"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"de l'Orne le 02/06/"	"2016"	""	"Premier symptôme :"	"6999-7003"	"type=YYYY, form=2016"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"ALES . BSV n°30-20."	"13 juillet 2016"	""	"Seuils de nuisibili"	"7814-7829"	"type=DD-MM-YYYY, form=13 juillet 2016"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"ALES . BSV n°30-20."	"13 juillet 2016"	""	"Cécidomyies orange"	"10846-10861"	"type=DD-MM-YYYY, form=13 juillet 2016"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"ALES . BSV n°30-20."	"13 juillet 2016"	""	"Seuils de nuisibili"	"12149-12164"	"type=DD-MM-YYYY, form=13 juillet 2016"
