"bsv"	"context before"	"deseases"	"context after"	"location"	"features"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"de foyers actifs de"	"rouille"	"jaune (pustules pul"	"9154-9161"	"type=DESEASE, form=rouille"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"emières pustules de"	"rouille"	"jaune dans la parce"	"9298-9305"	"type=DESEASE, form=rouille"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"s. 20 brins maîtres"	"Rouille"	"brune A partir du s"	"10312-10319"	"type=DESEASE, form=Rouille"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"tion de pustules de"	"rouille"	"brune sur l'une des"	"10413-10420"	"type=DESEASE, form=rouille"
"20160718-BSV_30_20_Cereales_Normandie_cle095921"	"stimer le risque de"	"fusarioses"	"des épis Ce bulleti"	"11766-11776"	"type=DESEASE, form=fusarioses"
"2017_BSV_manche_10_sem21_cle8d2aee"	"Poireau : quelques"	"thrips"	"observés sur Créanc"	"619-625"	"type=DESEASE, form=thrips"
"2017_BSV_manche_10_sem21_cle8d2aee"	"emières pustules de"	"rouille"	"à Créances.Oignon :"	"695-702"	"type=DESEASE, form=rouille"
"2017_BSV_manche_10_sem21_cle8d2aee"	"nts 3 à 7 feuilles-"	"Thrips"	": Observations :- Z"	"2145-2151"	"type=DESEASE, form=Thrips"
"2017_BSV_manche_10_sem21_cle8d2aee"	"es : la présence de"	"thrips"	"est en augmentation"	"2204-2210"	"type=DESEASE, form=thrips"
"2017_BSV_manche_10_sem21_cle8d2aee"	"Nb moyen de"	"thrips"	"/piège/jour"	"2642-2648"	"type=DESEASE, form=thrips"
"2017_BSV_manche_10_sem21_cle8d2aee"	"e suivi des vols de"	"thrips"	"est réalisé à l'aid"	"2932-2938"	"type=DESEASE, form=thrips"
"2017_BSV_manche_10_sem21_cle8d2aee"	"bleus. Modélisation"	"Thrips"	"CTIFL/SILEBAN sur p"	"3003-3009"	"type=DESEASE, form=Thrips"
"2017_BSV_manche_10_sem21_cle8d2aee"	"très favorables aux"	"thrips"	". Le risque d'instal"	"3533-3539"	"type=DESEASE, form=thrips"
"2017_BSV_manche_10_sem21_cle8d2aee"	"aines observations."	"Rouille"	": L'humidité de ces"	"5373-5380"	"type=DESEASE, form=Rouille"
"2017_BSV_manche_10_sem21_cle8d2aee"	"le développement de"	"rouille"	". Cette maladie a ét"	"5445-5452"	"type=DESEASE, form=rouille"
"2017_BSV_manche_10_sem21_cle8d2aee"	"arcelles observées."	"Thrips"	": Aucun individu n'"	"6026-6032"	"type=DESEASE, form=Thrips"
"2017_BSV_manche_10_sem21_cle8d2aee"	"é : Sur oignon, les"	"thrips"	"sont souvent peu pr"	"6126-6132"	"type=DESEASE, form=thrips"
"2017_BSV_manche_33_sem44_cle8f1de5"	"sissement à récolte"	"Thrips"	": Observations : La"	"1138-1144"	"type=DESEASE, form=Thrips"
"2017_BSV_manche_33_sem44_cle8f1de5"	"é l'observation des"	"thrips"	"dans les futs. Cepe"	"1204-1210"	"type=DESEASE, form=thrips"
"2017_BSV_manche_33_sem44_cle8f1de5"	"reste favorable aux"	"thrips"	"dans les parcelles"	"1400-1406"	"type=DESEASE, form=thrips"
"2017_BSV_manche_33_sem44_cle8f1de5"	"du 31 octobre 2017"	"Rouille"	": Cette maladie aug"	"1548-1555"	"type=DESEASE, form=Rouille"
"2017_BSV_manche_33_sem44_cle8f1de5"	"suivre. Pustules de"	"rouille"	"Alternaria : La pré"	"2243-2250"	"type=DESEASE, form=rouille"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"t au stade épi 1 cm."	"Piétin"	"verse : Risque faib"	"239-245"	"type=DESEASE, form=Piétin"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"age BSV n°06 P.2 2"	"Piétin"	"Verse La grille de"	"1788-1794"	"type=DESEASE, form=Piétin"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"on Des symptômes de"	"piétin"	"verse sont signalés"	"2031-2037"	"type=DESEASE, form=piétin"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"sque agronomique du"	"piétin"	"verse permettant d'"	"2475-2481"	"type=DESEASE, form=piétin"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"ssous. Une tache de"	"piétin"	"verse est comptée l"	"3127-3133"	"type=DESEASE, form=piétin"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"isibilité finale. 4"	"Oïdium"	"a. Observations Des"	"4132-4138"	"type=DESEASE, form=Oïdium"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"tions Des symptômes"	"d'oïdium"	"sont signalés dans"	"4169-4177"	"type=DESEASE, form=d'oïdium"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"peu d'évolution de"	"l'oïdium"	"par rapport à la se"	"4688-4696"	"type=DESEASE, form=l'oïdium"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"a semaine passée. 5"	"Rouille"	"jaune et brune Il y"	"4732-4739"	"type=DESEASE, form=Rouille"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"a un signalement de"	"rouille"	"brune sur la F3 act"	"4780-4787"	"type=DESEASE, form=rouille"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"ucun signalement de"	"rouille"	"jaune. BSV n°06 P.5"	"4894-4901"	"type=DESEASE, form=rouille"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"minimum à 14 mm. 2"	"Rhynchosporiose"	"a. Observations Eta"	"5238-5253"	"type=DESEASE, form=Rhynchosporiose"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"ver vis-à-vis de la"	"rhynchosporiose"	"tous stades confond"	"5319-5334"	"type=DESEASE, form=rhynchosporiose"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"es Des symptômes de"	"rhynchosporiose"	"sont signalés sur l"	"5542-5557"	"type=DESEASE, form=rhynchosporiose"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"ils de risque de la"	"rhynchosporiose"	"s'appliquent du sta"	"5713-5728"	"type=DESEASE, form=rhynchosporiose"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"et ligule. Photo :"	"Rhynchosporiose"	"sur feuille(Source"	"6294-6309"	"type=DESEASE, form=Rhynchosporiose"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"r l'évolution de la"	"rhynchosporiose"	". 3 Autres maladies"	"6428-6443"	"type=DESEASE, form=rhynchosporiose"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"nt des symptômes de"	"rouille"	"naine sur F3 à de f"	"6513-6520"	"type=DESEASE, form=rouille"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"gnale des symptômes"	"d'oïdium"	"sur la F3 actuelle"	"6594-6602"	"type=DESEASE, form=d'oïdium"
"20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5"	"alent des symptômes"	"d'helminthosporiose"	"sur la F3 actuelle"	"6697-6716"	"type=DESEASE, form=d'helminthosporiose"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"mènes de résistance."	"OÏDIUM"	": La résistance aux"	"1466-1472"	"type=DESEASE, form=OÏDIUM"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"rées comme des anti-"	"oïdiums"	"efficaces dans la m"	"1700-1707"	"type=DESEASE, form=oïdiums"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	", alors que pour l'"	"oïdium"	"et la septoriose, c"	"3197-3203"	"type=DESEASE, form=oïdium"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"ou folpel) Sur blé,"	"l'oïdium"	"est majoritairement"	"5635-5643"	"type=DESEASE, form=l'oïdium"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"é des triazoles sur"	"piétin"	"verse reste limitée"	"6687-6693"	"type=DESEASE, form=piétin"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"odinil si le risque"	"piétin"	"est élevé.- dans le"	"9097-9103"	"type=DESEASE, form=piétin"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"ions à risque mixte"	"piétin"	"-verse / septoriose,"	"9151-9157"	"type=DESEASE, form=piétin"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"t être renforcé sur"	"piétin"	"-verse avec l'époxic"	"9216-9222"	"type=DESEASE, form=piétin"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"efficacité locaux."	"OÏDIUM"	"ETAT DE LA RESISTAN"	"9387-9393"	"type=DESEASE, form=OÏDIUM"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"rement élevées chez"	"l'oïdium"	"du blé. Seules les"	"9630-9638"	"type=DESEASE, form=l'oïdium"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"concerne également"	"l'oïdium"	"de l'orge B. gramin"	"9802-9810"	"type=DESEASE, form=l'oïdium"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"s fongicides "" anti-"	"oïdium"	""" 3 Des souches ré"	"11509-11515"	"type=DESEASE, form=oïdium"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"e. Son activité sur"	"oïdium"	"du blé et de l'orge"	"11743-11749"	"type=DESEASE, form=oïdium"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"i-site autorisé sur"	"l'oïdium"	", n'est pas concerné"	"11882-11890"	"type=DESEASE, form=l'oïdium"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"rées comme des anti-"	"oïdiums"	"efficaces. En cas d"	"12285-12292"	"type=DESEASE, form=oïdiums"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"s. En cas de risque"	"oïdium"	"avéré, utiliser d'a"	"12321-12327"	"type=DESEASE, form=oïdium"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"autre classe d'anti-"	"oïdium"	"("" amines "", triazo"	"12741-12747"	"type=DESEASE, form=oïdium"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"sont à préférer sur"	"oïdium"	"déclaré. SEPTORIOSE"	"12931-12937"	"type=DESEASE, form=oïdium"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"ou en association."	"HELMINTHOSPORIOSE"	"DE L'ORGE Comme pou"	"16055-16072"	"type=DESEASE, form=HELMINTHOSPORIOSE"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"ente de celle de l'"	"oïdium"	"et de S. tritici. E"	"16680-16686"	"type=DESEASE, form=oïdium"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"ur lutter contre l'"	"helminthosporiose"	"de l' orge. De mani"	"17153-17170"	"type=DESEASE, form=helminthosporiose"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"pour lutter contre"	"l'helminthosporiose"	"de l'orge, en parti"	"17252-17271"	"type=DESEASE, form=l'helminthosporiose"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"ression d'H. teres."	"HELMINTHOSPORIOSE"	"DU BLE À ce jour au"	"17454-17471"	"type=DESEASE, form=HELMINTHOSPORIOSE"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"e, propiconazole )."	"ROUILLES"	"Aucune dérive de l'"	"17977-17985"	"type=DESEASE, form=ROUILLES"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"'a été observée sur"	"rouille"	"brune et rouille ja"	"18037-18044"	"type=DESEASE, form=rouille"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"ur rouille brune et"	"rouille"	"jaune du blé, ni su"	"18054-18061"	"type=DESEASE, form=rouille"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"aune du blé, ni sur"	"rouille"	"naine de l'orge ave"	"18083-18090"	"type=DESEASE, form=rouille"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"ur utilisation. Les"	"rouilles"	"semblent moins préd"	"18233-18241"	"type=DESEASE, form=rouilles"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"ille de fongicides."	"RHYNCHOSPORIOSE"	"Vis-à-vis de R. sec"	"18354-18369"	"type=DESEASE, form=RHYNCHOSPORIOSE"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"es pays. Comme pour"	"l'helminthosporiose"	"une vigilance est d"	"18575-18594"	"type=DESEASE, form=l'helminthosporiose"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"ement efficaces sur"	"rhynchosporiose"	"). L' alternance des"	"18898-18913"	"type=DESEASE, form=rhynchosporiose"
"55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116"	"mmandée. 5 TABLEAU"	"1 - Piétin"	"verse : activité de"	"18984-18994"	"type=DESEASE, form=1 - Piétin"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"'HIVERStade : épi 1"	"cmPiétin"	"verse : Pas d'évolu"	"302-310"	"type=DESEASE, form=cmPiétin"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"sence de l'inoculum"	"Rouille"	"jaune : vigilance à"	"493-500"	"type=DESEASE, form=Rouille"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"lage. BSV 05 P.2 2"	"Piétin"	"verse a. Observatio"	"2308-2314"	"type=DESEASE, form=Piétin"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"sion parcellaire en"	"piétin"	"verse dans le BSV n"	"2592-2598"	"type=DESEASE, form=piétin"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"Ne pas confondre le"	"piétin"	"verse avec le rhizo"	"2666-2672"	"type=DESEASE, form=piétin"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"iétin verse avec le"	"rhizoctone"	"et la fusariose du"	"2687-2697"	"type=DESEASE, form=rhizoctone"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"le rhizoctone et la"	"fusariose"	"du pied Cette semai"	"2704-2713"	"type=DESEASE, form=fusariose"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"iser dans la grille"	"piétin"	"verse (voir BSV n°4"	"3301-3307"	"type=DESEASE, form=piétin"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"référer à la grille"	"piétin"	"verse) BSV 05 P.3"	"3802-3808"	"type=DESEASE, form=piétin"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"son développement."	"Rouille"	"jaune : Malgré le r"	"4380-4387"	"type=DESEASE, form=Rouille"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"utefois à maintenir"	"Oïdium"	"et rouille brune :"	"4561-4567"	"type=DESEASE, form=Oïdium"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"maintenir Oïdium et"	"rouille"	"brune : bon état sa"	"4571-4578"	"type=DESEASE, form=rouille"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"le à reconnaitre La"	"rhynchosporiose"	"est la première mal"	"4925-4940"	"type=DESEASE, form=rhynchosporiose"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"1 cm (à l'instar du"	"piétin"	"verse pour le blé)."	"5039-5045"	"type=DESEASE, form=piétin"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"ntent des taches de"	"rhynchosporiose"	"sur les vieilles fe"	"5189-5204"	"type=DESEASE, form=rhynchosporiose"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"ques typiques de la"	"rhynchosporiose"	"(centre blanc entou"	"5516-5531"	"type=DESEASE, form=rhynchosporiose"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"s de l'orge d'hiver"	"Helminthosporiose"	"et oïdium : bon éta"	"5613-5630"	"type=DESEASE, form=Helminthosporiose"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"elminthosporiose et"	"oïdium"	": bon état sanitair"	"5634-5640"	"type=DESEASE, form=oïdium"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"présence faible de"	"l'helminthosporiose"	"sur 2 parcelles, l'"	"5707-5726"	"type=DESEASE, form=l'helminthosporiose"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"um est peu présent."	"Rouille"	"naine : attention p"	"5772-5779"	"type=DESEASE, form=Rouille"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"te des symptômes de"	"rouille"	"naine généralisés s"	"5924-5931"	"type=DESEASE, form=rouille"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"mblent à ceux de la"	"rouille"	"brune de l'orge. La"	"6011-6018"	"type=DESEASE, form=rouille"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"ois, les conditions"	"froides"	"et venteuses de ce"	"9175-9182"	"type=DESEASE, form=froides"
"BSV05_GC_LOR_S13_2020_cle4419d7"	"lgré les conditions"	"froides"	"et venteuses. Photo"	"9747-9754"	"type=DESEASE, form=froides"
"BSV_17-VF_cle81c713"	"ient apparaître. 5."	"Oïdium"	"a. Observations La"	"10089-10095"	"type=DESEASE, form=Oïdium"
"BSV_5_VF_cle84611d"	"Pommes - Poires 1."	"Oïdium"	"( Podosphaera leuco"	"13835-13841"	"type=DESEASE, form=Oïdium"
"BSV_AF_n34_du_16072019_cle0a1d81"	"Pathologies"	"Oïdium"	": fin de cycle de l"	"616-622"	"type=DESEASE, form=Oïdium"
"BSV_AF_n34_du_16072019_cle0a1d81"	"-FRANCE Pathologies"	"Oïdium"	"FREDON NPdC Etat de"	"21862-21868"	"type=DESEASE, form=Oïdium"
"BSV_AF_n34_du_16072019_cle0a1d81"	"ions sur pousse par"	"l'Oïdium"	"8-juil. 15-juil. Te"	"22111-22119"	"type=DESEASE, form=l'Oïdium"
"BSV_AF_n34_du_16072019_cle0a1d81"	"ts 0 0 1 4 Tendance"	"Oïdium"	"0 0 0 0 Tendance Ca"	"30527-30533"	"type=DESEASE, form=Oïdium"
"BSV_ARBO_2017_35_cle4d79ba"	"aolinite calcinée)."	"ROUILLE"	"GRILLAGEE DU POIRIE"	"7819-7826"	"type=DESEASE, form=ROUILLE"
"BSV_ARBO_2017_35_cle4d79ba"	"ers symptômes de la"	"rouille"	"grillagée du poirie"	"7887-7894"	"type=DESEASE, form=rouille"
"BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no15_du_17-06-2020_cle0d4baf"	"r les trois régions"	"Oïdium"	": accalmie des cont"	"300-306"	"type=DESEASE, form=Oïdium"
"BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no15_du_17-06-2020_cle0d4baf"	"°15 du 17 juin 2020"	"Oïdium"	"On observe très peu"	"2614-2620"	"type=DESEASE, form=Oïdium"
"BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no15_du_17-06-2020_cle0d4baf"	"les contaminations."	"L'oïdium"	"n'aime pas les fort"	"2670-2678"	"type=DESEASE, form=L'oïdium"
