"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2017_BSV_manche_10_sem21_cle8d2aee.html"	"html"	"3449"	"P."	". Nuisibilité : Sur"	"oignon, les thrips"	"oignon , le thrips"	""	"sont souvent peu pr"	"6114-6132"	"type=N_PUN_N, match=fcu, form=oignon, les thrips"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2017_BSV_manche_10_sem21_cle8d2aee.html"	"html"	"3449"	"P."	"mildiou débute pour"	"les bulbilles et les oignons de semis"	"le bulbille et le oignon de semis"	""	"précoces.3ème génér"	"7113-7150"	"type=N_KON_N, match=fcu, form=les bulbilles et les oignons de semis"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2017_BSV_manche_10_sem21_cle8d2aee.html"	"html"	"3449"	"P."	"gumes racines comme"	"le navet et le radis"	"le navet et le radis"	""	"sont sensibles aux"	"12524-12544"	"type=N_KON_N, match=fcu, form=le navet et le radis"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2017_BSV_manche_10_sem21_cle8d2aee.html"	"html"	"3449"	"P."	"a plantation.Céleri"	"branche et persil"	"branche et persil"	""	": 10% de plants ave"	"16635-16652"	"type=N_KON_N, match=fcu, form=branche et persil"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2017_BSV_manche_33_sem44_cle8f1de5.html"	"html"	"1304"	"P."	"es dernières séries."	"Carotte, céleri, persil"	"carotte , céleri , persil"	""	": le troisième vol"	"517-540"	"type=N_PUN_N, match=fcu, form=Carotte, céleri, persil"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2017_BSV_manche_33_sem44_cle8f1de5.html"	"html"	"1304"	"P."	"nts sensibles comme"	"la laitue, le céleri"	"le laitue , le céleri"	""	"-rave, la phacélie."	"4255-4275"	"type=N_PUN_N, match=fcu, form=la laitue, le céleri"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2017_BSV_manche_33_sem44_cle8f1de5.html"	"html"	"1304"	"P."	"a laitue, le céleri-"	"rave, la phacélie"	"rave , le phacélie"	""	". CAROTTE - CELERI -"	"4276-4293"	"type=N_PUN_N, match=fcu, form=rave, la phacélie"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5.html"	"html"	"3441"	"P."	"celle en prenant en"	"compte, le stade, la vigueur du colza"	"compte , le stade , le vigueur du colza"	""	"ainsi que le niveau"	"15499-15536"	"type=N_PUN_N, match=fcu, form=compte, le stade, la vigueur du colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116.html"	"html"	"3443"	"P."	"famille donnée. Sur"	"blé, la généralisation de la résistance"	"blé , le généralisation de le résistance"	""	"aux strobilurines c"	"5285-5324"	"type=N_PUN_N, match=fcu, form=blé, la généralisation de la résistance"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116.html"	"html"	"3443"	"P."	"zèbe ou folpel) Sur"	"blé, l'oïdium"	"blé , l'oïdium"	""	"est majoritairement"	"5630-5643"	"type=N_PUN_N, match=fcu, form=blé, l'oïdium"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116.html"	"html"	"3443"	"P."	"de strobilurine sur"	"orge et escourgeon"	"orge et escourgeon"	""	"sauf en situation d"	"6034-6052"	"type=N_KON_N, match=fcu, form=orge et escourgeon"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV05_GC_LOR_S13_2020_cle4419d7.html"	"html"	"2727"	"P."	"des plantes sont en"	"fleurs, la réglementation"	"fleur , le réglementation"	""	""" abeille "" s'appli"	"10540-10565"	"type=N_PUN_N, match=fcu, form=fleurs, la réglementation"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV05_GC_LOR_S13_2020_cle4419d7.html"	"html"	"2727"	"P."	"et à l'avancée des"	"stades du colza, l'observation de l'accumulation"	"stade du colza , l'observation de l'accumulation"	""	"des dégâts sur bout"	"10836-10884"	"type=N_PUN_N, match=fcu, form=stades du colza, l'observation de l'accumulation"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"html"	"2971"	"H1."	"Numéro 04 Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre Données : J"	"92-107"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"html"	"2971"	"P. SMALL."	"s filières majeures"	"banane et canne"	"banane et canne"	""	"-à-sucre. Nous vous"	"572-587"	"type=N_KON_N, match=fcu, form=banane et canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"html"	"2971"	"FOOTER."	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"3536-3551"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"html"	"2971"	"FOOTER."	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"7004-7019"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"html"	"2971"	"FOOTER."	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"9517-9532"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"html"	"2971"	"FOOTER."	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"11614-11629"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"html"	"2971"	"FOOTER."	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"14659-14674"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"html"	"2971"	"FOOTER."	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"17704-17719"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_CulturesVivrieres-Bilan2018_cle81e161.html"	"html"	"1282"	"DIV."	"n 8 mois et 4 mois."	"Les ignames et patates"	"le igname et patate"	""	"douces sont plantée"	"3813-3835"	"type=N_KON_N, match=fcu, form=Les ignames et patates"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_5_VF_cle84611d.html"	"html"	"3497"	"FIGURE. FIGCAPTION."	"en mirabelle, F en"	"poire et E2"	"poire et E2"	""	"en pomme. Photos M."	"2052-2063"	"type=N_KON_N, match=fcu, form=poire et E2"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_5_VF_cle84611d.html"	"html"	"3497"	"P."	"otamment les jeunes"	"plantations et les vergers"	"plantation et le verger"	""	"ayant été infestés"	"6493-6519"	"type=N_KON_N, match=fcu, form=plantations et les vergers"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_5_VF_cle84611d.html"	"html"	"3497"	"H1."	"erger. BSV n°5 P.6"	"Prunes et Cerises"	"prune et cerise"	""	"1. Monilia fleur Le"	"11262-11279"	"type=N_KON_N, match=fcu, form=Prunes et Cerises"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_5_VF_cle84611d.html"	"html"	"3497"	"P."	"ute l'année sur son"	"hôte, le pommier"	"hôte , le pommier"	""	". Les femelles aptèr"	"15222-15238"	"type=N_PUN_N, match=fcu, form=hôte, le pommier"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_AF_5_15_mars_2019_cle452e6e.html"	"html"	"2071"	"P. SMALL."	"cardie des filières"	"pommes et poires"	"pomme et poire"	""	": François Hanquart"	"11127-11143"	"type=N_KON_N, match=fcu, form=pommes et poires"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_AF_n19_du_11052017-1_cle84e61b.html"	"html"	"3512"	"P. SMALL."	"cardie des filières"	"pommes et poires"	"pomme et poire"	""	": François Hanquart"	"15763-15779"	"type=N_KON_N, match=fcu, form=pommes et poires"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_AF_n30_du_25052018_cle0ca846.html"	"html"	"1410"	"P. SMALL."	"cardie des filières"	"pommes et poires"	"pomme et poire"	""	": François Hanquart"	"3008-3024"	"type=N_KON_N, match=fcu, form=pommes et poires"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_AF_n34_du_16072019_cle0a1d81.html"	"html"	"6851"	"P. SMALL."	"cardie des filières"	"pommes et poires"	"pomme et poire"	""	": François Hanquart"	"32858-32874"	"type=N_KON_N, match=fcu, form=pommes et poires"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_ARBO_2017_35_cle4d79ba.html"	"html"	"1837"	"P. SMALL."	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"arboriculture , maraîchage , pépinière"	""	"horticulture, JEVI"	"10015-10051"	"type=N_PUN_N, match=fcu, form=arboriculture, maraîchage, pépinière"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_ARBO_2018_11_cle44752f.html"	"html"	"648"	"P. SMALL."	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"arboriculture , maraîchage , pépinière"	""	"horticulture, zones"	"2932-2968"	"type=N_PUN_N, match=fcu, form=arboriculture, maraîchage, pépinière"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_ARBO_2018_11_cle44752f.html"	"html"	"648"	"P. SMALL."	"raîchage, pépinière"	"horticulture, zones"	"horticulture , zone"	""	"non agricoles. Le B"	"2969-2988"	"type=N_PUN_N, match=fcu, form=horticulture, zones"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no15_du_17-06-2020_cle0d4baf.html"	"html"	"2410"	"P."	"s organes atteints ("	"fleurs, pousses"	"fleur , pousse"	""	", ) se nécrosent et"	"4812-4827"	"type=N_PUN_N, match=fcu, form=fleurs, pousses"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no15_du_17-06-2020_cle0d4baf.html"	"html"	"2410"	"P."	"préjudiciable pour"	"les pommes et les poires de table"	"le pomme et le poire de table"	""	". Carpocapse Le vol"	"7532-7565"	"type=N_KON_N, match=fcu, form=les pommes et les poires de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no_17_du_26-06-2018_cle861251.html"	"html"	"2028"	"P."	"s organes atteints ("	"fleurs, pousses"	"fleur , pousse"	""	", ) se nécrosent et"	"4271-4286"	"type=N_PUN_N, match=fcu, form=fleurs, pousses"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"FIGURE. FIGCAPTION."	"cher Monilioses sur"	"fleurs et rameaux"	"fleur et rameau"	""	"p. 5 1 à 2 sur abri"	"2539-2556"	"type=N_KON_N, match=fcu, form=fleurs et rameaux"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"FIGURE. FIGCAPTION."	"rt à 2017 Moniliose"	"fleurs et rameaux"	"fleur et rameau"	""	"p. 16 0 à 1 Maladie"	"4181-4198"	"type=N_KON_N, match=fcu, form=fleurs et rameaux"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"H4."	"s parcelles saines."	"MONILIOSES DES FLEURS ET RAMEAUX"	"moniliose du fleur et rameau"	""	"La période de flora"	"8169-8201"	"type=N_KON_N, match=fcu, form=MONILIOSES DES FLEURS ET RAMEAUX"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"FIGURE. FIGCAPTION."	"les monilioses sur"	"fleurs et rameaux"	"fleur et rameau"	""	"- Pêcher Nombre de"	"8962-8979"	"type=N_KON_N, match=fcu, form=fleurs et rameaux"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"FIGURE. FIGCAPTION."	"les monilioses sur"	"fleurs et rameaux"	"fleur et rameau"	""	"- Abricotier"	"9058-9075"	"type=N_KON_N, match=fcu, form=fleurs et rameaux"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"P."	"but juillet sur des"	"abricots et pêches"	"abricot et pêche"	""	"restant sur les arb"	"15294-15312"	"type=N_KON_N, match=fcu, form=abricots et pêches"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"P."	"problématiques sur"	"pêches, abricots"	"pêche , abricot"	""	"et prunes cette ann"	"15717-15733"	"type=N_PUN_N, match=fcu, form=pêches, abricots"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"P."	"Vallée du Rhône sur"	"abricots et pêches"	"abricot et pêche"	""	"(chenilles visibles"	"17021-17039"	"type=N_KON_N, match=fcu, form=abricots et pêches"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"P."	"ois de juin sur des"	"pêchers et abricotiers"	"pêcher et abricotier"	""	"conduits en Agricul"	"17339-17361"	"type=N_KON_N, match=fcu, form=pêchers et abricotiers"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"P."	"ont été réalisés en"	"environnement de pépinière et vergers"	"environnement de pépinière et verger"	""	"donneurs de greffon"	"19249-19286"	"type=N_KON_N, match=fcu, form=environnement de pépinière et vergers"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"P."	"(principalement sur"	"prunier et abricotier"	"prunier et abricotier"	""	") peut dans certaine"	"24688-24709"	"type=N_KON_N, match=fcu, form=prunier et abricotier"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"P."	"é des symptômes sur"	"fleurs et rameaux au sein"	"fleur et rameau au sein"	""	"du réseau, ils sont"	"37958-37983"	"type=N_KON_N, match=fcu, form=fleurs et rameaux au sein"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"P."	"ectre de végétaux :"	"vignes, oliviers, arbres"	"vigne , olivier , arbre"	""	"fruitiers (Prunus),"	"46463-46487"	"type=N_PUN_N, match=fcu, form=vignes, oliviers, arbres"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"P."	"fruitiers (Prunus),"	"agrumes, caféiers, chênes, luzerne"	"agrume , caféier , chêne , luzerne"	""	", etc.A ce jour, six"	"46508-46542"	"type=N_PUN_N, match=fcu, form=agrumes, caféiers, chênes, luzerne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"P."	"illes suspectes sur"	"un olivier, un laurier, un chêne"	"un olivier , un laurier , un chêne"	""	"le 24 avril à Grign"	"47381-47413"	"type=N_PUN_N, match=fcu, form=un olivier, un laurier, un chêne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Bilan_Fruits_a_noyau_2018_cle888e1e.html"	"html"	"9934"	"P."	"e-Alpes sur pêcher,"	"abricotier, prunier et cerisier"	"abricotier , prunier et cerisier"	""	". Elles se sont déro"	"47732-47763"	"type=N_PUN_N_KON_N, match=fcu, form=abricotier, prunier et cerisier"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Cassis_n_05_du_10_mai_2012_cle09e263.html"	"html"	"1046"	"P."	"sont en place dans"	"les vergers et les cultures"	"le verger et le culture"	""	"légumières. Les tra"	"1739-1766"	"type=N_KON_N, match=fcu, form=les vergers et les cultures"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Cassis_n_05_du_10_mai_2012_cle09e263.html"	"html"	"1046"	"P."	"Hautes Côtes) : I3"	"La pousse et l'évolution des fleurs"	"le pousse et l'évolution du fleur"	""	"ont été ralenties p"	"2434-2469"	"type=N_KON_N, match=fcu, form=La pousse et l'évolution des fleurs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Cereales_paille_14_cle09e79d.html"	"html"	"10900"	"P."	"(retour fréquent de"	"blé, variété"	"blé , variété"	""	"sensible, milieu fa"	"3912-3924"	"type=N_PUN_N, match=fcu, form=blé, variété"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Cereales_paille_14_cle09e79d.html"	"html"	"10900"	"P."	"(retour fréquent de"	"blé, variété"	"blé , variété"	""	"sensible, milieu fa"	"17050-17062"	"type=N_PUN_N, match=fcu, form=blé, variété"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Colza_no08-05avril18_cle866147.html"	"html"	"1969"	"P."	"et mercredi. Cette"	"semaine, le colza"	"semaine , le colza"	""	"est majoritairement"	"220-237"	"type=N_PUN_N, match=fcu, form=semaine, le colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Colza_no08-05avril18_cle866147.html"	"html"	"1969"	"P."	"1 à 5 charançons de"	"la tige du colza, la moyenne"	"le tige du colza , le moyenne"	""	"est de 2,7(contre 3"	"1860-1888"	"type=N_PUN_N, match=fcu, form=la tige du colza, la moyenne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Colza_no08-05avril18_cle866147.html"	"html"	"1969"	"FIGURE. FIGCAPTION."	"st conditionnée par"	"l'état du colza, le nombre de piqûres et la dynamique de croissance"	"l'état du colza , le nombre de piqûre et le dynamique de croissance"	""	"des tiges. Toute pi"	"3867-3934"	"type=N_PUN_N_KON_N, match=fcu, form=l'état du colza, le nombre de piqûres et la dynamique de croissance"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Colza_no24-20nov2019_cle8157b8.html"	"html"	"1675"	"P."	"moyen de lutte à ce"	"jour, la mouche du chou"	"jour , le mouche du chou"	""	"est observée cet au"	"7139-7162"	"type=N_PUN_N, match=fcu, form=jour, la mouche du chou"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Colza_no24-20nov2019_cle8157b8.html"	"html"	"1675"	"P."	"ême. Dans les pires"	"cas, la rosette"	"cas , le rosette"	""	"peut rougir ou se v"	"7533-7548"	"type=N_PUN_N, match=fcu, form=cas, la rosette"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Colza_no24-20nov2019_cle8157b8.html"	"html"	"1675"	"P."	"pas concernées par"	"la mouche du chou, points"	"le mouche du chou , point"	""	"verts sur la carte"	"7845-7870"	"type=N_PUN_N, match=fcu, form=la mouche du chou, points"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_FR_08_13082019_cle8c5d91.html"	"html"	"1608"	"P."	"r feuilles, fruits,"	"stolons, fleurs"	"stolon , fleur"	""	") dans environ 40% d"	"2130-2145"	"type=N_PUN_N, match=fcu, form=stolons, fleurs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_FR_08_13082019_cle8c5d91.html"	"html"	"1608"	"P."	"cent très vite) sur"	"les fleurs et la face"	"le fleur et le face"	""	"inférieure des feui"	"7322-7343"	"type=N_KON_N, match=fcu, form=les fleurs et la face"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_GC_NA_Limousin_18_20200901_cle088995.html"	"html"	"3491"	"P."	"aniques, précédents"	"protéagineux, reliquats"	"protéagineux , reliquat"	""	"post-récolte élevés"	"11063-11086"	"type=N_PUN_N, match=fcu, form=protéagineux, reliquats"
